time,open,high,low,close,volume
1773648000000,646.0,663.19,645.77,656.43,25.873
1773662400000,656.43,673.89,656.16,668.36,109.468
1773676800000,668.36,672.71,664.97,671.58,24.414
1773691200000,671.58,677.27,670.52,675.6,26.367
1773705600000,675.6,676.38,664.78,664.91,49.559
1773720000000,664.91,668.88,646.3,653.54,108.998
1773734400000,653.54,658.38,653.54,657.16,24.314
1773748800000,657.16,679.13,657.14,667.62,200.41
1773763200000,667.62,669.86,663.99,668.88,48.963
1773777600000,668.88,674.79,667.8,674.16,16.422
1773792000000,674.16,687.41,672.6,686.86,73.812
1773806400000,686.86,717.12,685.22,706.35,195.264
1773820800000,706.35,719.17,705.94,716.63,77.1
1773835200000,716.63,718.43,674.16,677.25,270.433
1773849600000,677.25,688.69,663.42,684.22,124.438
1773864000000,684.22,689.34,664.57,664.95,140.548
1773878400000,664.95,694.91,664.51,691.16,115.064
1773892800000,691.16,691.16,672.41,673.35,60.334
1773907200000,673.35,674.72,667.11,668.04,77.68
1773921600000,668.04,688.38,654.52,676.33,275.686
1773936000000,676.33,705.95,676.32,705.95,118.953
1773950400000,705.95,723.34,690.32,691.5,211.383
1773964800000,691.5,691.5,680.66,680.96,86.271
1773979200000,680.96,681.01,671.76,675.08,34.293
1773993600000,675.08,677.07,670.71,671.28,32.434
1774008000000,671.28,671.73,628.68,643.42,254.355
1774022400000,643.42,643.42,638.56,640.58,36.157
1774036800000,640.58,653.95,640.58,644.99,57.001
1774051200000,644.99,647.44,640.87,644.32,71.842
1774065600000,644.32,645.31,641.39,643.87,19.086
1774080000000,643.87,649.03,643.11,643.47,18.726
1774094400000,643.47,643.65,641.72,642.11,5.581
1774108800000,642.11,643.77,639.24,643.7,14.04
1774123200000,643.7,644.33,639.84,639.85,9.202
1774137600000,639.85,639.85,630.76,631.33,40.919
1774152000000,631.33,631.37,630.9,631.24,4.023
1774166400000,631.24,631.77,614.81,615.89,68.478
1774180800000,615.89,624.63,613.95,622.78,77.714
1774195200000,622.78,623.79,621.25,622.76,35.625
1774209600000,622.76,644.17,620.9,636.95,84.251
1774224000000,636.95,636.95,614.96,621.0,119.972
1774238400000,621.0,627.94,616.62,617.26,65.596
1774252800000,617.26,655.53,616.14,637.47,314.454
1774267200000,637.47,668.56,637.47,643.62,393.162
1774281600000,643.62,661.56,641.1,656.36,352.211
1774296000000,656.36,665.21,655.75,664.42,19.513
1774310400000,664.42,664.42,630.46,651.81,177.619
1774324800000,651.81,667.45,647.78,665.49,100.598
1774339200000,665.49,665.64,656.47,658.86,29.812
1774353600000,658.86,674.88,655.82,656.16,413.009
1774368000000,656.16,663.69,632.52,638.37,166.261
1774382400000,638.37,673.24,637.8,673.24,192.57
1774396800000,673.24,701.28,670.8,672.89,151.808
1774411200000,672.89,677.05,659.93,664.52,84.061
1774425600000,664.52,672.77,662.02,668.03,81.127
1774440000000,668.03,670.07,647.36,656.56,147.134
1774454400000,656.56,659.93,650.21,659.31,59.256
1774468800000,659.31,663.42,644.82,645.2,52.135
1774483200000,645.2,645.5,620.89,630.53,96.853
1774497600000,630.53,636.3,606.44,624.07,175.447
1774512000000,624.07,625.25,615.54,622.88,67.165
1774526400000,622.88,627.01,616.43,618.98,83.09
1774540800000,618.98,623.99,604.84,607.92,134.992
1774555200000,607.92,610.63,595.91,596.61,197.997
1774569600000,596.61,602.06,580.57,598.61,113.926
1774584000000,598.61,621.4,597.98,616.22,118.07
1774598400000,616.22,616.98,589.79,591.95,73.541
1774612800000,591.95,604.1,589.86,601.0,151.002
1774627200000,601.0,602.05,600.89,601.52,16.766
1774641600000,601.52,604.1,594.9,603.25,26.486
1774656000000,603.25,603.29,600.56,601.27,8.84
1774670400000,601.27,605.67,600.56,604.48,7.472
1774684800000,604.48,604.5,601.25,601.96,21.577
1774699200000,601.96,601.98,596.64,597.25,16.785
1774713600000,597.25,597.3,593.65,594.41,12.949
1774728000000,594.41,594.69,594.35,594.42,2.587
1774742400000,594.42,594.77,594.36,594.38,4.486
1774756800000,594.38,598.14,594.36,597.46,4.635
1774771200000,597.46,597.52,597.44,597.46,2.862
1774785600000,597.46,598.42,596.94,597.69,1.71
1774800000000,597.69,597.73,595.62,596.51,21.34
1774814400000,596.51,596.55,591.21,591.7,38.831
1774828800000,591.7,591.7,571.72,579.22,78.899
1774843200000,579.22,583.44,574.92,578.61,51.695
1774857600000,578.61,581.31,577.03,577.74,19.717
1774872000000,577.74,588.35,567.44,572.82,118.712
1774886400000,572.82,574.89,525.35,537.06,209.692
1774900800000,537.06,545.29,533.61,543.84,122.609
1774915200000,543.84,552.47,534.23,544.54,231.398
1774929600000,544.54,544.55,535.76,537.48,50.503
1774944000000,537.48,537.56,532.65,536.06,56.512
1774958400000,536.06,542.79,525.53,542.19,168.754
1774972800000,542.19,573.98,542.15,573.32,214.814
1774987200000,573.32,581.63,573.27,579.43,28.026
1775001600000,579.43,589.79,575.6,588.48,67.033
1775016000000,588.48,594.0,585.58,593.43,48.043
1775030400000,593.43,597.99,586.64,591.27,49.066
1775044800000,591.27,602.7,590.31,602.11,74.306
1775059200000,602.11,607.41,598.42,602.17,88.03
1775073600000,602.17,609.12,602.11,608.57,51.685
1775088000000,608.57,608.59,564.19,564.57,206.194
1775102400000,564.57,565.34,548.94,551.88,61.147
1775116800000,551.88,553.49,545.42,548.62,36.241
1775131200000,548.62,563.0,530.05,561.7,192.355
1775145600000,561.7,573.46,560.02,572.85,122.937
1775160000000,572.85,573.4,566.94,572.81,103.062
1775174400000,572.81,582.29,572.8,581.5,111.697
1775188800000,581.5,592.41,575.53,577.59,109.942
1775203200000,577.59,577.65,577.27,577.31,20.477
1775217600000,577.31,580.04,573.73,578.89,45.047
1775232000000,578.89,578.92,577.87,578.18,39.601
1775246400000,578.18,578.19,577.88,577.89,45.969
1775260800000,577.89,578.19,576.56,577.18,67.347
1775275200000,577.18,577.24,565.79,566.53,44.169
1775289600000,566.53,567.94,566.36,567.06,17.326
1775304000000,567.06,576.17,567.02,575.44,30.096
1775318400000,575.44,576.63,575.34,575.91,5.122
1775332800000,575.91,575.92,568.68,569.3,16.733
1775347200000,569.3,570.52,569.26,569.79,12.203
1775361600000,569.79,570.64,569.76,569.86,19.499
