time,open,high,low,close,volume
1783728000000,172.23,172.29,170.8,171.03,160.6
1783742400000,171.03,171.06,170.42,170.56,547.82
1783756800000,170.56,170.87,170.15,170.5,217.36
1783771200000,170.5,170.88,169.5,169.79,2614.52
1783785600000,169.79,171.08,169.61,170.99,245.1
1783800000000,170.99,171.67,170.3,170.64,244.57
1783814400000,170.64,171.99,170.58,171.14,567.85
1783828800000,171.14,171.92,170.83,171.65,284.41
1783843200000,171.65,171.73,170.85,171.14,248.89
1783857600000,171.14,171.33,170.58,170.78,229.65
1783872000000,170.78,170.94,169.81,170.52,252.13
1783886400000,170.52,170.9,166.42,166.79,848.42
1783900800000,166.79,170.42,158.49,159.06,2574.58
1783915200000,159.06,160.2,152.43,153.93,2980.52
1783929600000,153.93,155.47,150.86,153.82,4552.89
1783944000000,153.82,161.97,150.93,153.21,5141.09
1783958400000,153.21,158.37,151.52,153.51,3493.46
1783972800000,153.51,153.51,149.56,152.81,976.46
1783987200000,152.81,160.57,150.03,154.02,4153.17
1784001600000,154.02,165.13,152.03,162.56,5935.51
1784016000000,162.56,163.34,160.79,162.41,3946.67
1784030400000,162.41,182.19,160.69,178.13,10925.93
1784044800000,178.13,193.96,177.68,193.7,9108.77
1784059200000,193.7,195.15,181.64,185.89,3713.52
1784073600000,185.89,195.18,185.43,190.75,4114.55
1784088000000,190.75,192.06,183.12,184.89,2686.94
1784102400000,184.89,185.56,179.99,182.11,3159.74
1784116800000,182.11,187.4,170.49,171.19,16730.34
1784131200000,171.19,180.58,166.53,176.31,9951.69
1784145600000,176.31,176.5,169.68,169.99,1325.89
1784160000000,169.99,172.44,165.41,170.21,6288.01
1784174400000,170.21,172.73,165.68,166.54,3855.99
1784188800000,166.54,167.16,162.84,163.74,2867.83
1784203200000,163.74,168.02,159.58,161.61,6615.09
1784217600000,161.61,163.89,151.75,153.18,4962.69
1784232000000,153.18,157.16,151.64,153.14,1790.82
1784246400000,153.14,156.33,151.19,154.53,2750.08
1784260800000,154.53,154.67,148.05,148.44,4408.74
1784275200000,148.44,160.93,146.41,154.81,7098.28
1784289600000,154.81,164.28,145.72,164.09,13183.31
1784304000000,164.09,167.23,152.78,154.24,9261.98
1784318400000,154.24,154.71,152.56,153.75,1027.79
1784332800000,153.75,154.92,152.99,154.48,792.49
1784347200000,154.48,154.94,153.18,153.82,561.16
1784361600000,153.82,154.15,153.34,153.74,615.01
1784376000000,153.74,153.79,151.56,152.15,2418.27
1784390400000,152.15,152.81,151.77,152.7,467.6
1784404800000,152.7,153.08,152.11,152.58,408.61
1784419200000,152.58,153.83,152.55,153.81,697.82
1784433600000,153.81,155.54,153.81,155.21,1049.56
1784448000000,155.21,157.25,153.68,153.91,1129.54
1784462400000,153.91,155.45,153.59,154.1,758.82
1784476800000,154.1,154.92,152.44,154.21,614.2
1784491200000,154.21,158.24,153.09,153.35,1345.27
1784505600000,153.35,163.6,153.05,157.45,5621.78
1784520000000,157.45,159.15,155.87,158.22,3111.89
1784534400000,158.22,164.01,158.08,163.44,3472.71
1784548800000,163.44,163.93,153.99,158.21,7379.31
1784563200000,158.21,159.2,149.95,151.37,3655.22
1784577600000,151.37,154.92,151.17,153.81,1496.19
1784592000000,153.81,160.4,151.05,159.4,4072.11
1784606400000,159.4,160.44,157.47,160.16,3833.37
1784620800000,160.16,162.92,159.84,160.27,2378.05
1784635200000,160.27,168.61,159.21,164.83,5913.38
1784649600000,164.83,172.84,164.72,171.84,3847.29
1784664000000,171.84,174.81,171.04,173.07,2121.12
1784678400000,173.07,175.72,167.32,168.88,2564.81
1784692800000,168.88,170.05,161.41,162.62,3000.28
1784707200000,162.62,163.12,160.16,160.92,1270.0
1784721600000,160.92,169.53,158.92,169.11,5239.01
1784736000000,169.11,169.89,164.98,165.36,4983.18
1784750400000,165.36,172.87,164.58,169.68,2704.32
1784764800000,169.68,173.47,165.89,169.2,3141.3
