time,open,high,low,close,volume
1766635200000,65.4,65.4,65.4,65.4,0.0
1766649600000,65.4,65.4,65.4,65.4,0.0
1766664000000,65.4,65.4,65.4,65.4,0.0
1766678400000,65.4,65.4,65.4,65.4,0.0
1766692800000,65.4,65.4,65.4,65.4,0.0
1766707200000,65.4,68.09,65.4,67.47,16521.72
1766721600000,67.47,68.05,67.41,67.7,16489.52
1766736000000,67.7,68.56,66.7,67.46,20921.59
1766750400000,67.46,68.98,67.03,68.94,36592.4
1766764800000,68.94,70.41,68.46,70.08,30482.48
1766779200000,70.08,71.2,70.08,71.12,11937.6
1766793600000,71.12,71.12,71.12,71.12,0.0
1766808000000,71.12,71.12,71.12,71.12,0.0
1766822400000,71.12,71.12,71.12,71.12,0.0
1766836800000,71.12,71.12,71.12,71.12,0.0
1766851200000,71.12,71.12,71.12,71.12,0.0
1766865600000,71.12,71.12,71.12,71.12,0.0
1766880000000,71.12,71.12,71.12,71.12,0.0
1766894400000,71.12,71.12,71.12,71.12,0.0
1766908800000,71.12,71.12,71.12,71.12,0.0
1766923200000,71.12,71.12,71.12,71.12,0.0
1766937600000,71.12,71.12,71.12,71.12,0.0
1766952000000,71.12,71.12,71.12,71.12,0.0
1766966400000,71.12,73.21,69.19,72.9,74877.82
1766980800000,72.9,72.99,68.07,68.98,111490.13
1766995200000,68.98,69.4,67.08,67.34,39908.06
1767009600000,67.34,68.98,63.94,64.75,81598.97
1767024000000,64.75,65.94,64.21,65.58,22534.84
1767038400000,65.58,66.25,65.25,65.84,9646.99
1767052800000,65.84,67.65,65.4,67.38,24860.85
1767067200000,67.38,68.16,67.09,67.9,24468.65
1767081600000,67.9,67.95,66.97,67.91,18008.23
1767096000000,67.91,69.43,67.84,68.96,56377.58
1767110400000,68.96,70.75,68.7,69.06,40539.45
1767124800000,69.06,69.58,67.96,68.24,33148.97
1767139200000,68.24,68.69,65.31,65.39,41771.61
1767153600000,65.39,65.94,64.02,65.47,33242.64
1767168000000,65.47,65.69,64.44,65.28,20576.23
1767182400000,65.28,66.87,64.65,65.63,60169.73
1767196800000,65.63,65.73,63.83,63.88,44083.89
1767211200000,63.88,64.75,63.56,64.46,11777.49
1767225600000,64.46,64.46,64.46,64.46,0.0
1767240000000,64.46,64.46,64.46,64.46,0.0
1767254400000,64.46,64.46,64.46,64.46,0.0
1767268800000,64.46,64.46,64.46,64.46,0.0
1767283200000,64.46,64.46,64.46,64.46,0.0
1767297600000,64.46,64.46,64.46,64.46,0.0
1767312000000,64.46,66.7,64.46,66.51,18708.74
1767326400000,66.51,67.27,66.32,67.12,18827.77
1767340800000,67.12,67.66,67.12,67.26,9180.61
1767355200000,67.26,67.45,65.81,65.85,38556.07
1767369600000,65.85,65.94,64.75,65.32,34452.06
1767384000000,65.32,65.93,65.23,65.77,3921.31
1767398400000,65.77,65.77,65.77,65.77,0.0
1767412800000,65.77,65.77,65.77,65.77,0.0
1767427200000,65.77,65.77,65.77,65.77,0.0
