time,open,high,low,close,volume
1782216000000,33.45,34.49,32.91,33.94,728.48
1782230400000,33.94,34.41,32.9,33.49,391.55
1782244800000,33.49,33.77,33.43,33.62,301.67
1782259200000,33.62,33.95,33.47,33.61,374.58
1782273600000,33.61,33.92,33.49,33.81,294.79
1782288000000,33.81,34.22,33.75,33.95,458.62
1782302400000,33.95,34.01,32.63,33.06,679.14
1782316800000,33.06,33.15,31.47,32.44,645.73
1782331200000,32.44,34.02,32.32,33.8,509.8
1782345600000,33.8,33.85,33.39,33.55,251.14
1782360000000,33.55,33.94,33.5,33.6,321.31
1782374400000,33.6,33.74,33.29,33.41,346.4
1782388800000,33.41,33.69,31.55,31.98,1000.42
1782403200000,31.98,32.58,31.48,31.72,482.71
1782417600000,31.72,31.99,31.51,31.57,234.01
1782432000000,31.57,31.75,30.12,30.59,431.67
1782446400000,30.59,30.99,30.38,30.99,297.78
1782460800000,30.99,31.07,30.74,30.84,260.94
1782475200000,30.84,31.7,30.52,31.05,674.04
1782489600000,31.05,31.07,30.34,30.73,418.79
1782504000000,30.73,30.74,30.46,30.64,293.13
1782518400000,30.64,30.74,30.63,30.7,162.4
1782532800000,30.7,30.79,30.69,30.77,142.08
1782547200000,30.77,30.82,30.67,30.79,140.32
1782561600000,30.79,30.92,30.7,30.79,197.59
1782576000000,30.79,30.82,30.55,30.6,251.64
1782590400000,30.6,30.92,30.58,30.79,233.35
1782604800000,30.79,30.85,30.74,30.74,211.27
1782619200000,30.74,30.77,30.65,30.67,164.0
1782633600000,30.67,30.77,30.58,30.59,236.25
1782648000000,30.59,30.63,30.22,30.3,263.89
1782662400000,30.3,30.34,30.15,30.34,233.16
1782676800000,30.34,30.67,30.29,30.64,310.98
1782691200000,30.64,30.93,30.57,30.88,310.34
1782705600000,30.88,31.59,30.79,31.24,530.42
1782720000000,31.24,32.61,31.23,31.45,713.69
1782734400000,31.45,31.46,29.29,30.27,835.24
1782748800000,30.27,30.53,27.83,28.17,1365.86
1782763200000,28.17,28.81,28.16,28.59,643.41
1782777600000,28.59,28.8,28.3,28.72,719.96
1782792000000,28.72,29.02,28.63,28.66,543.32
1782806400000,28.66,28.93,28.47,28.56,564.35
1782820800000,28.56,29.77,28.26,29.5,1166.05
1782835200000,29.5,29.95,29.23,29.36,608.22
1782849600000,29.36,29.67,29.33,29.42,292.45
1782864000000,29.42,29.46,29.16,29.4,376.83
1782878400000,29.4,29.41,29.09,29.14,192.73
1782892800000,29.14,29.31,28.85,29.14,334.02
1782907200000,29.14,29.17,27.57,28.09,1126.66
1782921600000,28.09,28.66,27.69,27.71,1153.44
1782936000000,27.71,28.58,27.57,27.95,391.4
1782950400000,27.95,28.14,27.81,27.87,387.13
1782964800000,27.87,28.02,27.22,27.53,712.89
1782979200000,27.53,28.16,27.38,28.06,433.38
1782993600000,28.06,29.22,27.44,27.57,1294.01
1783008000000,27.57,27.6,26.72,27.26,874.09
1783022400000,27.26,27.38,27.14,27.33,304.3
1783036800000,27.33,27.45,27.3,27.44,243.23
1783051200000,27.44,27.67,27.41,27.65,330.28
1783065600000,27.65,27.79,27.63,27.79,231.33
1783080000000,27.79,27.87,27.72,27.86,284.69
1783094400000,27.86,28.05,27.85,28.0,292.11
1783108800000,28.0,28.09,27.89,27.9,188.43
1783123200000,27.9,28.02,27.87,27.99,127.14
1783137600000,27.99,28.01,27.84,27.95,138.61
1783152000000,27.95,27.95,27.66,27.68,261.08
1783166400000,27.68,28.06,27.66,28.04,207.6
1783180800000,28.04,28.09,27.99,28.0,161.25
1783195200000,28.0,28.02,27.94,28.0,151.45
1783209600000,28.0,28.04,27.97,28.03,162.72
1783224000000,28.03,28.07,28.0,28.06,181.26
1783238400000,28.06,28.21,27.99,28.0,178.47
1783252800000,28.0,28.1,27.93,28.02,176.96
1783267200000,28.02,28.05,27.93,28.02,328.81
1783281600000,28.02,28.14,27.9,27.92,222.98
1783296000000,27.92,27.92,27.48,27.54,454.19
1783310400000,27.54,27.78,27.54,27.7,182.75
1783324800000,27.7,27.87,27.65,27.73,245.39
1783339200000,27.73,27.78,27.08,27.45,709.21
1783353600000,27.45,27.48,26.8,27.21,356.44
1783368000000,27.21,27.35,27.15,27.17,269.62
1783382400000,27.17,27.21,26.85,26.86,321.8
1783396800000,26.86,26.88,26.69,26.85,283.55
1783411200000,26.85,26.92,26.62,26.69,284.37
1783425600000,26.69,26.91,25.45,26.05,943.59
1783440000000,26.05,26.51,25.92,26.23,1428.06
1783454400000,26.23,26.49,25.97,25.97,565.73
1783468800000,25.97,26.45,25.97,26.32,1058.17
1783483200000,26.32,26.42,26.17,26.41,474.3
1783497600000,26.41,26.47,25.59,25.94,888.37
1783512000000,25.94,27.45,25.9,26.55,998.36
1783526400000,26.55,28.23,26.55,28.23,556.71
1783540800000,28.23,28.23,27.84,28.02,292.18
1783555200000,28.02,28.2,27.9,28.08,511.3
1783569600000,28.08,28.53,28.04,28.44,309.28
1783584000000,28.44,29.02,28.38,28.93,346.53
1783598400000,28.93,29.1,28.25,28.77,897.24
1783612800000,28.77,28.9,28.27,28.27,472.57
1783627200000,28.27,28.4,28.1,28.37,276.69
1783641600000,28.37,28.45,28.13,28.38,291.26
1783656000000,28.38,28.4,28.16,28.21,277.14
1783670400000,28.21,28.36,28.01,28.18,371.26
1783684800000,28.18,28.95,28.04,28.63,660.32
1783699200000,28.63,28.98,28.37,28.37,333.5
1783713600000,28.37,28.53,28.37,28.47,157.17
1783728000000,28.47,28.55,28.33,28.35,183.4
1783742400000,28.35,28.42,28.24,28.29,149.32
1783756800000,28.29,28.32,28.1,28.22,251.96
1783771200000,28.22,28.29,28.13,28.15,181.61
1783785600000,28.15,28.32,28.14,28.26,159.11
1783800000000,28.26,28.32,28.14,28.19,224.64
1783814400000,28.19,28.27,28.14,28.24,205.66
1783828800000,28.24,28.24,28.18,28.2,159.56
1783843200000,28.2,28.29,28.16,28.17,154.53
1783857600000,28.17,28.2,28.12,28.13,220.32
1783872000000,28.13,28.21,28.08,28.13,143.32
1783886400000,28.13,28.19,27.93,27.99,189.06
1783900800000,27.99,28.39,27.72,27.82,346.9
1783915200000,27.82,27.83,27.56,27.82,289.34
1783929600000,27.82,27.93,27.71,27.75,252.16
1783944000000,27.75,28.2,27.55,27.77,605.53
1783958400000,27.77,27.86,27.31,27.67,412.67
1783972800000,27.67,27.74,27.53,27.53,168.95
1783987200000,27.53,27.81,27.37,27.56,236.42
1784001600000,27.56,27.95,27.53,27.89,233.59
1784016000000,27.89,28.15,27.72,27.94,325.12
1784030400000,27.94,28.39,27.4,27.82,679.7
1784044800000,27.82,27.99,27.45,27.67,373.86
1784059200000,27.67,27.83,27.63,27.81,169.39
1784073600000,27.81,27.99,27.78,27.95,191.57
1784088000000,27.95,28.05,27.9,27.98,208.63
1784102400000,27.98,27.99,27.68,27.81,226.86
1784116800000,27.81,28.29,26.78,26.85,676.27
1784131200000,26.85,27.19,26.23,26.93,575.09
1784145600000,26.93,27.13,26.83,26.83,240.21
1784160000000,26.83,26.9,26.72,26.88,182.96
1784174400000,26.88,27.0,26.65,26.65,226.89
1784188800000,26.65,26.73,26.33,26.35,224.12
1784203200000,26.35,26.81,25.21,25.23,948.5
1784217600000,25.23,25.24,24.72,24.73,623.95
1784232000000,24.73,24.88,24.61,24.66,278.1
1784246400000,24.66,24.67,24.24,24.42,329.55
1784260800000,24.42,24.43,23.93,23.99,389.45
1784275200000,23.99,24.42,23.77,24.27,368.04
1784289600000,24.27,24.53,23.47,24.41,1139.69
1784304000000,24.41,25.18,24.19,24.21,1106.12
1784318400000,24.21,24.3,24.05,24.23,285.4
1784332800000,24.23,24.3,24.22,24.28,150.36
1784347200000,24.28,24.28,24.02,24.07,221.6
1784361600000,24.07,24.16,24.06,24.14,172.99
1784376000000,24.14,24.15,24.1,24.12,242.63
1784390400000,24.12,24.15,24.06,24.1,155.62
1784404800000,24.1,24.16,24.07,24.15,176.65
1784419200000,24.15,24.24,24.05,24.14,205.72
1784433600000,24.14,24.2,24.05,24.17,199.22
1784448000000,24.17,24.18,23.97,24.06,306.19
1784462400000,24.06,24.07,24.02,24.02,155.64
1784476800000,24.02,24.02,23.94,24.0,137.92
1784491200000,24.0,24.01,23.74,23.94,160.91
1784505600000,23.94,24.45,23.94,24.39,614.82
1784520000000,24.39,24.45,24.21,24.37,223.91
1784534400000,24.37,24.81,24.21,24.76,362.77
1784548800000,24.76,24.99,23.8,24.26,938.35
1784563200000,24.26,24.45,23.85,23.86,877.86
1784577600000,23.86,23.97,23.82,23.94,206.09
1784592000000,23.94,24.3,23.85,24.3,226.18
1784606400000,24.3,24.53,24.27,24.43,294.04
1784620800000,24.43,24.63,24.41,24.49,244.27
1784635200000,24.49,25.25,24.38,25.18,910.23
1784649600000,25.18,25.54,25.13,25.52,523.33
1784664000000,25.52,31.0,24.09,30.72,3504.55
1784678400000,30.72,30.77,29.76,29.96,1516.37
1784692800000,29.96,30.34,29.36,29.7,1475.34
1784707200000,29.7,29.97,28.95,29.35,2336.29
1784721600000,29.35,31.91,28.43,31.78,9122.26
1784736000000,31.78,32.26,30.29,30.56,6233.59
1784750400000,30.56,31.25,30.21,31.01,983.65
1784764800000,31.01,31.4,30.62,30.8,795.49
1784779200000,30.8,31.17,30.54,30.66,832.65
1784793600000,30.66,31.47,30.47,30.92,1028.49
1784808000000,30.92,32.28,30.09,31.25,5309.87
1784822400000,31.25,32.61,30.79,31.25,2389.66
1784836800000,31.25,31.81,30.99,31.26,635.6
1784851200000,31.26,31.43,30.64,30.66,1159.56
1784865600000,30.66,31.16,30.59,31.02,853.56
1784880000000,31.02,31.39,30.79,31.35,559.82
1784894400000,31.35,31.42,29.31,30.96,2317.73
1784908800000,30.96,31.33,29.97,30.15,1344.27
1784923200000,30.15,30.33,30.04,30.11,306.24
1784937600000,30.11,30.75,30.1,30.73,296.18
1784952000000,30.73,30.93,30.62,30.92,251.03
1784966400000,30.92,30.94,30.72,30.74,232.49
1784980800000,30.74,30.82,30.56,30.82,289.34
1784995200000,30.82,30.97,30.81,30.95,286.74
1785009600000,30.95,30.97,30.85,30.85,136.09
1785024000000,30.85,31.12,30.81,30.82,227.37
1785038400000,30.82,30.99,30.79,30.85,181.04
1785052800000,30.85,30.97,30.75,30.95,197.61
1785067200000,30.95,31.01,30.71,30.71,214.61
1785081600000,30.71,30.71,30.46,30.6,237.16
1785096000000,30.6,30.97,30.58,30.85,311.66
1785110400000,30.85,30.97,30.62,30.71,509.73
1785124800000,30.71,31.11,30.66,31.0,282.78
1785139200000,31.0,31.1,30.83,30.92,258.04
1785153600000,30.92,31.1,28.63,28.91,3417.75
1785168000000,28.91,29.86,28.77,29.83,1213.93
1785182400000,29.83,29.9,28.63,29.57,1116.8
1785196800000,29.57,29.57,28.77,29.0,554.69
1785211200000,29.0,29.02,28.53,28.78,364.84
1785225600000,28.78,28.99,28.35,28.61,434.34
1785240000000,28.61,28.83,27.21,28.53,1751.49
1785254400000,28.53,28.68,28.2,28.5,775.25
1785268800000,28.5,28.61,28.01,28.5,359.36
1785283200000,28.5,28.83,27.81,27.84,510.9
1785297600000,27.84,28.38,27.7,28.28,365.42
1785312000000,28.28,28.7,27.95,28.26,394.72
1785326400000,28.26,28.27,26.63,26.7,1675.7
1785340800000,26.7,27.57,25.76,25.78,2333.46
1785355200000,25.78,26.04,25.15,25.97,1003.6
1785369600000,25.97,26.39,25.84,25.98,763.11
1785384000000,25.98,26.01,25.81,25.88,325.69
1785398400000,25.88,26.7,25.84,26.7,415.44
1785412800000,26.7,28.23,26.6,27.9,1682.47
1785427200000,27.9,28.11,27.64,27.81,573.98
1785441600000,27.81,28.41,27.79,28.41,424.79
1785456000000,28.41,28.89,28.16,28.37,467.65
1785470400000,28.37,28.78,28.3,28.48,357.35
1785484800000,28.48,28.85,28.44,28.74,380.48
1785499200000,28.74,29.29,27.32,27.82,1313.18
1785513600000,27.82,28.58,27.77,28.46,524.47
1785528000000,28.46,28.47,28.14,28.18,204.64
1785542400000,28.18,28.28,28.03,28.24,220.15
1785556800000,28.24,28.31,28.2,28.27,123.33
1785571200000,28.27,28.51,28.2,28.48,164.58
1785585600000,28.48,28.65,28.48,28.56,223.56
1785600000000,28.56,28.56,28.2,28.32,316.49
1785614400000,28.32,28.61,28.31,28.57,179.56
1785628800000,28.57,29.3,28.56,29.03,393.29
1785643200000,29.03,29.08,29.0,29.06,267.47
1785657600000,29.06,29.06,28.83,28.85,239.68
1785672000000,28.85,29.01,28.85,28.97,234.6
1785686400000,28.97,29.06,28.94,29.0,369.25
1785700800000,29.0,29.06,28.89,28.95,188.93
1785715200000,28.95,29.09,28.63,28.97,409.28
1785729600000,28.97,28.98,28.76,28.78,228.41
1785744000000,28.78,28.79,28.1,28.13,908.95
1785758400000,28.13,28.95,27.54,28.52,1109.06
1785772800000,28.52,28.95,28.45,28.7,443.14
1785787200000,28.7,28.93,28.68,28.91,188.3
1785801600000,28.91,28.95,28.63,28.87,244.88
1785816000000,28.87,29.23,28.76,29.04,285.87
1785830400000,29.04,29.7,29.04,29.69,458.19
1785844800000,29.69,30.81,29.22,30.75,1328.7
1785859200000,30.75,31.86,30.7,31.77,465.2
1785873600000,31.77,31.87,31.14,31.66,350.84
1785888000000,31.66,32.01,31.61,31.99,233.39
1785902400000,31.99,32.37,31.88,31.88,272.67
1785916800000,31.88,31.93,31.23,31.6,354.13
1785931200000,31.6,31.77,30.46,30.95,1324.08
1785945600000,30.95,31.51,30.38,30.38,530.13
1785960000000,30.38,30.44,29.96,30.35,400.46
1785974400000,30.35,30.47,29.99,30.28,334.23
1785988800000,30.28,30.37,30.14,30.32,234.59
1786003200000,30.32,30.58,30.15,30.41,325.87
1786017600000,30.41,30.98,29.45,30.37,1094.94
1786032000000,30.37,30.39,29.42,29.42,600.74
1786046400000,29.42,29.8,29.29,29.79,279.58
1786060800000,29.79,29.87,29.56,29.66,263.87
1786075200000,29.66,29.98,29.6,29.97,240.87
1786089600000,29.97,30.35,29.95,30.03,320.51
1786104000000,30.03,30.83,29.76,30.8,1276.38
1786118400000,30.8,31.34,30.35,31.17,680.69
1786132800000,31.17,31.38,31.13,31.34,226.6
1786147200000,31.34,31.88,31.3,31.86,215.99
1786161600000,31.86,32.2,31.72,31.82,344.82
1786176000000,31.82,31.84,31.72,31.83,156.73
1786190400000,31.83,31.88,31.79,31.86,154.78
1786204800000,31.86,32.01,31.85,31.98,144.29
1786219200000,31.98,32.01,31.91,31.92,180.3
1786233600000,31.92,31.94,31.75,31.75,184.2
1786248000000,31.75,31.77,31.65,31.71,270.84
1786262400000,31.71,31.74,31.6,31.63,289.11
