time,open,high,low,close,volume
1774944000000,367.18,367.55,367.0,367.23,3.56
1774958400000,367.23,374.53,367.12,370.59,175.14
1774972800000,370.59,383.39,370.44,383.3,182.44
1774987200000,383.3,385.84,382.5,385.84,43.82
1775001600000,385.84,385.95,383.8,384.81,57.05
1775016000000,384.81,389.8,384.7,387.06,52.3
1775030400000,387.06,390.34,385.38,389.99,79.7
1775044800000,389.99,396.6,386.94,396.41,117.21
1775059200000,396.41,396.41,387.15,392.05,93.65
1775073600000,392.05,392.47,391.67,392.25,25.54
1775088000000,392.25,393.31,381.71,381.73,86.61
1775102400000,381.73,382.49,379.68,382.49,70.53
1775116800000,382.49,382.7,377.06,377.06,60.66
1775131200000,377.06,393.29,376.91,390.43,174.01
1775145600000,390.43,392.62,387.93,392.2,85.13
1775160000000,392.2,392.41,391.26,391.62,22.04
1775174400000,391.62,391.62,391.62,391.62,0.0
1775188800000,391.62,391.62,391.62,391.62,0.0
1775203200000,391.62,391.62,391.62,391.62,0.0
1775217600000,391.62,391.62,391.62,391.62,0.0
1775232000000,391.62,391.62,391.62,391.62,0.0
1775246400000,391.62,391.62,391.62,391.62,0.0
1775260800000,391.62,391.62,391.62,391.62,0.0
1775275200000,391.62,391.62,391.62,391.62,0.0
1775289600000,391.62,391.62,391.62,391.62,0.0
1775304000000,391.62,391.62,391.62,391.62,0.0
1775318400000,391.62,391.62,391.62,391.62,0.0
1775332800000,391.62,391.62,391.62,391.62,0.0
1775347200000,391.62,391.62,391.62,391.62,0.0
1775361600000,391.62,391.62,391.62,391.62,0.0
1775376000000,391.62,391.62,391.62,391.62,0.0
1775390400000,391.62,391.62,391.62,391.62,0.0
1775404800000,391.62,391.62,391.62,391.62,0.0
1775419200000,391.62,391.62,391.62,391.62,0.0
1775433600000,391.62,395.51,389.8,393.04,70.6
1775448000000,393.04,395.0,392.64,394.91,51.24
1775462400000,394.91,397.62,394.18,395.09,108.73
1775476800000,395.09,396.8,392.15,395.24,130.35
1775491200000,395.24,396.02,391.95,396.02,68.19
1775505600000,396.02,396.75,395.35,395.74,28.01
1775520000000,395.74,396.67,391.9,393.25,52.19
1775534400000,393.25,393.85,392.92,393.59,26.48
1775548800000,393.59,397.59,392.05,392.48,69.54
1775563200000,392.48,397.51,389.74,393.48,126.66
1775577600000,393.48,399.87,392.65,399.87,97.53
1775592000000,399.87,417.07,399.33,414.42,114.67
1775606400000,414.42,416.68,414.33,416.05,39.13
1775620800000,416.05,419.03,416.05,417.7,40.35
1775635200000,417.7,421.83,417.7,420.13,63.11
1775649600000,420.13,424.69,415.16,421.45,110.72
1775664000000,421.45,423.54,419.26,422.83,64.54
1775678400000,422.83,423.21,420.29,420.39,44.17
1775692800000,420.39,420.64,418.1,419.68,35.33
1775707200000,419.68,420.62,419.14,419.51,22.3
1775721600000,419.51,421.1,418.76,420.94,45.23
1775736000000,420.94,428.27,420.5,428.27,92.82
1775750400000,428.27,430.55,427.35,430.24,66.88
1775764800000,430.24,430.48,429.53,429.84,23.78
1775779200000,429.84,432.27,429.63,431.79,30.41
1775793600000,431.79,431.81,429.74,429.94,27.69
