time,open,high,low,close,volume
1766635200000,251.37,251.37,251.37,251.37,0.0
1766649600000,251.37,251.37,251.37,251.37,0.0
1766664000000,251.37,251.37,251.37,251.37,0.0
1766678400000,251.37,251.37,251.37,251.37,0.0
1766692800000,251.37,251.37,251.37,251.37,0.0
1766707200000,251.37,255.76,251.37,254.85,57.3
1766721600000,254.85,256.26,253.94,255.75,29.67
1766736000000,255.75,258.69,254.9,257.48,225.58
1766750400000,257.48,260.92,245.46,248.88,639.85
1766764800000,248.88,252.71,248.88,250.09,211.56
1766779200000,250.09,251.31,249.81,250.06,45.85
1766793600000,250.06,250.06,250.06,250.06,0.0
1766808000000,250.06,250.06,250.06,250.06,0.0
1766822400000,250.06,250.06,250.06,250.06,0.0
1766836800000,250.06,250.06,250.06,250.06,0.0
1766851200000,250.06,250.06,250.06,250.06,0.0
1766865600000,250.06,250.06,250.06,250.06,0.0
1766880000000,250.06,250.06,250.06,250.06,0.0
1766894400000,250.06,250.06,250.06,250.06,0.0
1766908800000,250.06,250.06,250.06,250.06,0.0
1766923200000,250.06,250.06,250.06,250.06,0.0
1766937600000,250.06,250.06,250.06,250.06,0.0
1766952000000,250.06,250.06,250.06,250.06,0.0
1766966400000,250.06,251.2,248.72,250.83,92.22
1766980800000,250.83,251.11,246.71,247.33,96.33
1766995200000,247.33,247.35,241.26,242.62,264.64
1767009600000,242.62,249.73,236.47,241.35,644.25
1767024000000,241.35,247.62,241.17,246.53,202.03
1767038400000,246.53,247.48,243.51,243.51,141.67
1767052800000,243.51,244.15,242.02,242.85,112.75
1767067200000,242.85,244.47,242.49,242.83,52.13
1767081600000,242.83,247.26,242.6,244.59,176.99
1767096000000,244.59,246.89,236.92,244.49,378.21
1767110400000,244.49,247.07,240.42,241.69,288.4
1767124800000,241.69,241.75,239.82,240.3,87.82
1767139200000,240.3,241.23,239.3,239.54,77.51
1767153600000,239.54,239.62,237.98,238.27,50.17
1767168000000,238.27,240.36,237.11,238.56,108.38
1767182400000,238.56,241.17,235.79,240.13,341.12
1767196800000,240.13,241.58,237.04,237.38,229.1
1767211200000,237.38,238.76,236.5,237.39,72.86
1767225600000,237.39,237.39,237.39,237.39,0.0
1767240000000,237.39,237.39,237.39,237.39,0.0
1767254400000,237.39,237.39,237.39,237.39,0.0
1767268800000,237.39,237.39,237.39,237.39,0.0
1767283200000,237.39,237.39,237.39,237.39,0.0
1767297600000,237.39,237.39,237.39,237.39,0.0
1767312000000,237.39,239.9,237.39,239.81,41.7
1767326400000,239.81,242.17,239.62,241.86,62.12
1767340800000,241.86,244.92,241.86,244.36,134.68
1767355200000,244.36,267.5,243.08,263.89,472.35
1767369600000,263.89,271.57,262.87,270.72,349.2
1767384000000,270.72,275.67,270.25,275.23,74.25
1767398400000,275.23,275.23,275.23,275.23,0.0
1767412800000,275.23,275.23,275.23,275.23,0.0
1767427200000,275.23,275.23,275.23,275.23,0.0
1767441600000,275.23,275.23,275.23,275.23,0.0
1767456000000,275.23,275.23,275.23,275.23,0.0
1767470400000,275.23,275.23,275.23,275.23,0.0
1767484800000,275.23,275.23,275.23,275.23,0.0
1767499200000,275.23,275.23,275.23,275.23,0.0
1767513600000,275.23,275.23,275.23,275.23,0.0
1767528000000,275.23,275.23,275.23,275.23,0.0
1767542400000,275.23,275.23,275.23,275.23,0.0
1767556800000,275.23,275.23,275.23,275.23,0.0
1767571200000,275.23,284.51,275.23,281.35,91.17
1767585600000,281.35,282.33,280.11,280.38,101.96
1767600000000,280.38,288.88,280.25,285.42,248.08
1767614400000,285.42,287.66,267.07,274.95,485.3
1767628800000,274.95,276.33,266.77,267.98,472.59
1767643200000,267.98,274.63,267.98,274.36,155.11
1767657600000,274.36,277.38,272.66,276.48,73.74
1767672000000,276.48,284.88,276.48,283.95,149.34
1767686400000,283.95,285.24,279.06,282.81,157.36
1767700800000,282.81,342.71,282.37,331.11,1078.15
1767715200000,331.11,343.79,329.94,343.72,404.17
1767729600000,343.72,355.58,343.06,355.46,203.66
1767744000000,355.46,363.62,353.38,357.67,252.13
1767758400000,357.67,357.67,348.39,351.04,211.46
1767772800000,351.04,351.04,342.49,345.14,316.92
1767787200000,345.14,351.38,331.75,349.48,716.36
1767801600000,349.48,354.26,343.71,351.34,410.18
1767816000000,351.34,355.06,346.28,352.07,196.39
1767830400000,352.07,358.06,351.79,353.76,148.77
1767844800000,353.76,354.03,343.02,348.73,174.19
1767859200000,348.73,354.99,348.73,354.5,133.92
1767873600000,354.5,363.48,311.08,316.86,741.65
1767888000000,316.86,332.99,313.43,332.56,437.55
1767902400000,332.56,337.5,328.84,328.93,239.08
1767916800000,328.93,332.89,328.93,331.39,140.71
1767931200000,331.39,331.93,330.57,331.63,77.13
1767945600000,331.63,338.38,331.35,337.64,131.58
1767960000000,337.64,366.82,335.22,366.5,853.03
1767974400000,366.5,381.25,363.08,379.78,417.04
1767988800000,379.78,383.83,376.37,377.52,121.65
1768003200000,377.52,377.52,377.52,377.52,0.0
1768017600000,377.52,377.52,377.52,377.52,0.0
1768032000000,377.52,377.52,377.52,377.52,0.0
1768046400000,377.52,377.52,377.52,377.52,0.0
1768060800000,377.52,377.52,377.52,377.52,0.0
1768075200000,377.52,377.52,377.52,377.52,0.0
1768089600000,377.52,377.52,377.52,377.52,0.0
1768104000000,377.52,377.52,377.52,377.52,0.0
1768118400000,377.52,377.52,377.52,377.52,0.0
1768132800000,377.52,377.52,377.52,377.52,0.0
1768147200000,377.52,377.52,377.52,377.52,0.0
1768161600000,377.52,377.52,377.52,377.52,0.0
1768176000000,377.52,377.52,370.97,372.61,130.09
1768190400000,372.61,373.82,367.66,370.84,119.24
1768204800000,370.84,372.88,358.59,366.37,249.81
1768219200000,366.37,395.09,366.37,379.15,666.27
1768233600000,379.15,389.83,378.33,389.4,179.6
1768248000000,389.4,390.48,385.8,388.1,83.35
1768262400000,388.1,388.1,384.62,385.42,63.61
1768276800000,385.42,391.17,385.41,391.15,41.53
1768291200000,391.15,393.72,390.85,392.38,224.19
1768305600000,392.38,398.16,380.0,391.71,715.24
1768320000000,391.71,393.32,383.33,388.48,294.33
1768334400000,388.48,390.73,383.14,390.2,130.6
1768348800000,390.2,391.83,388.71,388.71,61.85
1768363200000,388.71,390.29,387.04,388.89,82.19
1768377600000,388.89,390.62,380.79,382.05,173.66
1768392000000,382.05,400.99,380.5,387.85,575.17
1768406400000,387.85,397.07,384.05,386.44,281.83
1768420800000,386.44,388.85,378.35,387.27,139.27
1768435200000,387.27,390.35,385.11,386.28,83.21
1768449600000,386.28,395.05,385.45,393.1,1338.07
1768464000000,393.1,411.83,392.96,408.73,272.43
1768478400000,408.73,423.15,398.1,416.85,1013.82
1768492800000,416.85,423.13,411.25,412.82,311.41
1768507200000,412.82,416.19,408.26,413.88,162.39
1768521600000,413.88,418.55,413.08,418.55,75.35
1768536000000,418.55,422.57,417.72,422.34,81.18
1768550400000,422.34,437.22,420.32,431.67,314.22
1768564800000,431.67,433.93,405.12,414.25,633.62
1768579200000,414.25,414.25,400.62,412.06,419.23
1768593600000,412.06,414.17,409.91,413.45,59.72
1768608000000,413.45,413.45,413.45,413.45,0.0
