time,open,high,low,close,volume
1642435200000,4.996,5.016,4.927,4.959,53871.474
1642449600000,4.961,5.02,4.916,4.977,72595.541
1642464000000,4.975,5.069,4.968,4.999,88233.779
1642478400000,5.002,5.049,4.919,5.008,95723.75
1642492800000,5.004,5.031,4.859,5.025,100439.81
1642507200000,5.017,5.049,4.865,4.958,121780.134
1642521600000,4.959,5.047,4.937,5.013,76695.035
1642536000000,5.019,5.078,4.984,5.013,86725.036
1642550400000,5.015,5.039,4.877,4.918,67843.941
1642564800000,4.922,4.974,4.851,4.897,163104.252
1642579200000,4.907,5.018,4.866,5.014,109752.164
1642593600000,5.015,5.026,4.924,4.943,115636.792
1642608000000,4.938,4.992,4.875,4.982,99320.569
1642622400000,4.976,4.995,4.888,4.893,82622.235
1642636800000,4.897,4.951,4.87,4.919,64006.087
1642651200000,4.925,5.004,4.92,4.993,64486.65
1642665600000,4.986,5.024,4.971,4.988,83952.247
1642680000000,4.98,5.086,4.946,5.068,114241.15
1642694400000,5.071,5.082,5.006,5.027,210908.512
1642708800000,5.024,5.062,4.712,4.788,109334.974
1642723200000,4.781,4.843,4.593,4.64,160620.803
1642737600000,4.641,4.747,4.635,4.723,113294.029
1642752000000,4.72,4.747,4.645,4.699,66562.629
1642766400000,4.7,4.708,4.529,4.623,199731.111
1642780800000,4.624,4.667,4.448,4.448,135786.612
1642795200000,4.45,4.53,4.067,4.172,207046.779
1642809600000,4.172,4.245,4.114,4.16,89751.46
1642824000000,4.159,4.178,3.736,3.803,157720.815
1642838400000,3.793,3.95,3.517,3.878,225032.172
1642852800000,3.88,4.029,3.724,3.735,90662.612
1642867200000,3.741,3.888,3.654,3.699,144631.688
1642881600000,3.701,3.877,3.673,3.773,125306.981
1642896000000,3.773,3.908,3.743,3.806,84898.322
1642910400000,3.806,3.939,3.788,3.919,83817.846
1642924800000,3.916,4.004,3.909,3.934,84210.5
1642939200000,3.935,3.981,3.774,3.825,152231.22
1642953600000,3.826,3.873,3.687,3.719,101741.153
1642968000000,3.716,3.936,3.695,3.936,119906.781
1642982400000,3.935,3.935,3.743,3.785,110922.563
1642996800000,3.785,3.8,3.703,3.718,95547.318
1643011200000,3.714,3.817,3.552,3.663,344303.244
1643025600000,3.659,3.754,3.524,3.744,110505.237
1643040000000,3.751,4.158,3.657,4.158,246044.804
1643054400000,4.153,4.243,4.104,4.219,143952.444
1643068800000,4.215,4.215,4.089,4.165,54442.932
1643083200000,4.157,4.203,4.065,4.179,95847.988
1643097600000,4.179,4.194,4.093,4.115,176843.221
1643112000000,4.125,4.187,4.017,4.098,112445.159
1643126400000,4.098,4.364,4.086,4.342,133811.78
1643140800000,4.345,4.346,4.215,4.286,86441.58
1643155200000,4.287,4.462,4.245,4.43,72306.13
1643169600000,4.429,4.551,4.408,4.468,137156.459
1643184000000,4.47,4.768,4.47,4.683,175326.314
1643198400000,4.683,4.818,4.663,4.762,98417.771
1643212800000,4.76,4.855,4.567,4.633,120597.674
1643227200000,4.633,4.672,4.41,4.623,92764.387
1643241600000,4.624,4.687,4.472,4.524,110977.24
1643256000000,4.522,4.686,4.506,4.653,153677.429
1643270400000,4.654,4.741,4.536,4.601,86808.763
1643284800000,4.606,4.976,4.602,4.853,135317.201
1643299200000,4.853,4.917,4.503,4.505,224432.293
1643313600000,4.503,4.576,4.388,4.567,119138.993
1643328000000,4.567,4.647,4.458,4.636,61750.743
1643342400000,4.642,4.693,4.561,4.561,128503.323
1643356800000,4.563,4.715,4.523,4.545,110764.197
1643371200000,4.552,4.603,4.433,4.588,92403.024
1643385600000,4.591,4.62,4.456,4.473,101818.147
1643400000000,4.475,4.701,4.465,4.565,95891.492
1643414400000,4.566,4.725,4.554,4.707,89128.744
1643428800000,4.709,4.867,4.709,4.844,71873.762
1643443200000,4.85,4.927,4.844,4.918,99509.971
1643457600000,4.92,4.995,4.808,4.822,91994.184
1643472000000,4.827,5.046,4.807,5.015,108159.375
1643486400000,5.016,5.483,4.971,5.399,190365.73
1643500800000,5.4,5.456,5.273,5.299,64795.124
1643515200000,5.3,5.353,5.262,5.262,78969.145
1643529600000,5.27,5.413,5.258,5.38,75103.971
1643544000000,5.386,5.448,5.204,5.353,82673.867
1643558400000,5.365,5.522,5.213,5.309,153231.64
1643572800000,5.301,5.456,5.114,5.252,134800.513
1643587200000,5.252,5.274,5.03,5.134,151012.618
1643601600000,5.131,5.442,5.09,5.41,97609.131
1643616000000,5.414,5.566,5.301,5.351,125771.681
1643630400000,5.354,5.566,5.278,5.54,136205.74
1643644800000,5.539,5.783,5.528,5.761,125653.085
1643659200000,5.762,5.784,5.641,5.736,92328.208
1643673600000,5.735,5.735,5.529,5.58,83211.672
1643688000000,5.582,5.587,5.442,5.555,81109.349
1643702400000,5.556,5.703,5.476,5.54,101204.272
1643716800000,5.536,5.558,5.36,5.422,118167.248
1643731200000,5.422,5.486,5.379,5.385,96923.954
1643745600000,5.383,5.457,5.354,5.372,88854.504
1643760000000,5.37,5.661,5.354,5.636,103569.864
1643774400000,5.632,5.831,5.588,5.831,99556.535
1643788800000,5.831,5.845,5.601,5.619,105640.177
1643803200000,5.625,5.992,5.617,5.735,178147.222
1643817600000,5.737,5.924,5.47,5.612,175141.482
1643832000000,5.609,5.63,5.277,5.324,141783.748
1643846400000,5.325,5.419,5.167,5.172,103909.086
1643860800000,5.171,5.219,5.158,5.178,91780.035
1643875200000,5.176,5.25,5.045,5.162,109814.891
1643889600000,5.164,5.193,5.034,5.179,113282.123
1643904000000,5.183,5.219,4.932,4.974,127985.047
1643918400000,4.974,5.093,4.926,5.087,166618.203
1643932800000,5.085,5.104,4.984,5.001,102140.71
1643947200000,5.004,5.212,4.946,5.18,110644.82
1643961600000,5.18,5.264,5.113,5.126,97121.015
1643976000000,5.124,5.321,5.025,5.319,93120.162
1643990400000,5.32,5.452,5.283,5.343,113972.618
1644004800000,5.341,5.541,5.31,5.536,100223.838
1644019200000,5.532,5.699,5.504,5.677,76462.395
1644033600000,5.691,5.894,5.675,5.775,118168.824
1644048000000,5.773,5.967,5.769,5.897,73073.651
1644062400000,5.897,6.023,5.823,5.993,92131.443
1644076800000,5.984,5.998,5.663,5.706,137181.166
1644091200000,5.706,5.923,5.661,5.753,69394.063
1644105600000,5.753,5.883,5.718,5.733,71474.97
1644120000000,5.73,5.807,5.627,5.776,96522.924
1644134400000,5.771,5.788,5.706,5.713,78049.26
1644148800000,5.713,5.775,5.52,5.623,115574.576
1644163200000,5.628,5.746,5.605,5.629,81945.234
1644177600000,5.629,5.811,5.593,5.801,107075.685
1644192000000,5.802,5.846,5.61,5.839,59952.322
1644206400000,5.833,5.854,5.762,5.786,84819.824
1644220800000,5.787,5.798,5.667,5.752,78398.285
1644235200000,5.754,5.974,5.708,5.929,109823.087
1644249600000,5.923,5.939,5.745,5.819,98686.356
1644264000000,5.819,5.911,5.768,5.908,106646.271
1644278400000,5.91,5.954,5.75,5.816,64097.89
1644292800000,5.817,6.066,5.814,5.884,90925.468
1644307200000,5.887,5.901,5.565,5.666,137429.38
1644321600000,5.668,5.668,5.372,5.437,126176.48
1644336000000,5.437,5.462,5.349,5.397,90360.235
1644350400000,5.397,5.547,5.382,5.523,108645.047
1644364800000,5.525,5.541,5.357,5.385,64290.955
1644379200000,5.385,5.543,5.383,5.513,76953.204
1644393600000,5.509,5.541,5.434,5.528,99594.091
1644408000000,5.526,5.64,5.521,5.582,84326.108
1644422400000,5.583,5.753,5.565,5.743,71076.919
1644436800000,5.744,5.895,5.737,5.837,77436.022
1644451200000,5.837,5.855,5.596,5.627,80758.385
1644465600000,5.628,5.677,5.613,5.673,61003.323
1644480000000,5.673,5.741,5.611,5.709,94464.967
1644494400000,5.711,5.718,5.264,5.487,180255.579
1644508800000,5.492,5.578,5.362,5.364,151727.96
1644523200000,5.362,5.404,5.214,5.231,91630.79
1644537600000,5.228,5.276,5.128,5.213,82641.063
1644552000000,5.215,5.3,5.187,5.278,76154.655
1644566400000,5.279,5.308,5.225,5.274,74616.074
1644580800000,5.284,5.36,5.25,5.299,61818.122
