time,open,high,low,close,volume
1783929600000,24.53,25.75,24.15,25.29,552.74
1783944000000,25.29,25.35,21.78,22.09,4301.11
1783958400000,22.09,22.18,20.23,20.98,3826.33
1783972800000,20.98,21.06,19.47,20.0,2773.02
1783987200000,20.0,21.92,19.55,20.48,18665.75
1784001600000,20.48,22.79,20.28,22.37,11980.81
1784016000000,22.37,23.68,22.37,22.85,2471.47
1784030400000,22.85,24.55,21.95,23.21,8707.33
1784044800000,23.21,23.82,22.61,23.08,4242.94
1784059200000,23.08,23.56,22.53,23.36,1818.49
1784073600000,23.36,24.27,22.9,24.0,2082.12
1784088000000,24.0,24.16,23.11,23.44,1216.85
1784102400000,23.44,23.45,21.68,22.08,1763.17
1784116800000,22.08,22.28,16.39,17.49,40672.83
1784131200000,17.49,20.28,15.82,19.25,26545.27
1784145600000,19.25,19.53,18.15,18.44,3237.81
1784160000000,18.44,19.16,17.89,18.63,4410.26
1784174400000,18.63,19.29,17.52,17.69,3673.48
1784188800000,17.69,17.71,16.27,16.37,9592.01
1784203200000,16.37,17.72,15.1,15.28,34128.43
1784217600000,15.28,15.53,13.97,14.43,11591.42
1784232000000,14.43,14.57,13.25,13.52,6442.87
1784246400000,13.52,13.97,13.07,13.67,16573.02
1784260800000,13.67,13.79,12.41,12.58,8453.19
1784275200000,12.58,15.15,12.33,14.07,36433.26
1784289600000,14.07,16.03,12.67,15.88,39038.4
1784304000000,15.88,16.21,13.09,13.21,20255.7
1784318400000,13.21,13.31,12.63,12.86,3850.76
1784332800000,12.86,13.18,12.8,13.02,1930.74
1784347200000,13.02,13.11,12.37,12.6,2065.07
1784361600000,12.6,12.74,12.51,12.65,1757.39
1784376000000,12.65,12.73,12.54,12.6,1334.67
1784390400000,12.6,12.83,12.35,12.71,1572.08
1784404800000,12.71,12.84,12.62,12.81,1056.46
1784419200000,12.81,13.07,12.72,12.82,1579.54
1784433600000,12.82,13.07,12.82,13.07,1242.39
1784448000000,13.07,13.48,12.91,12.95,2292.46
1784462400000,12.95,13.18,12.91,13.05,1418.62
1784476800000,13.05,13.26,12.85,13.17,1416.45
1784491200000,13.17,13.55,13.05,13.25,3402.1
1784505600000,13.25,14.22,12.9,13.33,10826.5
1784520000000,13.33,13.74,13.2,13.6,15963.05
1784534400000,13.6,14.58,13.52,14.54,8355.41
1784548800000,14.54,15.09,13.79,14.7,22400.6
1784563200000,14.7,15.16,13.63,13.89,15484.74
1784577600000,13.89,14.3,13.89,14.24,5275.23
1784592000000,14.24,15.79,13.86,15.67,9833.97
1784606400000,15.67,15.88,15.22,15.87,5473.38
1784620800000,15.87,16.42,15.78,16.01,4773.34
1784635200000,16.01,17.31,15.78,16.86,17913.27
1784649600000,16.86,18.0,16.83,17.86,7636.61
1784664000000,17.86,19.07,17.72,18.85,6343.9
1784678400000,18.85,19.58,17.62,17.78,11456.58
