time,open,high,low,close,volume
1642435200000,142.14,142.46,138.84,139.83,45542.01
1642449600000,139.82,140.23,137.11,139.85,28609.15
1642464000000,139.85,141.79,138.96,139.16,31161.05
1642478400000,139.23,140.83,138.16,140.14,15963.67
1642492800000,140.14,140.31,136.09,137.72,27828.71
1642507200000,137.61,138.22,134.42,136.57,39094.65
1642521600000,136.6,137.8,135.67,137.01,27877.75
1642536000000,137.04,142.63,136.39,141.24,35897.89
1642550400000,141.39,142.62,137.07,137.95,36644.04
1642564800000,137.99,139.09,134.11,134.39,25481.51
1642579200000,134.39,136.3,132.86,136.15,39574.8
1642593600000,136.12,138.59,135.54,136.96,34606.23
1642608000000,136.86,138.0,135.38,136.76,30664.06
1642622400000,136.67,137.41,135.08,135.23,25950.51
1642636800000,135.26,137.16,134.53,137.03,19251.75
1642651200000,137.09,137.8,136.23,137.37,8214.13
1642665600000,137.41,138.17,135.67,137.83,15255.47
1642680000000,137.84,143.45,136.97,142.98,44108.28
1642694400000,143.13,143.84,139.74,140.01,40660.36
1642708800000,140.01,140.29,126.17,127.56,71655.09
1642723200000,127.48,128.66,121.1,124.25,161181.03
1642737600000,124.28,126.76,123.87,126.47,31955.07
1642752000000,126.5,126.82,121.34,122.18,52590.14
1642766400000,122.2,122.71,115.57,121.92,82640.34
1642780800000,121.95,126.81,120.18,120.3,103086.2
1642795200000,120.37,121.98,106.26,112.28,172955.87
1642809600000,112.16,114.07,108.41,109.58,72671.91
1642824000000,109.57,110.38,98.41,100.46,162797.07
1642838400000,100.43,103.73,87.87,98.65,289285.11
1642852800000,98.63,103.25,92.95,93.02,119975.41
1642867200000,93.1,98.45,88.64,90.62,227239.36
1642881600000,90.64,97.15,89.8,94.54,132678.31
1642896000000,94.56,99.16,93.28,94.34,80437.71
1642910400000,94.36,101.59,93.58,101.17,66687.29
1642924800000,101.18,104.67,99.88,101.91,69614.44
1642939200000,101.86,103.14,96.26,98.79,56128.98
1642953600000,98.8,99.68,94.01,94.75,58254.04
1642968000000,94.72,101.86,94.28,99.8,73615.19
1642982400000,99.8,99.85,91.37,92.12,121199.81
1642996800000,92.14,92.82,86.11,86.66,89150.03
1643011200000,86.68,89.38,81.78,83.93,209207.48
1643025600000,83.93,88.0,80.84,87.34,240061.72
1643040000000,87.41,91.45,83.65,89.65,164251.76
1643054400000,89.56,96.15,89.56,91.92,114562.71
1643068800000,91.88,92.01,87.93,90.03,57321.13
1643083200000,90.13,90.69,87.47,89.93,54622.63
1643097600000,89.94,94.51,89.87,91.59,85342.96
1643112000000,91.64,94.74,90.44,92.83,86810.62
1643126400000,92.84,99.9,92.71,96.12,90585.11
1643140800000,96.12,96.3,91.96,94.63,57065.93
1643155200000,94.68,95.33,91.41,94.75,60503.05
1643169600000,94.74,96.94,93.71,94.51,36519.32
1643184000000,94.46,98.18,94.45,98.06,105014.93
1643198400000,98.12,101.94,96.13,98.84,87841.27
1643212800000,98.79,104.32,96.43,98.24,186586.0
1643227200000,98.19,98.19,89.32,92.06,132628.62
1643241600000,92.12,93.59,85.78,86.76,129309.5
1643256000000,86.77,89.85,86.41,88.82,64595.36
1643270400000,88.73,91.36,88.31,91.23,50717.79
1643284800000,91.23,94.55,90.78,92.35,86692.95
1643299200000,92.38,93.4,89.11,89.87,60604.2
1643313600000,89.85,90.63,85.76,89.57,74277.88
1643328000000,89.6,92.89,88.72,92.46,70355.17
1643342400000,92.58,93.54,89.53,89.65,50127.05
1643356800000,89.65,90.97,87.62,88.54,45453.74
1643371200000,88.64,91.37,87.23,91.15,56666.4
1643385600000,91.09,93.04,90.13,91.66,73216.83
1643400000000,91.63,93.45,90.27,91.39,51254.91
1643414400000,91.3,93.68,90.55,92.08,48666.55
1643428800000,92.16,97.25,91.99,97.19,59073.78
1643443200000,97.16,97.62,95.28,96.32,37237.59
1643457600000,96.31,98.86,93.96,95.01,64444.58
1643472000000,94.97,95.73,93.52,95.21,41793.68
1643486400000,95.24,96.79,94.66,96.18,49876.73
1643500800000,96.19,96.37,93.63,94.5,46035.21
1643515200000,94.55,97.57,94.37,96.71,32180.86
1643529600000,96.72,97.07,95.08,96.37,20655.88
1643544000000,96.35,96.5,93.92,95.07,18701.8
1643558400000,95.12,95.86,91.77,92.07,30731.65
1643572800000,92.07,94.23,91.43,93.35,33138.56
1643587200000,93.27,93.58,89.36,90.79,62392.1
1643601600000,90.73,90.76,89.24,90.31,27295.97
1643616000000,90.31,91.68,89.99,91.4,18603.48
1643630400000,91.42,95.92,90.38,95.35,63801.76
1643644800000,95.36,98.68,94.97,98.36,70471.85
1643659200000,98.36,101.31,97.45,99.46,52933.33
1643673600000,99.46,107.97,99.06,106.95,84550.73
1643688000000,106.93,107.51,104.58,105.46,42206.67
1643702400000,105.47,108.93,103.91,106.44,73120.81
1643716800000,106.37,110.79,106.02,108.68,79934.08
1643731200000,108.68,113.54,107.95,107.99,94067.84
1643745600000,107.97,112.19,107.9,110.06,56353.09
1643760000000,110.07,112.32,108.29,110.7,55410.31
1643774400000,110.69,110.72,107.63,108.53,40418.94
