time,open,high,low,close,volume
1779249600000,156.45,158.55,156.39,157.53,87.45
1779264000000,157.53,163.81,157.49,161.79,474.47
1779278400000,161.79,172.53,160.78,170.98,945.25
1779292800000,170.98,173.71,166.37,173.55,437.39
1779307200000,173.55,175.03,166.9,169.65,453.72
1779321600000,169.65,175.2,168.84,174.74,356.69
1779336000000,174.74,178.25,168.44,173.16,588.33
1779350400000,173.16,176.81,167.72,169.85,567.84
1779364800000,169.85,178.41,167.55,171.38,757.34
1779379200000,171.38,179.95,171.27,177.9,541.74
1779393600000,177.9,179.85,176.14,179.64,241.83
1779408000000,179.64,181.92,178.98,181.62,512.65
1779422400000,181.62,182.7,180.8,182.52,307.95
1779436800000,182.52,186.0,177.7,181.35,470.35
1779451200000,181.35,193.19,180.91,191.96,973.3
1779465600000,191.96,195.21,189.37,190.79,767.5
1779480000000,190.79,190.89,188.26,188.38,240.21
1779494400000,188.38,192.47,187.52,189.54,244.31
1779508800000,189.54,190.48,187.66,188.22,289.72
1779523200000,188.22,190.25,187.57,188.92,215.4
1779537600000,188.92,191.28,188.07,189.7,283.69
1779552000000,189.7,193.12,187.82,191.42,249.83
1779566400000,191.42,209.85,191.27,195.21,621.04
1779580800000,195.21,203.53,195.21,200.01,681.79
1779595200000,200.01,200.31,196.6,199.05,388.73
1779609600000,199.05,200.62,198.39,198.71,445.34
1779624000000,198.71,199.61,197.18,197.89,464.05
1779638400000,197.89,199.84,197.84,197.85,252.98
1779652800000,197.85,199.78,197.43,198.67,251.09
1779667200000,198.67,201.72,198.35,201.72,274.69
1779681600000,201.72,203.17,200.43,201.72,350.66
1779696000000,201.72,210.81,201.71,208.85,410.84
1779710400000,208.85,209.81,206.26,207.85,366.46
1779724800000,207.85,209.27,207.13,207.22,335.69
1779739200000,207.22,209.04,205.03,206.02,302.46
1779753600000,206.02,208.65,201.25,204.23,811.4
1779768000000,204.23,205.58,201.86,202.32,343.15
1779782400000,202.32,208.44,201.2,208.33,327.2
1779796800000,208.33,226.75,207.67,215.61,1257.02
1779811200000,215.61,228.22,214.71,225.63,617.92
1779825600000,225.63,230.92,224.56,230.4,369.45
1779840000000,230.4,235.7,230.02,232.39,713.22
1779854400000,232.39,233.67,227.51,232.92,631.2
1779868800000,232.92,250.7,232.44,248.43,1736.16
1779883200000,248.43,256.04,205.5,209.72,4366.32
1779897600000,209.72,219.62,208.99,218.09,1870.31
1779912000000,218.09,223.55,211.72,211.72,775.67
1779926400000,211.72,222.97,200.29,203.02,1516.13
1779940800000,203.02,213.6,200.17,211.93,1313.4
1779955200000,211.93,214.71,205.75,210.04,971.11
1779969600000,210.04,230.46,208.21,227.29,3038.34
1779984000000,227.29,232.07,224.33,224.94,1194.02
1779998400000,224.94,228.85,224.48,227.59,495.11
1780012800000,227.59,227.76,222.47,225.33,707.74
1780027200000,225.33,229.93,225.24,227.12,714.17
1780041600000,227.12,232.74,226.73,230.32,787.55
1780056000000,230.32,239.15,219.03,222.44,1747.84
