time,open,high,low,close,volume
1766865600000,306.1,306.1,306.1,306.1,0.0
1766880000000,306.1,306.1,306.1,306.1,0.0
1766894400000,306.1,306.1,306.1,306.1,0.0
1766908800000,306.1,306.1,306.1,306.1,0.0
1766923200000,306.1,306.1,306.1,306.1,0.0
1766937600000,306.1,306.1,306.1,306.1,0.0
1766952000000,306.1,306.1,306.1,306.1,0.0
1766966400000,306.1,306.27,305.71,306.02,13.73
1766980800000,306.02,306.33,304.63,304.75,26.0
1766995200000,304.75,304.95,303.43,303.75,69.76
1767009600000,303.75,306.34,302.06,303.46,178.52
1767024000000,303.46,305.01,302.95,304.93,86.84
1767038400000,304.93,305.72,304.79,305.2,73.52
1767052800000,305.2,305.41,304.95,305.3,20.51
1767067200000,305.3,305.77,304.81,305.04,26.45
1767081600000,305.04,306.2,305.03,306.07,83.94
1767096000000,306.07,306.75,305.33,306.64,106.36
1767110400000,306.64,307.46,305.27,305.29,54.97
1767124800000,305.29,305.42,304.48,304.88,51.4
1767139200000,304.88,304.89,304.4,304.51,24.36
1767153600000,304.51,304.71,303.76,303.89,35.97
1767168000000,303.89,304.06,303.37,304.06,35.93
1767182400000,304.06,306.03,303.21,303.43,384.55
1767196800000,303.43,304.18,302.38,302.56,67.26
1767211200000,302.56,302.56,301.16,301.16,52.52
1767225600000,301.16,301.16,301.16,301.16,0.0
1767240000000,301.16,301.16,301.16,301.16,0.0
1767254400000,301.16,301.16,301.16,301.16,0.0
1767268800000,301.16,301.16,301.16,301.16,0.0
1767283200000,301.16,301.16,301.16,301.16,0.0
1767297600000,301.16,301.16,301.16,301.16,0.0
1767312000000,301.16,304.98,301.16,304.85,96.56
1767326400000,304.85,305.51,304.85,305.38,76.61
1767340800000,305.38,308.5,305.38,308.31,171.09
1767355200000,308.31,315.72,307.54,310.8,614.79
1767369600000,310.8,314.72,310.25,314.27,161.87
1767384000000,314.27,315.6,313.72,313.91,34.34
1767398400000,313.91,313.91,313.91,313.91,0.0
1767412800000,313.91,313.91,313.91,313.91,0.0
1767427200000,313.91,313.91,313.91,313.91,0.0
1767441600000,313.91,313.91,313.91,313.91,0.0
1767456000000,313.91,313.91,313.91,313.91,0.0
1767470400000,313.91,313.91,313.91,313.91,0.0
1767484800000,313.91,313.91,313.91,313.91,0.0
1767499200000,313.91,313.91,313.91,313.91,0.0
1767513600000,313.91,313.91,313.91,313.91,0.0
1767528000000,313.91,313.91,313.91,313.91,0.0
1767542400000,313.91,313.91,313.91,313.91,0.0
1767556800000,313.91,313.91,313.91,313.91,0.0
1767571200000,313.91,317.33,313.91,317.06,103.13
1767585600000,317.06,317.79,316.99,317.35,131.54
1767600000000,317.35,320.04,317.2,319.89,161.84
1767614400000,319.89,322.52,318.18,321.51,676.32
1767628800000,321.51,321.99,316.95,317.71,325.42
1767643200000,317.71,319.79,317.45,318.57,105.15
1767657600000,318.57,319.88,318.12,319.72,51.18
1767672000000,319.72,321.33,319.71,320.76,162.06
1767686400000,320.76,321.08,318.77,320.93,205.02
1767700800000,320.93,328.2,320.89,325.72,469.36
1767715200000,325.72,327.9,325.32,327.68,124.55
1767729600000,327.68,329.13,327.09,328.41,639.69
1767744000000,328.41,328.59,327.8,327.85,36.29
1767758400000,327.85,327.9,326.52,326.69,263.39
1767772800000,326.69,327.2,324.92,325.89,190.7
1767787200000,325.89,326.42,322.2,324.79,283.45
1767801600000,324.79,325.1,323.5,324.14,71.53
1767816000000,324.14,325.02,323.36,324.42,45.2
1767830400000,324.42,325.67,323.3,323.37,52.08
1767844800000,323.37,323.38,320.49,322.73,190.39
1767859200000,322.73,324.0,322.17,323.08,149.92
1767873600000,323.08,324.36,316.57,318.09,171.71
1767888000000,318.09,319.84,316.52,319.22,103.72
1767902400000,319.22,320.26,318.52,319.81,59.13
1767916800000,319.81,320.02,318.57,319.58,66.79
1767931200000,319.58,320.07,319.13,319.62,27.38
1767945600000,319.62,323.5,319.56,323.38,71.07
1767960000000,323.38,327.41,321.3,327.41,240.74
1767974400000,327.41,329.43,327.09,329.3,92.31
1767988800000,329.3,330.66,328.93,329.18,20.62
1768003200000,329.18,329.18,329.18,329.18,0.0
1768017600000,329.18,329.18,329.18,329.18,0.0
1768032000000,329.18,329.18,329.18,329.18,0.0
1768046400000,329.18,329.18,329.18,329.18,0.0
1768060800000,329.18,329.18,329.18,329.18,0.0
1768075200000,329.18,329.18,329.18,329.18,0.0
1768089600000,329.18,329.18,329.18,329.18,0.0
1768104000000,329.18,329.18,329.18,329.18,0.0
1768118400000,329.18,329.18,329.18,329.18,0.0
1768132800000,329.18,329.18,329.18,329.18,0.0
1768147200000,329.18,329.18,329.18,329.18,0.0
1768161600000,329.18,329.18,329.18,329.18,0.0
1768176000000,329.18,329.18,325.11,325.53,161.37
1768190400000,325.53,325.54,324.11,325.03,59.89
1768204800000,325.03,325.31,323.55,324.54,140.09
