time,open,high,low,close,volume
1779336000000,214.65,219.68,210.34,212.15,595.01
1779350400000,212.15,213.48,205.17,210.2,3995.39
1779364800000,210.2,212.56,207.53,208.65,4832.62
1779379200000,208.65,211.16,205.11,207.31,2884.22
1779393600000,207.31,209.59,204.61,207.53,2272.93
1779408000000,207.53,209.55,206.42,209.05,1463.72
1779422400000,209.05,212.02,207.67,208.59,2595.5
1779436800000,208.59,210.04,205.66,207.96,2234.52
1779451200000,207.96,208.32,200.82,201.59,2663.54
1779465600000,201.59,203.83,194.6,197.65,4049.84
1779480000000,197.65,200.94,196.39,196.75,2555.78
1779494400000,196.75,200.61,195.41,197.95,1895.08
1779508800000,197.95,200.86,196.31,198.45,2211.28
1779523200000,198.45,200.33,198.15,199.81,1103.05
1779537600000,199.81,202.11,199.51,202.02,997.21
1779552000000,202.02,202.11,201.13,202.03,422.27
1779566400000,202.03,202.26,199.03,201.98,1147.34
1779580800000,201.98,202.73,201.88,202.65,1056.42
1779595200000,202.65,209.09,202.57,209.03,5145.01
1779609600000,209.03,209.13,206.58,207.22,1854.26
1779624000000,207.22,207.83,203.74,204.52,1840.07
1779638400000,204.52,206.5,203.8,205.17,1030.09
1779652800000,205.17,207.86,203.43,207.11,1201.42
1779667200000,207.11,207.48,206.04,207.03,1043.8
1779681600000,207.03,208.52,207.03,208.12,1043.88
1779696000000,208.12,208.27,206.37,206.75,907.24
1779710400000,206.75,208.07,206.36,207.72,1042.97
1779724800000,207.72,208.22,207.54,207.86,455.43
1779739200000,207.86,208.01,207.49,207.57,229.44
1779753600000,207.57,207.88,206.14,206.28,738.9
1779768000000,206.28,206.95,205.94,205.94,635.13
1779782400000,205.94,205.94,203.82,204.24,1305.21
1779796800000,204.24,204.33,200.42,201.07,3005.4
1779811200000,201.07,203.29,200.24,201.32,1342.22
1779825600000,201.32,203.4,201.3,203.02,859.99
1779840000000,203.02,203.11,202.69,202.92,475.61
1779854400000,202.92,203.1,201.08,202.34,1316.17
1779868800000,202.34,205.12,201.19,203.32,2553.15
1779883200000,203.32,203.93,201.16,202.29,2696.39
1779897600000,202.29,203.4,201.48,201.6,924.92
1779912000000,201.6,202.42,201.0,201.29,547.14
