time,open,high,low,close,volume
1766894400000,690.11,690.11,690.11,690.11,0.0
1766908800000,690.11,690.11,690.11,690.11,0.0
1766923200000,690.11,690.11,690.11,690.11,0.0
1766937600000,690.11,690.11,690.11,690.11,0.0
1766952000000,690.11,690.11,690.11,690.11,0.0
1766966400000,690.11,690.77,689.78,690.16,184.92
1766980800000,690.16,690.27,689.19,689.44,130.27
1766995200000,689.44,689.44,688.41,689.04,160.6
1767009600000,689.04,689.16,686.71,687.39,537.94
1767024000000,687.39,688.46,686.12,688.26,381.25
1767038400000,688.26,688.6,687.41,687.47,146.45
1767052800000,687.47,688.34,687.34,687.88,161.29
1767067200000,687.88,688.21,686.9,687.19,107.76
1767081600000,687.19,688.15,687.19,687.82,147.69
1767096000000,687.82,688.5,686.6,687.6,356.83
1767110400000,687.6,688.52,686.91,687.57,174.38
1767124800000,687.57,687.81,686.45,686.71,168.95
1767139200000,686.71,686.71,685.6,686.18,204.65
1767153600000,686.18,686.45,685.45,685.75,124.97
1767168000000,685.75,685.87,685.0,685.86,173.43
1767182400000,685.86,687.72,684.21,684.33,362.41
1767196800000,684.33,686.2,684.05,684.13,257.86
1767211200000,684.13,684.15,681.73,682.66,265.83
1767225600000,682.66,682.79,682.51,682.57,24.75
1767240000000,682.57,682.57,682.57,682.57,0.0
1767254400000,682.57,682.57,682.57,682.57,0.0
1767268800000,682.57,682.57,682.57,682.57,0.0
1767283200000,682.57,682.57,682.57,682.57,0.0
1767297600000,682.57,682.57,682.57,682.57,0.0
1767312000000,682.57,685.23,682.57,685.23,204.81
1767326400000,685.23,685.39,684.96,685.13,116.7
1767340800000,685.13,686.72,685.13,686.23,203.83
1767355200000,686.23,686.83,681.18,681.37,995.88
1767369600000,681.37,683.92,679.86,683.16,748.79
1767384000000,683.16,683.67,682.09,682.69,247.67
1767398400000,682.69,683.1,682.65,683.09,26.46
1767412800000,683.09,683.09,683.09,683.09,0.0
1767427200000,683.09,683.09,683.09,683.09,0.0
1767441600000,683.09,683.09,683.09,683.09,0.0
1767456000000,683.09,683.09,683.09,683.09,0.0
1767470400000,683.09,683.09,683.09,683.09,0.0
1767484800000,683.09,683.09,683.09,683.09,0.0
1767499200000,683.09,683.09,683.09,683.09,0.0
1767513600000,683.09,683.09,683.09,683.09,0.0
1767528000000,683.09,683.09,683.09,683.09,0.0
1767542400000,683.09,683.09,683.09,683.09,0.0
1767556800000,683.09,683.09,683.09,683.09,0.0
1767571200000,683.09,684.52,683.09,684.02,230.39
1767585600000,684.02,684.77,683.95,684.25,126.46
1767600000000,684.25,685.47,684.15,685.41,211.62
1767614400000,685.41,688.8,684.42,688.33,541.56
1767628800000,688.33,689.4,687.34,687.64,249.0
1767643200000,687.64,688.22,687.2,687.39,116.79
1767657600000,687.39,688.48,687.2,688.4,143.77
1767672000000,688.4,689.07,688.35,688.6,175.1
1767686400000,688.6,688.61,686.47,687.3,250.35
1767700800000,687.3,690.83,687.23,689.12,401.06
1767715200000,689.12,692.16,688.32,691.89,299.05
1767729600000,691.89,692.3,691.81,691.89,110.64
1767744000000,691.89,692.27,691.86,691.94,110.9
1767758400000,691.94,691.95,691.45,691.47,107.32
1767772800000,691.47,691.71,690.87,691.55,139.51
1767787200000,691.55,693.06,691.12,692.5,338.56
1767801600000,692.5,693.95,691.49,691.74,360.14
1767816000000,691.74,691.81,689.19,689.77,211.45
1767830400000,689.77,690.42,688.89,688.94,192.53
1767844800000,688.94,689.13,687.08,688.28,228.55
1767859200000,688.28,689.03,687.95,688.33,125.89
1767873600000,688.33,690.0,687.52,689.83,443.62
1767888000000,689.83,690.58,688.31,688.87,510.86
1767902400000,688.87,691.07,688.73,689.77,199.72
1767916800000,689.77,690.09,689.07,689.72,241.42
1767931200000,689.72,690.15,689.38,689.73,106.45
1767945600000,689.73,690.91,689.3,690.47,145.44
1767960000000,690.47,693.43,689.24,691.92,740.28
1767974400000,691.92,695.21,691.92,694.9,347.15
1767988800000,694.9,695.28,693.79,694.47,153.8
1768003200000,694.47,694.6,694.26,694.49,25.04
1768017600000,694.49,694.49,694.49,694.49,0.0
1768032000000,694.49,694.49,694.49,694.49,0.0
1768046400000,694.49,694.49,694.49,694.49,0.0
1768060800000,694.49,694.49,694.49,694.49,0.0
1768075200000,694.49,694.49,694.49,694.49,0.0
1768089600000,694.49,694.49,694.49,694.49,0.0
