time,open,high,low,close,volume
1708488000000,1.931,1.931,1.911,1.919,161743.07
1708502400000,1.919,1.969,1.813,1.835,4968246.52
1708516800000,1.835,1.847,1.675,1.766,8061270.02
1708531200000,1.766,1.955,1.757,1.824,6683799.7
1708545600000,1.824,1.922,1.767,1.891,2381192.72
1708560000000,1.891,1.902,1.804,1.888,2113821.6
1708574400000,1.888,1.931,1.824,1.88,2443187.67
1708588800000,1.88,1.961,1.849,1.894,3486567.66
1708603200000,1.894,1.906,1.817,1.849,2276026.52
1708617600000,1.849,1.899,1.812,1.875,1607341.54
1708632000000,1.875,2.039,1.852,1.93,4592455.07
1708646400000,1.93,2.147,1.92,2.077,5991899.81
1708660800000,2.077,2.177,2.021,2.038,4499670.72
1708675200000,2.038,2.082,2.007,2.054,2385443.6
1708689600000,2.054,2.055,1.86,1.889,4049740.61
1708704000000,1.889,1.977,1.851,1.968,1833574.06
1708718400000,1.968,1.976,1.888,1.927,953701.08
1708732800000,1.927,1.934,1.862,1.906,1063243.49
1708747200000,1.906,1.924,1.881,1.92,836516.22
1708761600000,1.92,1.936,1.887,1.934,776381.43
1708776000000,1.934,1.948,1.905,1.933,821140.24
1708790400000,1.933,1.963,1.918,1.946,1018565.92
1708804800000,1.946,1.95,1.877,1.896,1363434.19
1708819200000,1.896,1.925,1.877,1.9,787435.59
1708833600000,1.9,1.922,1.885,1.913,813583.98
1708848000000,1.913,1.916,1.881,1.887,847011.27
1708862400000,1.887,1.948,1.887,1.912,1118193.96
1708876800000,1.912,1.941,1.902,1.932,652231.63
1708891200000,1.932,1.957,1.914,1.948,757527.86
1708905600000,1.948,1.957,1.904,1.933,835794.64
1708920000000,1.933,1.953,1.915,1.916,1175734.71
1708934400000,1.916,1.93,1.86,1.873,1228833.16
1708948800000,1.873,1.906,1.862,1.9,1204632.03
1708963200000,1.9,1.947,1.9,1.941,1483745.44
1708977600000,1.941,2.009,1.928,1.971,2251520.2
1708992000000,1.971,1.995,1.925,1.934,1998794.55
1709006400000,1.934,2.059,1.934,2.027,2826280.87
1709020800000,2.027,2.061,1.973,1.984,1402068.21
1709035200000,1.984,2.003,1.908,1.91,2161532.32
1709049600000,1.91,1.923,1.873,1.901,1227841.0
1709064000000,1.901,1.927,1.897,1.912,783364.41
1709078400000,1.912,1.936,1.903,1.904,848312.98
1709092800000,1.904,1.932,1.904,1.917,818020.99
1709107200000,1.917,1.973,1.884,1.911,2493192.93
1709121600000,1.911,1.938,1.902,1.909,1916937.93
1709136000000,1.909,1.952,1.681,1.832,4400887.13
1709150400000,1.832,1.856,1.812,1.838,1139983.16
1709164800000,1.838,1.918,1.831,1.873,1184018.17
1709179200000,1.873,1.884,1.837,1.864,1310614.71
1709193600000,1.864,1.885,1.831,1.842,1674216.82
1709208000000,1.842,1.868,1.828,1.853,1128767.54
1709222400000,1.853,1.857,1.765,1.798,1811149.64
1709236800000,1.798,1.805,1.701,1.747,1488243.97
1709251200000,1.747,1.786,1.747,1.776,1228048.65
1709265600000,1.776,1.802,1.76,1.769,918423.58
1709280000000,1.769,1.801,1.768,1.78,911512.3
1709294400000,1.78,1.836,1.78,1.794,1497847.18
1709308800000,1.794,1.834,1.794,1.814,732967.51
1709323200000,1.814,1.84,1.808,1.817,594040.26
1709337600000,1.817,1.845,1.792,1.824,901727.09
1709352000000,1.824,1.85,1.823,1.833,844588.39
1709366400000,1.833,1.836,1.797,1.817,1050338.44
1709380800000,1.817,1.839,1.801,1.808,812630.98
1709395200000,1.808,1.825,1.797,1.825,724117.64
1709409600000,1.825,1.841,1.805,1.841,536008.75
1709424000000,1.841,1.939,1.832,1.901,2170495.75
1709438400000,1.901,1.935,1.712,1.837,2391438.32
1709452800000,1.837,1.873,1.822,1.856,1264825.35
1709467200000,1.856,1.907,1.854,1.872,1094602.67
1709481600000,1.872,1.892,1.82,1.837,902105.14
1709496000000,1.837,1.87,1.831,1.843,523794.34
1709510400000,1.843,1.872,1.807,1.815,1065784.88
1709524800000,1.815,1.836,1.807,1.831,765367.74
1709539200000,1.831,1.848,1.801,1.825,1229332.73
1709553600000,1.825,1.827,1.777,1.799,1451724.46
1709568000000,1.799,1.809,1.743,1.786,1934983.76
1709582400000,1.786,1.8,1.762,1.795,609598.3
1709596800000,1.795,1.799,1.745,1.786,1045845.61
1709611200000,1.786,2.214,1.783,2.17,13295259.41
1709625600000,2.17,2.355,2.164,2.252,6384517.85
1709640000000,2.252,2.283,2.03,2.098,5495903.51
1709654400000,2.098,2.32,1.854,2.011,7714013.75
1709668800000,2.011,2.276,2.009,2.253,4652661.8
1709683200000,2.253,2.465,2.18,2.263,6366997.63
1709697600000,2.263,2.42,2.233,2.391,4140914.21
1709712000000,2.391,2.429,2.268,2.306,2706980.26
1709726400000,2.306,2.568,2.262,2.526,6909382.75
1709740800000,2.526,2.533,2.39,2.495,2690039.39
1709755200000,2.495,2.557,2.416,2.548,1797635.98
1709769600000,2.548,2.578,2.341,2.353,2718693.38
1709784000000,2.353,2.383,2.313,2.371,1716398.09
1709798400000,2.371,2.412,2.325,2.358,1467676.31
1709812800000,2.358,2.457,2.356,2.403,2038928.11
1709827200000,2.403,2.405,2.358,2.392,1011858.3
1709841600000,2.392,2.456,2.382,2.421,817288.76
1709856000000,2.421,2.485,2.307,2.325,2295668.52
1709870400000,2.325,2.347,2.271,2.288,1927695.26
1709884800000,2.288,2.326,2.273,2.307,1081842.12
1709899200000,2.307,2.385,2.19,2.27,2844609.72
1709913600000,2.27,2.304,2.184,2.282,1904561.83
1709928000000,2.282,2.301,2.262,2.292,818718.54
1709942400000,2.292,2.362,2.275,2.353,1203726.33
1709956800000,2.353,2.411,2.328,2.399,1475808.08
1709971200000,2.399,2.405,2.27,2.312,2000697.96
1709985600000,2.312,2.494,2.289,2.461,3833058.96
1710000000000,2.461,2.469,2.363,2.364,1723281.81
1710014400000,2.364,2.409,2.364,2.408,808547.55
1710028800000,2.408,2.526,2.356,2.505,2242014.7
1710043200000,2.505,2.508,2.414,2.479,1647944.21
1710057600000,2.479,2.482,2.37,2.379,1976088.42
1710072000000,2.379,2.413,2.3,2.327,2134003.13
1710086400000,2.327,2.372,2.327,2.358,758450.23
1710100800000,2.358,2.443,2.31,2.424,1263089.56
1710115200000,2.424,2.548,2.303,2.478,4744507.2
1710129600000,2.478,2.505,2.424,2.461,2230675.33
1710144000000,2.461,2.51,2.432,2.434,1993659.62
1710158400000,2.434,2.506,2.383,2.493,2584465.56
1710172800000,2.493,2.502,2.408,2.469,1420206.1
1710187200000,2.469,2.594,2.463,2.589,1348961.45
1710201600000,2.589,2.671,2.502,2.506,2724280.88
1710216000000,2.506,2.545,2.444,2.452,1509635.39
1710230400000,2.452,2.461,2.372,2.408,1785570.58
1710244800000,2.408,2.484,2.379,2.455,2263001.56
1710259200000,2.455,2.465,2.303,2.465,2191693.07
1710273600000,2.465,2.483,2.423,2.48,602478.98
1710288000000,2.48,2.498,2.46,2.485,948580.26
1710302400000,2.485,2.533,2.451,2.484,1534688.81
1710316800000,2.484,2.503,2.463,2.469,1324226.09
1710331200000,2.469,2.621,2.372,2.589,3945975.3
1710345600000,2.589,2.603,2.498,2.576,2055348.29
1710360000000,2.576,2.667,2.561,2.63,1615746.36
1710374400000,2.63,2.65,2.506,2.519,2311912.53
1710388800000,2.519,2.519,2.444,2.455,1844650.46
1710403200000,2.455,2.482,2.409,2.446,1493478.57
1710417600000,2.446,2.457,2.324,2.362,3168242.51
1710432000000,2.362,2.392,2.261,2.308,2329548.96
1710446400000,2.308,2.401,2.304,2.39,1064816.89
1710460800000,2.39,2.423,2.072,2.204,3361310.25
1710475200000,2.204,2.236,2.165,2.217,2290247.81
1710489600000,2.217,2.222,2.004,2.135,2836464.71
1710504000000,2.135,2.167,2.111,2.135,1569962.64
1710518400000,2.135,2.216,2.11,2.148,1174463.78
1710532800000,2.148,2.206,2.092,2.198,854611.08
1710547200000,2.198,2.246,2.19,2.236,1138045.5
1710561600000,2.236,2.257,2.167,2.255,1543301.33
1710576000000,2.255,2.256,2.161,2.177,1220550.05
1710590400000,2.177,2.181,2.075,2.144,1839362.4
1710604800000,2.144,2.148,2.002,2.046,1769283.52
1710619200000,2.046,2.079,1.986,2.039,1065894.02
1710633600000,2.039,2.092,2.014,2.092,1120501.16
1710648000000,2.092,2.092,1.918,1.964,1562751.25
1710662400000,1.964,2.071,1.962,2.044,1209740.18
1710676800000,2.044,2.106,1.992,2.097,1311785.36
1710691200000,2.097,2.144,2.078,2.114,948005.32
1710705600000,2.114,2.142,2.095,2.116,549009.33
1710720000000,2.116,2.12,2.034,2.081,846314.38
