time,open,high,low,close,volume
1642435200000,2.04,2.0985,2.019,2.0976,137425.04
1642449600000,2.096,2.1089,2.0363,2.0726,81146.27
1642464000000,2.075,2.0764,1.9961,2.001,50052.05
1642478400000,1.9985,2.033,1.976,2.0136,130556.32
1642492800000,2.0121,2.0134,1.9461,1.9804,100488.5
1642507200000,1.9806,2.3399,1.9806,2.2801,74476.84
1642521600000,2.2795,2.8347,2.2086,2.2281,90137.37
1642536000000,2.2371,2.3633,2.208,2.3291,69753.16
1642550400000,2.3339,2.4812,2.2711,2.3011,91480.49
1642564800000,2.3062,2.3071,2.133,2.1446,99003.02
1642579200000,2.144,2.3601,2.144,2.2631,89904.81
1642593600000,2.2621,2.2861,2.1709,2.189,115970.41
1642608000000,2.1909,2.2539,2.1475,2.153,70738.41
1642622400000,2.151,2.155,2.045,2.06,53456.08
1642636800000,2.056,2.062,2.0171,2.041,112173.32
1642651200000,2.0399,2.042,1.988,2.004,98431.97
1642665600000,2.0018,2.0313,1.9969,2.0224,66126.42
1642680000000,2.0169,2.0935,1.9775,2.0819,46770.18
1642694400000,2.0822,2.201,2.0458,2.1118,117789.09
1642708800000,2.1071,2.1267,1.9176,1.9247,150758.25
1642723200000,1.9199,1.9509,1.7474,1.7678,140864.23
1642737600000,1.768,1.8451,1.768,1.8451,68537.27
1642752000000,1.8421,1.8525,1.8049,1.8093,112229.15
1642766400000,1.808,1.8099,1.7091,1.774,200414.5
1642780800000,1.7722,1.8489,1.754,1.7851,109269.97
1642795200000,1.7849,1.7913,1.6319,1.6735,61547.74
1642809600000,1.6671,1.6918,1.5778,1.5898,100337.92
1642824000000,1.5932,1.5988,1.3979,1.4003,70875.92
1642838400000,1.4011,1.4461,1.258,1.3723,335740.65
1642852800000,1.3778,1.4588,1.3589,1.3602,85056.29
1642867200000,1.365,1.4181,1.3186,1.3482,65052.54
1642881600000,1.3474,1.4141,1.3321,1.4114,49733.63
1642896000000,1.4157,1.4519,1.3717,1.3975,76678.49
1642910400000,1.397,1.4571,1.3921,1.4428,103771.14
1642924800000,1.4436,1.4858,1.4287,1.4315,117364.22
1642939200000,1.4312,1.4629,1.3833,1.3948,130349.13
1642953600000,1.3946,1.4107,1.3567,1.3764,59893.96
1642968000000,1.3753,1.4724,1.3743,1.4662,71550.85
1642982400000,1.4637,1.4637,1.3567,1.3744,76981.42
1642996800000,1.3778,1.3858,1.2935,1.2978,97739.63
1643011200000,1.2996,1.3257,1.2027,1.2137,106722.97
1643025600000,1.2204,1.2656,1.1804,1.2544,128726.12
1643040000000,1.2555,1.3107,1.2098,1.2985,59194.5
1643054400000,1.2954,1.3573,1.2756,1.3567,79493.95
1643068800000,1.3568,1.3578,1.2868,1.2989,119580.28
1643083200000,1.2993,1.3021,1.25,1.2689,151851.5
1643097600000,1.2691,1.3573,1.2691,1.3038,115866.0
1643112000000,1.3069,1.3545,1.2958,1.3419,110020.41
1643126400000,1.3404,1.3847,1.3359,1.3688,72108.73
1643140800000,1.3673,1.3717,1.3257,1.3551,80915.24
1643155200000,1.3569,1.4313,1.3438,1.4291,79959.02
1643169600000,1.4336,1.4573,1.3957,1.4089,68351.25
1643184000000,1.4089,1.4411,1.4089,1.439,62660.4
1643198400000,1.4397,1.4687,1.4072,1.4441,103888.1
1643212800000,1.4419,1.5274,1.4144,1.4196,88796.4
1643227200000,1.4205,1.4205,1.3239,1.3752,80367.82
1643241600000,1.3758,1.4223,1.3146,1.3284,82843.09
1643256000000,1.3291,1.3617,1.3264,1.3569,106743.2
1643270400000,1.3543,1.4153,1.3394,1.403,133081.28
1643284800000,1.4055,1.4541,1.3985,1.4113,105659.23
1643299200000,1.4118,1.4141,1.3697,1.3813,175270.71
1643313600000,1.3831,1.393,1.3277,1.3921,53523.87
1643328000000,1.3927,1.4224,1.3727,1.4133,178688.8
1643342400000,1.4139,1.4255,1.3979,1.4058,92382.53
1643356800000,1.4079,1.4555,1.3893,1.428,115637.71
1643371200000,1.4294,1.4499,1.3771,1.4423,102524.32
1643385600000,1.4426,1.4571,1.4163,1.4368,109546.69
1643400000000,1.4393,1.4842,1.4295,1.4598,86823.01
1643414400000,1.4598,1.5296,1.4533,1.5072,122466.44
1643428800000,1.5071,1.5233,1.4878,1.5144,78663.05
1643443200000,1.5155,1.5662,1.4872,1.5492,90936.01
1643457600000,1.5486,1.5617,1.4903,1.495,109741.99
1643472000000,1.4957,1.5203,1.4855,1.4958,72397.32
1643486400000,1.4963,1.5266,1.4945,1.5154,221576.85
1643500800000,1.5132,1.547,1.4785,1.5282,123096.02
1643515200000,1.5293,1.5607,1.5253,1.5409,78647.97
1643529600000,1.5412,1.5487,1.5097,1.5275,78850.3
1643544000000,1.5278,1.5297,1.472,1.4881,82235.05
1643558400000,1.4876,1.4943,1.4563,1.4617,88947.46
1643572800000,1.4629,1.5317,1.4549,1.4929,91448.13
1643587200000,1.4926,1.5173,1.4157,1.4414,118098.6
