time,open,high,low,close,volume
1781683200000,1060.24,1061.84,1048.9,1049.51,79.44
1781697600000,1049.51,1091.08,1048.34,1085.84,267.36
1781712000000,1085.84,1093.55,1060.88,1067.01,221.86
1781726400000,1067.01,1097.6,1066.13,1095.8,155.92
1781740800000,1095.8,1109.46,1093.85,1108.64,160.74
1781755200000,1108.64,1114.76,1100.94,1102.7,163.18
1781769600000,1102.7,1122.21,1102.08,1118.44,194.54
1781784000000,1118.44,1149.13,1070.26,1070.99,409.8
1781798400000,1070.99,1079.0,1052.7,1070.62,226.55
1781812800000,1070.62,1080.52,1069.16,1079.01,168.44
1781827200000,1079.01,1092.53,1074.57,1079.85,139.2
1781841600000,1079.85,1092.59,1076.21,1084.43,172.23
1781856000000,1084.43,1088.98,1077.76,1088.73,182.6
1781870400000,1088.73,1105.12,1079.38,1101.08,214.34
1781884800000,1101.08,1104.78,1093.67,1093.67,135.13
1781899200000,1093.67,1103.12,1092.93,1102.64,129.71
1781913600000,1102.64,1107.98,1102.06,1107.27,142.9
1781928000000,1107.27,1129.9,1107.22,1122.88,170.01
1781942400000,1122.88,1127.85,1113.25,1116.8,123.6
1781956800000,1116.8,1123.48,1112.96,1123.47,148.32
1781971200000,1123.47,1123.56,1113.28,1116.8,117.46
1781985600000,1116.8,1123.36,1112.25,1117.18,123.91
1782000000000,1117.18,1118.13,1113.84,1114.45,128.3
1782014400000,1114.45,1126.14,1114.43,1125.21,117.27
1782028800000,1125.21,1131.84,1124.15,1131.25,118.33
1782043200000,1131.25,1137.9,1125.86,1130.73,146.19
1782057600000,1130.73,1134.07,1124.37,1134.04,122.78
1782072000000,1134.04,1134.22,1089.19,1095.65,148.26
1782086400000,1095.65,1099.5,1061.66,1078.42,189.1
1782100800000,1078.42,1094.85,1069.94,1086.52,176.26
1782115200000,1086.52,1129.16,1086.52,1109.74,210.25
1782129600000,1109.74,1125.96,1080.55,1088.03,241.86
1782144000000,1088.03,1102.04,1077.8,1095.07,147.99
1782158400000,1095.07,1100.56,1092.32,1093.28,142.55
1782172800000,1093.28,1093.95,1039.33,1054.96,230.62
1782187200000,1054.96,1064.39,1013.46,1040.07,194.64
1782201600000,1040.07,1040.07,1007.32,1026.07,159.13
1782216000000,1026.07,1030.59,987.63,1023.01,191.67
1782230400000,1023.01,1043.02,1020.34,1042.7,188.77
1782244800000,1042.7,1055.81,1041.44,1045.12,142.31
1782259200000,1045.12,1062.71,1036.75,1047.44,158.86
1782273600000,1047.44,1059.38,1041.05,1051.15,244.3
1782288000000,1051.15,1059.96,1046.52,1057.69,137.25
1782302400000,1057.69,1059.48,998.15,1005.47,183.18
1782316800000,1005.47,1007.5,958.49,994.25,161.86
1782331200000,994.25,1098.06,989.48,1093.53,198.44
1782345600000,1093.53,1093.53,1059.38,1081.37,137.99
1782360000000,1081.37,1084.93,1073.92,1080.27,128.8
1782374400000,1080.27,1105.89,1065.08,1094.12,150.42
1782388800000,1094.12,1116.14,1005.0,1020.78,220.94
1782403200000,1020.78,1036.67,1015.27,1023.18,160.22
1782417600000,1023.18,1035.1,1015.36,1024.01,153.62
1782432000000,1024.01,1025.49,982.81,998.75,167.08
1782446400000,998.75,1011.62,986.75,1006.5,150.52
1782460800000,1006.5,1006.5,980.31,984.0,143.4
1782475200000,984.0,987.76,942.5,947.99,185.52
1782489600000,947.99,951.35,875.34,899.98,162.13
1782504000000,899.98,906.65,891.01,900.27,128.25
1782518400000,900.27,913.25,895.98,910.79,130.48
1782532800000,910.79,912.94,908.56,910.36,113.1
1782547200000,910.36,910.5,897.83,898.25,122.44
1782561600000,898.25,907.69,896.69,907.11,121.24
1782576000000,907.11,908.22,902.74,905.88,109.07
1782590400000,905.88,910.29,905.4,908.72,112.58
1782604800000,908.72,912.42,904.33,911.05,117.02
1782619200000,911.05,915.85,910.09,913.38,110.0
1782633600000,913.38,915.69,911.02,915.07,118.12
1782648000000,915.07,915.87,900.6,904.41,118.71
1782662400000,904.41,909.72,904.24,907.31,109.94
1782676800000,907.31,919.15,907.0,914.33,115.75
1782691200000,914.33,914.67,883.39,907.59,354.66
1782705600000,907.59,910.35,900.23,908.0,115.5
1782720000000,908.0,938.47,907.99,910.04,141.08
1782734400000,910.04,935.8,880.34,935.42,211.1
1782748800000,935.42,986.74,935.42,971.99,160.48
1782763200000,971.99,973.94,963.18,966.72,118.67
1782777600000,966.72,984.75,957.3,980.24,121.48
1782792000000,980.24,988.77,973.61,973.64,119.64
1782806400000,973.64,974.98,959.73,961.16,122.34
1782820800000,961.16,995.02,952.24,954.92,222.82
1782835200000,954.92,965.31,943.83,964.22,134.69
1782849600000,964.22,964.85,958.63,963.58,114.96
1782864000000,963.58,964.38,947.18,961.51,125.88
1782878400000,961.51,965.01,954.49,955.3,115.89
1782892800000,955.3,956.12,941.35,949.15,119.33
1782907200000,949.15,949.98,885.52,920.83,182.99
1782921600000,920.83,927.67,909.0,914.4,135.67
1782936000000,914.4,924.45,906.96,910.5,122.62
1782950400000,910.5,922.94,902.58,917.65,131.37
1782964800000,917.65,918.26,882.82,893.88,159.23
1782979200000,893.88,900.94,880.19,898.97,167.11
1782993600000,898.97,930.35,846.55,855.89,195.13
1783008000000,855.89,855.89,800.19,821.19,156.9
1783022400000,821.19,833.61,821.19,827.56,127.43
1783036800000,827.56,845.47,825.98,843.84,148.63
1783051200000,843.84,849.71,841.21,841.93,146.97
1783065600000,841.93,849.27,836.26,847.55,128.24
1783080000000,847.55,849.96,845.48,848.57,122.65
1783094400000,848.57,849.96,846.09,849.06,110.08
1783108800000,849.06,850.0,845.45,847.88,117.47
1783123200000,847.88,850.57,844.58,849.72,114.88
1783137600000,849.72,851.59,847.83,851.57,111.83
1783152000000,851.57,854.37,851.01,852.56,110.16
1783166400000,852.56,852.81,846.49,846.88,108.22
1783180800000,846.88,850.97,845.43,850.44,107.69
1783195200000,850.44,854.36,848.32,852.2,104.91
1783209600000,852.2,854.27,851.44,853.15,121.57
1783224000000,853.15,855.9,853.09,854.76,110.02
1783238400000,854.76,855.69,848.26,853.69,119.69
1783252800000,853.69,856.56,850.9,853.78,110.1
1783267200000,853.78,856.3,851.72,856.28,111.04
1783281600000,856.28,859.1,852.1,853.38,119.9
1783296000000,853.38,872.99,840.0,849.6,138.07
1783310400000,849.6,861.09,848.58,859.99,115.45
1783324800000,859.99,860.05,834.7,852.09,141.91
1783339200000,852.09,886.48,846.25,864.93,232.86
1783353600000,864.93,867.28,847.45,866.42,130.04
1783368000000,866.42,870.51,848.03,848.09,128.67
1783382400000,848.09,860.23,837.61,838.83,128.88
1783396800000,838.83,850.42,828.11,844.89,131.98
1783411200000,844.89,845.17,811.93,815.33,132.94
1783425600000,815.33,835.55,786.87,814.11,176.9
1783440000000,814.11,828.23,814.04,827.5,130.38
1783454400000,827.5,830.21,815.94,817.08,121.65
1783468800000,817.08,846.4,816.87,841.52,136.52
1783483200000,841.52,841.67,819.88,828.01,141.8
1783497600000,828.01,829.09,787.73,801.01,149.76
1783512000000,801.01,852.49,800.43,820.0,166.56
1783526400000,820.0,858.39,817.89,857.83,134.73
1783540800000,857.83,866.91,845.7,866.89,123.35
1783555200000,866.89,874.14,846.52,857.93,137.72
1783569600000,857.93,884.17,855.24,883.04,116.3
1783584000000,883.04,896.0,877.84,895.77,122.83
1783598400000,895.77,931.45,894.53,912.35,154.88
1783612800000,912.35,915.53,888.62,890.82,126.73
1783627200000,890.82,899.81,888.85,898.56,116.93
1783641600000,898.56,898.72,871.8,891.34,134.17
1783656000000,891.34,896.32,876.3,878.79,132.96
1783670400000,878.79,902.35,862.84,881.83,133.86
1783684800000,881.83,915.57,863.88,901.61,150.21
1783699200000,901.61,922.4,901.59,905.23,125.31
1783713600000,905.23,909.91,905.18,909.36,115.27
1783728000000,909.36,909.49,903.2,903.2,111.69
1783742400000,903.2,904.68,901.39,903.29,107.91
1783756800000,903.29,908.09,902.18,905.34,113.11
1783771200000,905.34,906.75,900.25,901.66,112.75
1783785600000,901.66,903.91,900.07,901.96,109.39
1783800000000,901.96,909.16,899.94,906.4,117.53
1783814400000,906.4,909.31,904.09,905.37,108.61
1783828800000,905.37,906.56,902.48,903.76,105.12
1783843200000,903.76,907.8,900.57,907.49,102.74
1783857600000,907.49,907.53,901.26,901.7,106.97
1783872000000,901.7,905.98,898.83,905.32,113.14
1783886400000,905.32,906.82,901.45,902.8,107.82
1783900800000,902.8,916.24,870.63,875.39,134.01
1783915200000,875.39,875.46,864.49,868.94,124.05
1783929600000,868.94,878.98,860.91,873.71,122.88
1783944000000,873.71,876.55,841.29,863.11,154.93
1783958400000,863.11,865.25,845.13,859.55,124.06
1783972800000,859.55,860.3,845.23,851.03,121.18
1783987200000,851.03,871.36,840.0,850.05,141.99
1784001600000,850.05,888.93,850.02,885.29,126.96
1784016000000,885.29,890.89,877.16,890.16,151.18
1784030400000,890.16,907.02,868.67,878.55,174.24
1784044800000,878.55,883.41,872.62,876.42,122.84
1784059200000,876.42,881.3,871.26,880.58,115.5
1784073600000,880.58,893.81,875.58,892.38,121.46
1784088000000,892.38,902.92,884.41,898.29,126.51
1784102400000,898.29,899.46,873.28,876.46,117.58
1784116800000,876.46,890.76,796.96,801.44,165.7
1784131200000,801.44,827.91,789.16,826.99,155.74
1784145600000,826.99,829.66,802.84,809.46,129.31
1784160000000,809.46,821.97,806.16,814.16,150.75
1784174400000,814.16,825.61,800.74,805.53,131.61
1784188800000,805.53,806.13,774.53,776.7,138.69
1784203200000,776.7,791.91,757.2,760.34,201.66
1784217600000,760.34,760.73,736.77,745.1,156.79
1784232000000,745.1,748.56,727.19,729.57,135.59
1784246400000,729.57,736.27,715.37,725.93,156.24
1784260800000,725.93,725.93,701.1,702.08,131.31
1784275200000,702.08,740.12,700.07,724.75,194.69
1784289600000,724.75,767.86,701.26,767.76,230.94
1784304000000,767.76,807.66,767.45,786.51,162.9
1784318400000,786.51,788.37,782.05,785.48,120.24
1784332800000,785.48,786.94,778.11,780.22,123.41
1784347200000,780.22,783.04,777.67,780.77,111.76
1784361600000,780.77,781.41,775.77,778.57,121.26
1784376000000,778.57,780.23,774.91,775.4,110.48
1784390400000,775.4,779.3,774.18,775.44,117.44
1784404800000,775.44,779.54,772.18,775.79,116.79
1784419200000,775.79,777.81,774.68,777.8,112.24
1784433600000,777.8,779.14,767.14,774.27,114.49
1784448000000,774.27,778.76,773.61,776.33,112.95
1784462400000,776.33,778.75,772.15,775.45,110.49
1784476800000,775.45,775.89,772.36,775.77,107.01
1784491200000,775.77,784.64,774.66,782.32,116.73
1784505600000,782.32,819.78,781.78,798.88,151.72
1784520000000,798.88,802.37,791.43,798.76,128.1
1784534400000,798.76,821.36,794.25,821.36,126.36
1784548800000,821.36,826.35,801.42,812.92,160.55
1784563200000,812.92,815.18,798.1,801.93,131.83
1784577600000,801.93,807.65,797.9,804.54,116.31
1784592000000,804.54,823.7,798.02,823.7,120.08
1784606400000,823.7,842.82,817.37,842.82,127.8
1784620800000,842.82,849.95,836.61,847.98,118.87
1784635200000,847.98,884.72,844.39,884.29,172.8
1784649600000,884.29,896.38,884.28,889.52,139.32
1784664000000,889.52,907.76,888.01,906.57,126.5
1784678400000,906.57,909.67,884.19,886.51,139.83
1784692800000,886.51,889.2,854.59,856.68,141.92
1784707200000,856.68,872.56,854.98,860.31,156.49
1784721600000,860.31,917.7,847.98,913.25,187.94
1784736000000,913.25,916.91,900.38,905.87,131.4
1784750400000,905.87,926.19,903.27,912.39,129.86
1784764800000,912.39,925.9,904.03,912.05,135.26
1784779200000,912.05,916.49,903.42,912.55,123.81
1784793600000,912.55,929.21,906.7,925.47,140.16
1784808000000,925.47,931.21,896.34,923.11,195.53
1784822400000,923.11,935.7,909.57,912.63,153.21
1784836800000,912.63,921.55,911.39,913.04,129.07
1784851200000,913.04,915.19,892.75,893.07,149.38
1784865600000,893.07,904.28,882.55,902.44,143.91
1784880000000,902.44,905.04,891.17,894.41,134.87
1784894400000,894.41,904.73,861.88,885.35,222.28
1784908800000,885.35,892.17,838.77,849.64,159.48
1784923200000,849.64,853.28,824.46,838.39,139.66
1784937600000,838.39,843.3,834.19,837.21,124.38
1784952000000,837.21,838.62,828.76,829.11,114.75
1784966400000,829.11,831.29,828.26,830.2,110.63
