time,open,high,low,close,volume
1683115200000,0.0,1.3623,1.2159,1.3016,22166599.1
1683129600000,1.3016,1.3964,1.2834,1.3184,13538071.5
1683144000000,1.3191,1.4128,1.3084,1.4016,6656531.4
1683158400000,1.4017,1.4993,1.3767,1.4066,8147995.2
1683172800000,1.4065,1.4187,1.3523,1.3718,4164900.9
1683187200000,1.3717,1.397,1.2991,1.3025,5328009.5
1683201600000,1.302,1.3482,1.2978,1.3314,3604566.6
1683216000000,1.3313,1.3468,1.3141,1.3342,1929057.8
1683230400000,1.3342,1.3432,1.3095,1.3297,1004113.8
1683244800000,1.3297,1.3382,1.2607,1.2682,3090632.9
1683259200000,1.2682,1.2901,1.2612,1.2747,1912393.3
1683273600000,1.2748,1.3793,1.2636,1.3422,4937152.8
1683288000000,1.3422,1.3693,1.2968,1.3063,3611186.5
1683302400000,1.3059,1.3246,1.2814,1.3083,2110847.2
1683316800000,1.3085,1.3164,1.288,1.3062,990187.0
1683331200000,1.3063,1.3605,1.2929,1.3436,2497379.2
1683345600000,1.3436,1.3756,1.3257,1.3449,2302798.8
1683360000000,1.3449,1.3467,1.3025,1.3243,1865578.0
1683374400000,1.3241,1.3502,1.2705,1.335,3379991.3
1683388800000,1.335,1.3443,1.3027,1.3281,1534053.0
1683403200000,1.3281,1.3376,1.3074,1.3295,834068.1
1683417600000,1.3295,1.3461,1.288,1.296,1676209.0
1683432000000,1.296,1.309,1.2942,1.2996,652388.1
1683446400000,1.2995,1.3138,1.2826,1.2913,901166.0
1683460800000,1.2913,1.3098,1.2836,1.2862,1163847.0
1683475200000,1.2862,1.2968,1.2703,1.28,917163.7
1683489600000,1.28,1.2886,1.2222,1.2425,918615.3
1683504000000,1.2425,1.2441,1.1127,1.1606,4756373.0
1683518400000,1.1606,1.1649,1.1146,1.1305,2508741.0
1683532800000,1.1304,1.1594,1.1258,1.1437,2151263.9
1683547200000,1.1435,1.1614,1.1315,1.1462,1970202.1
1683561600000,1.1462,1.1491,1.0229,1.0436,3401109.3
1683576000000,1.0432,1.1596,1.0431,1.1374,2913130.1
1683590400000,1.1374,1.143,1.1041,1.1143,1437248.9
1683604800000,1.1143,1.1534,1.0961,1.1502,1746933.9
1683619200000,1.1502,1.1505,1.1073,1.1403,2011959.3
1683633600000,1.1403,1.1743,1.1242,1.1511,3207501.1
1683648000000,1.1512,1.1873,1.1417,1.1864,2592627.8
1683662400000,1.1858,1.2133,1.1511,1.1831,1902556.1
1683676800000,1.1843,1.2275,1.1697,1.2013,2716054.2
1683691200000,1.2013,1.2087,1.1589,1.1737,3047450.8
1683705600000,1.1725,1.177,1.1174,1.1459,7608555.9
1683720000000,1.1458,1.2397,1.1375,1.2031,6020167.3
1683734400000,1.2031,1.2096,1.1046,1.1771,4290760.0
1683748800000,1.1775,1.1992,1.1639,1.1793,1886239.7
1683763200000,1.1793,1.1814,1.1321,1.1328,1846636.6
1683777600000,1.1328,1.1472,1.126,1.1365,1450609.7
1683792000000,1.1365,1.1433,1.1223,1.127,1408801.1
1683806400000,1.127,1.1454,1.0766,1.0968,3019730.5
1683820800000,1.0968,1.0995,1.0354,1.048,4003376.0
1683835200000,1.048,1.0795,1.0397,1.0736,1466871.0
1683849600000,1.0736,1.0826,1.0243,1.0303,1962509.9
1683864000000,1.0303,1.0473,1.0141,1.0416,1805658.4
1683878400000,1.0417,1.0719,1.0379,1.0485,1308018.6
1683892800000,1.0485,1.0791,1.0439,1.0503,1590556.1
1683907200000,1.0503,1.0881,1.0324,1.0848,1599226.7
1683921600000,1.0848,1.1217,1.0768,1.1153,1482637.3
1683936000000,1.1153,1.1224,1.0861,1.0962,866224.2
1683950400000,1.0959,1.108,1.0904,1.1053,567210.6
1683964800000,1.1053,1.1272,1.0961,1.1261,942301.9
1683979200000,1.1258,1.1392,1.0971,1.0975,1639359.1
1683993600000,1.0975,1.1077,1.0865,1.0958,1049467.4
1684008000000,1.0958,1.1024,1.0923,1.0991,486510.5
1684022400000,1.0991,1.0994,1.0684,1.0897,780176.6
1684036800000,1.0897,1.1015,1.0831,1.098,545730.3
