time,open,high,low,close,volume
1642420800000,6.705,6.735,6.562,6.587,91491.195
1642435200000,6.586,6.625,6.415,6.498,183379.967
1642449600000,6.498,6.519,6.32,6.434,120965.515
1642464000000,6.433,6.57,6.414,6.432,95225.455
1642478400000,6.429,6.472,6.346,6.39,133198.508
1642492800000,6.392,6.4,6.127,6.242,217316.576
1642507200000,6.242,6.254,6.043,6.12,212348.065
1642521600000,6.118,6.156,6.009,6.13,132694.406
1642536000000,6.131,6.294,6.073,6.208,109197.9523
1642550400000,6.209,6.241,5.938,5.974,165341.434
1642564800000,5.976,6.048,5.909,5.928,119595.266
1642579200000,5.939,6.101,5.922,6.099,145333.042
1642593600000,6.101,6.167,6.016,6.065,172168.943
1642608000000,6.059,6.151,6.006,6.079,61291.924
1642622400000,6.077,6.238,6.02,6.046,167377.75
1642636800000,6.042,6.065,5.944,6.059,102474.087
1642651200000,6.059,6.167,6.02,6.097,74987.0967
1642665600000,6.095,6.335,6.087,6.239,282494.635
1642680000000,6.238,6.59,6.194,6.569,238072.548
1642694400000,6.578,6.589,6.372,6.422,169318.037
1642708800000,6.417,6.44,5.766,5.812,322156.772
1642723200000,5.811,5.93,5.466,5.54,446770.23
1642737600000,5.538,5.784,5.538,5.749,173460.769
1642752000000,5.743,5.789,5.629,5.669,265644.918
1642766400000,5.667,5.676,5.374,5.621,370569.618
1642780800000,5.624,5.691,5.436,5.436,321843.565
1642795200000,5.437,5.504,4.799,4.954,1058880.246
1642809600000,4.949,5.111,4.904,5.004,268473.562
1642824000000,5.005,5.05,4.441,4.487,627782.703
1642838400000,4.478,4.609,3.986,4.408,1263521.9
1642852800000,4.409,4.769,4.387,4.399,607796.256
1642867200000,4.398,4.577,4.234,4.284,474570.24
1642881600000,4.288,4.525,4.246,4.406,372964.949
1642896000000,4.41,4.658,4.336,4.448,159117.285
1642910400000,4.446,4.626,4.427,4.592,172545.36
1642924800000,4.598,4.753,4.572,4.612,231188.096
1642939200000,4.614,4.784,4.469,4.604,399480.031
1642953600000,4.603,4.683,4.327,4.368,303002.666
1642968000000,4.365,4.697,4.312,4.66,315745.153
1642982400000,4.655,4.655,4.386,4.452,157515.651
1642996800000,4.458,4.473,4.189,4.204,236602.54
1643011200000,4.208,4.265,3.841,3.878,806719.58
1643025600000,3.881,4.183,3.803,4.128,690484.265
1643040000000,4.141,4.352,4.02,4.317,475305.459
1643054400000,4.312,4.497,4.292,4.404,184340.849
1643068800000,4.401,4.439,4.268,4.391,114509.103
1643083200000,4.391,4.396,4.265,4.35,142485.111
