time,open,high,low,close,volume
1706688000000,455.6,455.6,433.9,451.0,151.7017
1706702400000,451.0,463.9,429.3,441.4,192.1061
1706716800000,441.4,465.0,439.0,464.1,225.4481
1706731200000,464.1,481.7,445.1,468.5,281.8692
1706745600000,468.5,481.7,451.4,460.8,356.323
1706760000000,460.8,468.6,447.1,459.8,266.5508
1706774400000,459.8,463.0,430.3,435.7,186.8415
1706788800000,435.7,451.6,432.8,438.6,145.8949
1706803200000,438.6,463.9,433.9,456.7,239.4658
1706817600000,456.7,459.6,447.0,448.5,126.8133
1706832000000,448.5,457.7,441.1,441.3,80.9563
1706846400000,441.3,449.6,439.0,442.3,117.2091
1706860800000,442.3,443.5,417.4,421.8,212.41
1706875200000,421.8,436.1,417.0,428.5,194.4695
1706889600000,428.5,429.2,414.4,423.4,144.116
1706904000000,423.4,434.7,414.9,431.4,83.6753
1706918400000,431.4,440.5,428.6,438.1,69.9268
1706932800000,438.1,462.7,433.5,442.8,481.8791
1706947200000,442.8,454.3,439.2,446.6,186.407
1706961600000,446.6,447.9,434.0,437.0,74.4533
1706976000000,437.0,446.0,436.0,436.9,66.2581
1706990400000,436.9,439.3,430.7,432.7,47.1077
1707004800000,432.7,433.3,427.0,431.5,35.0027
1707019200000,431.5,436.9,426.6,427.4,52.0249
1707033600000,427.4,434.1,424.4,430.6,97.8074
1707048000000,430.6,434.4,424.3,426.5,130.4996
1707062400000,426.5,427.1,417.4,417.6,157.4445
1707076800000,417.6,422.9,416.9,418.9,109.0125
1707091200000,418.9,443.3,418.4,432.1,247.7859
1707105600000,432.1,440.0,423.5,436.8,250.8369
1707120000000,436.8,448.2,429.6,447.0,131.155
1707134400000,447.0,450.3,437.8,439.2,103.31
1707148800000,439.2,440.9,427.1,435.2,76.6355
1707163200000,435.2,451.6,425.5,449.5,328.3933
1707177600000,449.5,486.6,449.5,486.2,390.143
1707192000000,486.2,517.3,485.3,506.9,680.1877
1707206400000,506.9,522.0,491.2,497.8,476.8001
1707220800000,497.8,503.9,491.8,496.1,188.4908
1707235200000,496.1,496.6,477.2,482.8,347.7007
1707249600000,482.8,497.1,481.2,490.5,146.7004
1707264000000,490.5,493.0,482.5,485.0,162.2909
1707278400000,485.0,497.3,483.8,493.4,175.6607
1707292800000,493.4,494.1,482.3,482.9,121.7608
1707307200000,482.9,491.0,469.4,470.1,191.1041
1707321600000,470.1,485.7,446.6,453.2,476.3039
1707336000000,453.2,465.6,438.9,438.9,211.8223
1707350400000,438.9,445.6,414.8,439.1,772.2301
1707364800000,439.1,442.2,424.2,432.6,372.9162
1707379200000,432.6,457.0,429.0,438.3,357.7754
1707393600000,438.3,455.6,438.0,449.9,236.926
1707408000000,449.9,455.5,440.4,440.9,141.359
1707422400000,440.9,456.7,438.0,455.8,135.3936
1707436800000,455.8,499.8,451.9,491.4,570.8552
1707451200000,491.4,517.4,487.7,497.6,504.541
1707465600000,497.6,512.6,491.0,509.9,259.5559
1707480000000,509.9,511.5,486.3,488.7,335.4196
1707494400000,488.7,502.4,480.5,499.6,289.7157
1707508800000,499.6,554.5,498.7,548.2,536.777
1707523200000,548.2,550.6,526.4,538.3,343.357
1707537600000,538.3,557.7,533.6,534.4,321.9067
1707552000000,534.4,548.4,530.4,548.4,203.5205
1707566400000,548.4,571.0,540.3,563.8,283.6826
1707580800000,563.8,619.0,563.2,590.9,771.3189
1707595200000,590.9,610.2,577.1,578.4,451.5474
1707609600000,578.4,596.4,574.8,586.9,222.9985
1707624000000,586.9,596.9,583.1,588.5,200.7626
1707638400000,588.5,596.0,575.5,576.6,184.0062
1707652800000,576.6,578.2,557.0,567.6,283.9754
1707667200000,567.6,568.9,531.9,551.2,310.7378
1707681600000,551.2,553.7,532.5,535.9,158.0898
1707696000000,535.9,554.4,534.3,551.8,186.9476
1707710400000,551.8,563.3,544.5,550.2,205.7356
1707724800000,550.2,566.7,542.1,558.7,246.7152
1707739200000,558.7,559.8,543.3,559.0,169.2621
1707753600000,559.0,587.0,555.3,555.9,243.8813
1707768000000,555.9,566.4,534.2,541.5,161.7108
1707782400000,541.5,546.4,525.5,537.0,198.0984
1707796800000,537.0,549.0,525.2,544.5,164.2588
1707811200000,544.5,564.9,537.7,545.2,272.1105
1707825600000,545.2,551.3,527.2,539.7,232.1783
1707840000000,539.7,555.9,530.3,555.9,140.8629
1707854400000,555.9,593.2,555.0,581.8,314.6621
1707868800000,581.8,583.1,559.8,566.5,178.0891
1707883200000,566.5,600.1,559.9,593.7,189.7898
1707897600000,593.7,610.6,585.8,608.7,530.592
1707912000000,608.7,615.3,588.9,591.9,362.8866
1707926400000,591.9,608.3,580.4,598.4,168.5918
1707940800000,598.4,620.0,597.0,618.8,205.0342
1707955200000,618.8,633.1,603.1,620.2,297.251
1707969600000,620.2,629.9,617.8,621.6,149.2503
1707984000000,621.6,626.2,608.3,608.9,122.3584
1707998400000,608.9,631.3,599.2,610.5,222.6597
1708012800000,610.5,667.8,610.2,663.5,499.7102
1708027200000,663.5,684.4,652.9,671.3,305.5231
1708041600000,671.3,697.9,661.8,696.8,261.3303
1708056000000,696.8,698.1,655.0,657.3,247.8475
