time,open,high,low,close,volume
1698796800000,2.2792,2.2945,2.2774,2.2825,18829.2
1698811200000,2.2825,2.3136,2.1304,2.2221,1248532.4
1698825600000,2.2221,2.2955,2.208,2.2565,846083.9
1698840000000,2.2565,2.4128,2.2227,2.3074,1519737.1
1698854400000,2.3074,2.6669,2.3047,2.5647,3247658.5
1698868800000,2.5647,2.6226,2.4553,2.5492,790105.6
1698883200000,2.5492,2.8616,2.4644,2.6703,1340916.0
1698897600000,2.6703,2.8504,2.6415,2.6786,1177296.1
1698912000000,2.6786,2.6786,2.4388,2.5178,1257731.9
1698926400000,2.5178,2.5327,2.2707,2.3442,1212936.1
1698940800000,2.3442,2.4582,2.322,2.409,675715.2
1698955200000,2.409,2.4499,2.3437,2.3996,265905.0
1698969600000,2.3996,2.4243,2.2533,2.3409,558989.7
1698984000000,2.3409,2.397,2.3119,2.3187,441230.4
1698998400000,2.3187,2.3366,2.2202,2.3176,803027.5
1699012800000,2.3176,2.4017,2.2766,2.388,843760.6
1699027200000,2.388,2.399,2.3133,2.3893,393881.0
1699041600000,2.3893,2.4851,2.3735,2.3903,349428.4
1699056000000,2.3903,2.4592,2.3501,2.4269,306172.2
1699070400000,2.4269,2.4949,2.4035,2.4129,450009.3
1699084800000,2.4129,2.4477,2.3866,2.4214,292267.9
1699099200000,2.4214,2.4791,2.3788,2.4075,357549.5
1699113600000,2.4075,2.4135,2.362,2.3784,213579.7
1699128000000,2.3784,2.4451,2.3552,2.4271,166617.8
1699142400000,2.4271,2.4723,2.383,2.429,237042.7
1699156800000,2.429,2.4547,2.3903,2.4008,165782.2
1699171200000,2.4008,2.4223,2.2955,2.349,333195.0
1699185600000,2.349,2.3565,2.2525,2.3145,366002.5
1699200000000,2.3145,2.3379,2.3,2.3188,185367.0
1699214400000,2.3188,2.3313,2.251,2.3097,173657.2
1699228800000,2.3097,2.3614,2.2916,2.3338,155940.5
1699243200000,2.3338,2.3535,2.2524,2.2551,197158.8
1699257600000,2.2551,2.3315,2.2508,2.3182,211137.5
1699272000000,2.3182,2.3466,2.2885,2.3401,232844.0
1699286400000,2.3401,2.3547,2.3063,2.3345,218129.8
1699300800000,2.3345,2.3924,2.312,2.3653,183991.5
1699315200000,2.3653,2.4308,2.2928,2.3693,384697.8
1699329600000,2.3693,2.453,2.3604,2.3984,446930.2
1699344000000,2.3984,2.4021,2.3016,2.3201,357308.9
1699358400000,2.3201,2.336,2.2615,2.2778,271645.7
1699372800000,2.2778,2.3355,2.2248,2.2923,408793.4
1699387200000,2.2923,2.3453,2.2825,2.3372,200454.7
1699401600000,2.3372,2.3454,2.3002,2.3091,114025.9
1699416000000,2.3091,2.3404,2.2945,2.3229,116821.1
1699430400000,2.3229,2.3962,2.3007,2.349,277998.9
1699444800000,2.349,2.4076,2.3366,2.3618,396682.8
1699459200000,2.3618,2.3911,2.3338,2.3851,152763.9
1699473600000,2.3851,2.3994,2.344,2.3678,147365.3
1699488000000,2.3678,2.564,2.3566,2.5051,667811.9
1699502400000,2.5051,2.547,2.4399,2.491,497289.4
1699516800000,2.491,2.6328,2.4789,2.6328,762124.8
1699531200000,2.6328,2.6374,2.4554,2.4634,753034.9
1699545600000,2.4634,2.487,2.2489,2.3402,917721.5
1699560000000,2.3402,2.4693,2.2902,2.455,298482.1
1699574400000,2.455,2.5977,2.4397,2.5067,536383.5
1699588800000,2.5067,2.685,2.4785,2.4791,629494.2
