time,open,high,low,close,volume
1776153600000,51.37,51.56,51.36,51.44,116.09
1776168000000,51.44,52.82,51.37,52.67,2157.55
1776182400000,52.67,53.4,51.4,53.39,1516.49
1776196800000,53.39,53.65,53.25,53.55,679.64
1776211200000,53.55,53.68,53.36,53.55,664.57
1776225600000,53.55,53.65,53.2,53.44,1499.29
1776240000000,53.44,53.66,53.01,53.42,2622.96
1776254400000,53.42,54.74,53.19,54.65,3728.1
1776268800000,54.65,55.73,54.03,55.67,1785.21
1776283200000,55.67,55.96,55.46,55.91,644.88
1776297600000,55.91,56.29,55.82,56.17,679.34
1776312000000,56.17,56.44,56.0,56.28,597.67
1776326400000,56.28,56.3,55.65,56.0,1122.66
1776340800000,56.0,56.76,55.11,56.75,2847.64
1776355200000,56.75,56.91,55.61,56.45,2193.55
1776369600000,56.45,56.45,56.14,56.38,787.7
1776384000000,56.38,56.51,56.2,56.26,624.53
1776398400000,56.26,56.48,56.17,56.46,641.4
1776412800000,56.46,56.99,56.4,56.96,1185.89
1776427200000,56.96,58.9,56.94,58.43,3611.81
1776441600000,58.43,58.93,58.06,58.6,2157.8
1776456000000,58.6,58.7,58.51,58.55,661.53
1776470400000,58.55,58.55,58.54,58.55,0.27
1776484800000,58.55,58.55,58.55,58.55,0.0
1776499200000,58.55,58.55,58.55,58.55,0.0
1776513600000,58.55,58.55,58.55,58.55,0.0
1776528000000,58.55,58.55,58.55,58.55,0.0
1776542400000,58.55,58.55,58.55,58.55,0.0
1776556800000,58.55,58.55,58.55,58.55,0.0
1776571200000,58.55,58.55,58.55,58.55,0.0
1776585600000,58.55,58.55,58.55,58.55,0.0
1776600000000,58.55,58.55,58.55,58.55,0.0
1776614400000,58.55,58.55,58.55,58.55,0.0
1776628800000,58.55,58.55,58.55,58.55,0.0
1776643200000,58.55,58.55,57.21,57.61,1570.37
1776657600000,57.61,57.89,57.21,57.57,1125.78
1776672000000,57.57,57.94,57.25,57.82,1389.42
1776686400000,57.82,58.56,56.91,57.51,3353.57
1776700800000,57.51,58.1,57.39,58.09,1605.79
1776715200000,58.09,58.49,57.99,58.38,670.79
1776729600000,58.38,58.64,58.33,58.5,676.99
1776744000000,58.5,58.77,58.47,58.51,599.15
1776758400000,58.51,59.08,58.43,58.91,1129.61
1776772800000,58.91,58.96,57.55,57.97,4638.48
1776787200000,57.97,58.33,56.82,57.32,5376.15
1776801600000,57.32,58.33,57.14,58.23,1462.54
1776816000000,58.23,58.6,58.21,58.48,1130.64
1776830400000,58.48,58.82,58.23,58.71,1921.79
1776844800000,58.71,58.8,58.31,58.62,1539.78
1776859200000,58.62,59.72,58.51,59.57,3758.71
1776873600000,59.57,60.3,59.43,60.27,2383.91
1776888000000,60.27,60.56,60.15,60.33,2459.32
1776902400000,60.33,60.33,58.74,59.09,2369.04
1776916800000,59.09,59.77,58.99,59.68,1449.17
1776931200000,59.68,60.0,58.98,59.92,2041.81
1776945600000,59.92,60.72,59.52,60.31,3360.28
1776960000000,60.31,60.47,57.63,59.25,5375.39
1776974400000,59.25,60.2,59.12,60.19,1272.8
1776988800000,60.19,60.58,59.88,59.92,1824.29
1777003200000,59.92,60.46,59.84,60.42,1164.95
1777017600000,60.42,62.08,60.16,61.52,5428.86
1777032000000,61.52,62.47,60.57,62.3,13187.75
1777046400000,62.3,62.71,62.07,62.57,3817.35
1777060800000,62.57,62.63,62.37,62.47,1530.42
1777075200000,62.47,62.47,62.47,62.47,0.03
1777089600000,62.47,62.47,62.47,62.47,0.0
1777104000000,62.47,62.47,62.47,62.47,0.0
1777118400000,62.47,62.47,62.47,62.47,0.0
1777132800000,62.47,62.47,62.47,62.47,0.0
1777147200000,62.47,62.47,62.47,62.47,0.0
1777161600000,62.47,62.47,62.47,62.47,0.0
1777176000000,62.47,62.47,62.47,62.47,0.0
1777190400000,62.47,62.47,62.47,62.47,0.0
1777204800000,62.47,62.47,62.47,62.47,0.0
1777219200000,62.47,62.47,62.47,62.47,0.0
1777233600000,62.47,62.47,62.47,62.47,0.0
1777248000000,62.47,63.34,62.22,63.21,1998.85
1777262400000,63.21,63.29,62.41,62.53,1230.33
1777276800000,62.53,63.03,62.28,62.92,2085.65
1777291200000,62.92,62.93,61.65,62.1,3411.6
1777305600000,62.1,62.69,61.99,62.61,1444.76
1777320000000,62.61,63.02,62.41,62.94,844.9
1777334400000,62.94,63.09,62.28,62.41,1132.91
1777348800000,62.41,62.61,61.82,61.91,1079.83
1777363200000,61.91,62.06,60.17,60.25,7486.85
1777377600000,60.25,61.31,59.69,59.96,5709.02
1777392000000,59.96,61.12,59.82,60.73,2108.34
1777406400000,60.73,61.24,60.62,61.24,1014.07
1777420800000,61.24,61.6,60.92,61.51,1223.0
1777435200000,61.51,61.74,61.05,61.22,1370.71
1777449600000,61.22,61.55,60.97,61.32,1741.2
1777464000000,61.32,61.73,60.47,61.2,3883.85
1777478400000,61.2,61.85,60.67,61.78,3018.28
1777492800000,61.78,63.29,60.27,63.27,3645.26
1777507200000,63.27,63.79,62.26,62.37,2147.4
1777521600000,62.37,62.37,60.87,61.99,2806.45
1777536000000,61.99,62.93,61.79,62.58,3180.12
1777550400000,62.58,63.26,60.71,62.22,7725.83
1777564800000,62.22,63.76,61.96,63.65,7252.96
1777579200000,63.65,63.92,63.31,63.57,1959.71
1777593600000,63.57,64.15,63.57,63.96,1073.05
1777608000000,63.96,63.97,63.51,63.54,1256.32
1777622400000,63.54,63.65,63.25,63.41,993.65
1777636800000,63.41,65.83,63.31,65.67,4386.52
1777651200000,65.67,65.74,65.02,65.31,2309.75
1777665600000,65.31,65.31,64.86,65.15,943.23
1777680000000,65.15,65.15,65.14,65.14,0.03
1777694400000,65.14,65.14,65.14,65.14,0.0
1777708800000,65.14,65.14,65.14,65.14,0.0
1777723200000,65.14,65.14,65.14,65.14,0.0
1777737600000,65.14,65.14,65.14,65.14,0.0
1777752000000,65.14,65.14,65.14,65.14,0.0
1777766400000,65.14,65.14,65.14,65.14,0.0
1777780800000,65.14,65.14,65.14,65.14,0.0
1777795200000,65.14,65.14,65.14,65.14,0.0
1777809600000,65.14,65.14,65.14,65.14,0.0
1777824000000,65.14,65.14,65.14,65.14,0.0
1777838400000,65.14,65.14,65.14,65.14,0.0
1777852800000,65.14,66.08,65.11,65.99,3036.66
1777867200000,65.99,66.22,65.6,65.88,1121.88
1777881600000,65.88,65.95,64.13,65.27,3565.72
1777896000000,65.27,66.04,64.37,64.61,4222.2
1777910400000,64.61,65.18,63.82,64.89,3286.44
