time,open,high,low,close,volume
1737619200000,36.855,37.218,35.195,36.146,2703.0391
1737633600000,36.146,38.464,34.235,37.967,8030.3199
1737648000000,37.967,39.497,35.311,35.619,6166.3917
1737662400000,35.619,37.364,34.138,34.696,3713.8616
1737676800000,34.696,34.992,32.002,33.168,4967.5101
1737691200000,33.168,34.969,32.757,34.415,3928.7575
1737705600000,34.415,35.44,34.117,34.337,4064.208
1737720000000,34.337,34.48,32.825,33.073,3380.4196
1737734400000,33.073,33.876,32.474,32.778,2916.4486
1737748800000,32.778,32.84,29.102,30.187,4858.3122
1737763200000,30.187,30.187,27.23,29.505,9257.0346
1737777600000,29.505,29.506,27.315,27.582,5002.0868
1737792000000,27.582,28.254,25.746,26.897,9874.5017
1737806400000,26.897,28.203,26.438,27.39,5349.897
1737820800000,27.39,29.932,26.861,29.075,6784.1032
1737835200000,29.075,30.601,28.81,28.882,6640.9237
1737849600000,28.882,31.779,28.878,30.458,8043.02
1737864000000,30.458,32.305,30.298,30.875,5412.412
1737878400000,30.875,31.215,28.562,29.665,4867.1637
1737892800000,29.665,29.952,28.791,29.148,8635.3672
1737907200000,29.148,29.653,28.317,29.433,4053.24
1737921600000,29.433,29.558,27.105,27.39,3224.7485
1737936000000,27.39,27.895,26.081,26.893,6277.7712
1737950400000,26.893,26.969,24.672,25.782,7380.5026
1737964800000,25.782,26.555,25.486,26.029,4021.8392
1737979200000,26.029,27.745,26.018,27.176,5653.1751
1737993600000,27.176,27.866,26.157,26.314,4071.2205
1738008000000,26.314,28.232,26.293,28.008,3274.0681
1738022400000,28.008,30.326,27.752,29.404,6366.7152
1738036800000,29.404,30.433,29.052,29.331,3994.2954
1738051200000,29.331,30.281,28.82,29.9,2965.4642
1738065600000,29.9,30.267,29.001,29.912,3305.71
1738080000000,29.912,29.924,28.041,28.28,2955.346
1738094400000,28.28,28.418,26.304,27.346,3875.7866
1738108800000,27.346,28.09,27.041,27.203,2239.7186
1738123200000,27.203,28.277,27.137,27.968,2235.7216
1738137600000,27.968,28.22,27.34,27.752,1771.1242
1738152000000,27.752,27.772,26.714,27.075,4015.8401
1738166400000,27.075,28.06,26.326,27.666,4776.2494
1738180800000,27.666,28.664,27.171,27.249,3339.2271
1738195200000,27.249,28.19,27.006,28.162,2179.2527
1738209600000,28.162,28.288,27.375,27.626,2235.6781
1738224000000,27.626,27.803,27.197,27.332,1927.568
1738238400000,27.332,27.855,26.832,27.483,3130.2591
1738252800000,27.483,27.689,26.585,26.841,1760.5156
1738267200000,26.841,26.845,25.829,26.06,3856.4287
1738281600000,26.06,26.391,25.359,25.609,3046.8917
1738296000000,25.609,26.014,25.434,25.671,1767.0133
1738310400000,25.671,26.307,25.277,26.222,2231.465
1738324800000,26.222,26.6,25.924,26.432,4262.3679
1738339200000,26.432,26.566,25.02,25.239,3029.8523
1738353600000,25.239,25.295,23.724,24.142,3693.129
1738368000000,24.142,25.028,23.748,24.165,3250.4879
1738382400000,24.165,24.426,23.802,23.949,2023.0871
1738396800000,23.949,24.067,22.815,23.372,3440.4352
1738411200000,23.372,23.473,22.514,22.802,3272.3177
1738425600000,22.802,22.803,19.837,19.896,7707.9995
1738440000000,19.896,20.95,18.59,19.699,10462.3482
1738454400000,19.699,20.651,19.403,20.049,4935.8993
1738468800000,20.049,21.628,19.991,21.099,5470.3482
1738483200000,21.099,21.778,20.363,20.556,4294.8376
1738497600000,20.556,22.611,20.526,21.396,7205.5704
1738512000000,21.396,21.413,19.499,20.11,6783.6755
1738526400000,20.11,21.16,19.53,21.018,5257.052
1738540800000,21.018,21.21,15.82,17.96,22748.824
1738555200000,17.96,18.465,17.155,17.965,4862.7418
1738569600000,17.965,18.233,17.416,17.937,3578.4583
1738584000000,17.937,19.332,16.73,18.959,8969.2084
1738598400000,18.959,19.262,18.387,18.685,4008.1327
1738612800000,18.685,20.511,18.288,19.659,4048.7894
1738627200000,19.659,19.781,18.709,18.928,2342.0738
1738641600000,18.928,19.038,17.064,17.141,4810.4607
1738656000000,17.141,17.406,16.331,17.113,4817.1699
1738670400000,17.113,18.104,17.113,17.584,5216.3773
1738684800000,17.584,18.43,17.294,17.296,3461.1152
1738699200000,17.296,17.465,16.5,17.193,3755.5247
1738713600000,17.193,17.958,17.193,17.802,2221.8654
1738728000000,17.802,18.132,17.556,17.812,3422.0136
1738742400000,17.812,19.472,17.731,19.335,15425.4731
1738756800000,19.335,20.661,18.793,19.265,7759.3791
1738771200000,19.265,19.372,18.257,18.561,3975.1525
1738785600000,18.561,18.842,17.705,18.159,12229.7263
1738800000000,18.159,18.886,18.127,18.672,2390.7019
1738814400000,18.672,19.5,18.529,19.184,3611.9098
1738828800000,19.184,19.363,18.306,18.609,3040.4144
1738843200000,18.609,18.803,17.694,17.79,6725.6429
1738857600000,17.79,17.901,16.852,17.003,3918.1695
1738872000000,17.003,17.42,16.845,17.095,1791.5271
1738886400000,17.095,17.666,17.073,17.4,2211.301
1738900800000,17.4,17.616,16.995,17.362,1399.5582
1738915200000,17.362,17.8,17.316,17.768,1332.2534
1738929600000,17.768,18.249,17.39,17.499,4765.7895
1738944000000,17.499,17.623,17.141,17.186,1862.1588
1738958400000,17.186,17.199,16.172,16.582,2962.8552
1738972800000,16.582,16.728,16.384,16.444,1466.5885
1738987200000,16.444,17.048,16.211,16.912,2317.3741
1739001600000,16.912,17.22,16.744,16.984,1729.4431
1739016000000,16.984,17.327,16.81,16.928,4798.5472
1739030400000,16.928,17.42,16.801,17.279,1709.8901
1739044800000,17.279,17.468,17.073,17.241,966.9413
1739059200000,17.241,17.929,17.142,17.771,2321.6658
1739073600000,17.771,17.866,17.193,17.194,2529.3579
1739088000000,17.194,17.282,16.884,16.889,2105.2689
1739102400000,16.889,16.978,16.379,16.742,2666.6637
1739116800000,16.742,16.757,16.139,16.242,1393.6039
1739131200000,16.242,16.455,15.333,15.885,3929.0984
1739145600000,15.885,16.16,14.316,15.236,6575.477
1739160000000,15.236,16.074,15.117,15.994,3227.8665
1739174400000,15.994,16.221,15.822,16.077,1932.2575
1739188800000,16.077,16.544,15.872,16.076,2607.6302
1739203200000,16.076,16.321,16.001,16.044,1309.5216
1739217600000,16.044,16.28,15.77,15.903,1238.5205
1739232000000,15.903,16.443,15.87,16.078,2976.9533
1739246400000,16.078,16.781,15.932,16.533,2608.8028
1739260800000,16.533,16.596,16.0,16.095,1917.8806
1739275200000,16.095,16.102,15.518,15.798,2854.0263
1739289600000,15.798,15.824,15.232,15.385,1576.409
1739304000000,15.385,15.616,15.241,15.353,1228.2918
1739318400000,15.353,15.538,15.056,15.177,1479.9095
1739332800000,15.177,15.494,15.11,15.396,928.0413
1739347200000,15.396,15.481,15.16,15.381,1144.7415
1739361600000,15.381,15.528,14.475,14.842,5103.4854
1739376000000,14.842,15.38,14.611,15.182,2754.9401
1739390400000,15.182,15.552,15.116,15.452,1178.0485
