time,open,high,low,close,volume
1644105600000,0.0647,0.0656,0.0646,0.0652,65724931.0
1644120000000,0.0652,0.0655,0.0649,0.0654,52804229.0
1644134400000,0.0654,0.0657,0.065,0.0655,44116798.5
1644148800000,0.0655,0.0659,0.0643,0.0649,55095905.5
1644163200000,0.0649,0.0654,0.0649,0.0653,31197771.5
1644177600000,0.0653,0.0663,0.0651,0.0662,34895024.8
1644192000000,0.0662,0.0666,0.0652,0.0665,50847501.0
1644206400000,0.0665,0.0671,0.0663,0.0671,39907033.0
1644220800000,0.0671,0.0676,0.0668,0.0676,44859665.0
1644235200000,0.0676,0.0686,0.0674,0.0685,48809843.0
1644249600000,0.0685,0.0693,0.068,0.0689,54057684.0
1644264000000,0.0689,0.0693,0.0683,0.0685,34220816.0
1644278400000,0.0685,0.0694,0.0678,0.0694,62299193.0
1644292800000,0.0694,0.0702,0.0691,0.0696,76371163.0
1644307200000,0.0696,0.0697,0.0677,0.0688,81319521.0
1644321600000,0.0688,0.0688,0.0669,0.0675,90064228.0
1644336000000,0.0675,0.0677,0.0668,0.0671,82910164.0
1644350400000,0.0672,0.0682,0.067,0.0681,43279242.0
1644364800000,0.0681,0.0685,0.0674,0.0675,51303502.0
1644379200000,0.0675,0.0685,0.0674,0.0685,74467604.0
1644393600000,0.0685,0.0688,0.0679,0.0687,69906584.0
1644408000000,0.0687,0.0695,0.0685,0.0692,77185930.0
1644422400000,0.0692,0.0697,0.0689,0.0696,109127006.0
1644436800000,0.0696,0.07,0.0695,0.0699,56235995.0
1644451200000,0.0699,0.07,0.0688,0.0692,82096896.0
1644465600000,0.0692,0.0702,0.069,0.0702,95109358.0
1644480000000,0.0702,0.0716,0.0702,0.0714,100304416.0
1644494400000,0.0714,0.0716,0.0686,0.0705,150970734.0
1644508800000,0.0705,0.0707,0.0693,0.0694,159563286.0
1644523200000,0.0694,0.0697,0.0684,0.0685,71274020.0
1644537600000,0.0685,0.0685,0.0672,0.0677,93903048.0
1644552000000,0.0677,0.0681,0.0673,0.0679,81859924.0
1644566400000,0.068,0.068,0.0654,0.0655,191578772.0
1644580800000,0.0655,0.0666,0.0654,0.0664,105131032.0
1644595200000,0.0663,0.0664,0.0647,0.0647,230217624.0
1644609600000,0.0647,0.0648,0.0634,0.064,98946302.0
1644624000000,0.064,0.0651,0.0637,0.0643,99535932.0
1644638400000,0.0642,0.0643,0.0622,0.0632,146260822.0
1644652800000,0.0632,0.0639,0.063,0.0638,124047952.0
1644667200000,0.0638,0.0644,0.0632,0.0639,118495802.0
1644681600000,0.0638,0.0647,0.0637,0.0642,214356946.0
1644696000000,0.0642,0.0645,0.0628,0.0635,93331351.0
1644710400000,0.0635,0.0639,0.0632,0.0638,98554330.0
1644724800000,0.0638,0.0643,0.0637,0.0643,140276732.0
1644739200000,0.0643,0.0649,0.064,0.0645,143154642.0
1644753600000,0.0645,0.065,0.0643,0.0647,113730304.0
1644768000000,0.0647,0.0647,0.0637,0.0638,214628244.0
1644782400000,0.0638,0.0647,0.0637,0.0643,88891600.0
1644796800000,0.0643,0.0645,0.0633,0.0639,107082906.0
1644811200000,0.0639,0.0642,0.0635,0.0639,131706382.0
1644825600000,0.0639,0.0643,0.0635,0.0642,107794536.0
1644840000000,0.0642,0.0654,0.064,0.0649,121897112.0
1644854400000,0.0649,0.0652,0.0637,0.0638,162190622.0
1644868800000,0.0638,0.0649,0.0637,0.0644,87857880.0
1644883200000,0.0644,0.0658,0.0644,0.0654,101298124.0
1644897600000,0.0654,0.0662,0.0654,0.0662,103426802.0
1644912000000,0.0662,0.0666,0.066,0.0664,139588372.0
1644926400000,0.0664,0.0667,0.0659,0.0663,112968322.0
1644940800000,0.0663,0.0666,0.0661,0.0663,129620826.0
1644955200000,0.0663,0.067,0.0661,0.0669,75666565.0
1644969600000,0.0669,0.0669,0.066,0.0662,83692430.0
1644984000000,0.0662,0.0664,0.0656,0.0664,100722326.0
1644998400000,0.0664,0.0669,0.0662,0.0666,98670467.0
1645012800000,0.0666,0.0668,0.0657,0.0661,103319894.0
1645027200000,0.0661,0.0668,0.0655,0.0666,128137100.0
1645041600000,0.0666,0.0668,0.0662,0.0664,44684561.0
1645056000000,0.0664,0.0671,0.0662,0.0662,88795510.0
1645070400000,0.0662,0.0664,0.0653,0.0664,119606036.0
1645084800000,0.0664,0.0665,0.0651,0.0657,79501083.0
1645099200000,0.0657,0.0658,0.0642,0.0646,98627406.0
1645113600000,0.0646,0.0648,0.063,0.0634,137083400.0
1645128000000,0.0634,0.0634,0.062,0.0625,82122056.0
1645142400000,0.0625,0.0631,0.0621,0.063,93793614.0
1645156800000,0.063,0.0636,0.0629,0.0636,81402452.0
1645171200000,0.0636,0.064,0.0634,0.0635,103214528.0
1645185600000,0.0635,0.0641,0.0625,0.0628,137793754.0
1645200000000,0.0628,0.0632,0.0623,0.0632,134285550.0
1645214400000,0.0632,0.0633,0.0628,0.0631,55051888.0
1645228800000,0.0631,0.064,0.063,0.0637,86984342.0
1645243200000,0.0637,0.0642,0.0636,0.0641,86947262.0
1645257600000,0.0641,0.0644,0.0635,0.0637,103726398.0
1645272000000,0.0637,0.0643,0.0633,0.0641,127415196.0
1645286400000,0.0641,0.0644,0.0631,0.0632,118906788.0
