time,open,high,low,close,volume
1777291200000,273.75,277.49,267.75,270.7,427.47
1777305600000,270.7,270.81,267.72,269.45,315.96
1777320000000,269.45,269.49,269.45,269.49,0.36
1777334400000,269.49,269.49,269.49,269.49,0.0
1777348800000,269.49,269.49,269.49,269.49,0.0
1777363200000,269.49,269.49,269.49,269.49,0.0
1777377600000,269.49,270.65,264.26,266.7,352.72
1777392000000,266.7,267.94,264.83,264.98,244.33
1777406400000,264.98,264.98,264.98,264.98,0.06
1777420800000,264.98,264.98,264.98,264.98,0.0
1777435200000,264.98,264.98,264.98,264.98,0.0
1777449600000,264.98,264.98,264.98,264.98,0.0
1777464000000,264.98,272.29,264.98,270.02,289.47
1777478400000,270.02,270.37,267.64,269.27,315.36
1777492800000,269.27,269.27,269.18,269.27,0.49
1777507200000,269.27,269.27,269.27,269.27,0.0
1777521600000,269.27,269.27,269.27,269.27,0.0
1777536000000,269.27,269.27,269.27,269.27,0.0
1777550400000,269.27,277.77,266.77,277.67,335.08
1777564800000,277.67,281.67,277.13,281.33,297.95
1777579200000,281.33,281.33,281.05,281.05,0.34
1777593600000,281.05,281.05,281.05,281.05,0.0
1777608000000,281.05,281.05,281.05,281.05,0.0
1777622400000,281.05,281.05,281.05,281.05,0.0
1777636800000,281.05,281.07,277.03,280.13,251.18
1777651200000,280.13,281.85,278.03,280.97,203.18
1777665600000,280.97,281.03,280.97,281.03,0.24
1777680000000,281.03,281.03,281.03,281.03,0.0
1777694400000,281.03,281.03,281.03,281.03,0.0
1777708800000,281.03,281.03,281.03,281.03,0.0
1777723200000,281.03,281.03,281.03,281.03,0.0
1777737600000,281.03,281.03,281.03,281.03,0.0
1777752000000,281.03,281.03,281.03,281.03,0.0
1777766400000,281.03,281.03,281.03,281.03,0.0
1777780800000,281.03,281.03,281.03,281.03,0.0
1777795200000,281.03,281.03,281.03,281.03,0.0
1777809600000,281.03,281.03,281.03,281.03,0.0
1777824000000,281.03,281.03,281.03,281.03,0.0
1777838400000,281.03,281.03,281.03,281.03,0.0
1777852800000,281.03,281.03,281.03,281.03,0.0
1777867200000,281.03,281.03,281.03,281.03,0.0
1777881600000,281.03,281.03,281.03,281.03,0.0
1777896000000,281.03,283.64,276.96,280.48,230.63
1777910400000,280.48,281.96,279.01,280.82,230.57
1777924800000,280.82,280.97,280.82,280.97,0.24
1777939200000,280.97,280.97,280.97,280.97,0.0
1777953600000,280.97,280.97,280.97,280.97,0.0
1777968000000,280.97,280.97,280.97,280.97,0.0
1777982400000,280.97,280.97,276.0,279.77,251.06
1777996800000,279.77,282.39,279.41,281.08,211.57
1778011200000,281.08,281.08,280.93,280.93,0.14
1778025600000,280.93,280.93,280.93,280.93,0.0
1778040000000,280.93,280.93,280.93,280.93,0.0
1778054400000,280.93,280.93,280.93,280.93,0.0
1778068800000,280.93,289.77,279.43,288.68,407.57
1778083200000,288.68,292.53,288.51,289.56,333.2
1778097600000,289.56,289.56,289.43,289.43,0.11
1778112000000,289.43,289.43,289.43,289.43,0.0
1778126400000,289.43,289.43,289.43,289.43,0.0
1778140800000,289.43,289.43,289.43,289.43,0.0
1778155200000,289.43,289.43,281.27,283.03,320.02
1778169600000,283.03,285.78,282.16,285.17,293.25
1778184000000,285.17,285.2,285.14,285.2,0.65
1778198400000,285.2,285.2,285.2,285.2,0.0
1778212800000,285.2,285.2,285.2,285.2,0.0
1778227200000,285.2,285.2,285.2,285.2,0.0
1778241600000,285.2,291.77,285.2,289.78,453.42
1778256000000,289.78,290.73,286.39,287.86,260.5
1778270400000,287.86,287.86,287.61,287.61,0.03
1778284800000,287.61,287.61,287.61,287.61,0.0
1778299200000,287.61,287.61,287.61,287.61,0.0
1778313600000,287.61,287.61,287.61,287.61,0.0
1778328000000,287.61,287.61,287.61,287.61,0.0
1778342400000,287.61,287.61,287.61,287.61,0.0
1778356800000,287.61,287.61,287.61,287.61,0.0
1778371200000,287.61,287.61,287.61,287.61,0.0
1778385600000,287.61,287.61,287.61,287.61,0.0
1778400000000,287.61,287.61,287.61,287.61,0.0
1778414400000,287.61,287.61,287.61,287.61,0.0
1778428800000,287.61,287.61,287.61,287.61,0.0
1778443200000,287.61,287.61,287.61,287.61,0.0
1778457600000,287.61,287.61,287.61,287.61,0.0
1778472000000,287.61,287.61,287.61,287.61,0.0
1778486400000,287.61,287.61,287.61,287.61,0.0
1778500800000,287.61,296.29,287.61,293.88,486.88
1778515200000,293.88,298.19,291.87,297.8,273.19
1778529600000,297.8,297.8,297.53,297.53,0.59
1778544000000,297.53,297.53,297.53,297.53,0.0
1778558400000,297.53,297.53,297.53,297.53,0.0
1778572800000,297.53,297.53,297.53,297.53,0.0
1778587200000,297.53,297.53,287.9,288.31,318.58
1778601600000,288.31,295.45,287.59,295.25,336.99
1778616000000,295.25,295.25,295.2,295.2,0.15
1778630400000,295.2,295.2,295.2,295.2,0.0
1778644800000,295.2,295.2,295.2,295.2,0.0
1778659200000,295.2,295.2,295.2,295.2,0.0
1778673600000,295.2,308.8,295.2,304.38,396.47
1778688000000,304.38,309.26,304.24,306.39,282.39
1778702400000,306.39,306.39,306.32,306.32,0.69
1778716800000,306.32,306.32,306.32,306.32,0.0
1778731200000,306.32,306.32,306.32,306.32,0.0
1778745600000,306.32,306.32,306.32,306.32,0.0
1778760000000,306.32,310.07,303.41,308.62,227.63
1778774400000,308.62,310.18,306.58,308.13,238.42
1778788800000,308.13,308.22,308.13,308.22,2.61
1778803200000,308.22,308.22,308.22,308.22,0.0
1778817600000,308.22,308.22,308.22,308.22,0.0
1778832000000,308.22,308.22,308.22,308.22,0.0
1778846400000,308.22,308.22,298.38,304.99,327.61
1778860800000,304.99,307.51,302.64,302.64,240.98
1778875200000,302.64,302.74,302.64,302.73,0.31
1778889600000,302.73,302.73,302.73,302.73,0.0
1778904000000,302.73,302.73,302.73,302.73,0.0
1778918400000,302.73,302.73,302.73,302.73,0.0
1778932800000,302.73,302.73,302.73,302.73,0.0
1778947200000,302.73,302.73,302.73,302.73,0.0
1778961600000,302.73,302.73,302.73,302.73,0.0
1778976000000,302.73,302.73,302.73,302.73,0.0
1778990400000,302.73,302.73,302.73,302.73,0.0
1779004800000,302.73,302.73,302.73,302.73,0.0
1779019200000,302.73,302.73,302.73,302.73,0.0
1779033600000,302.73,302.73,302.73,302.73,0.0
1779048000000,302.73,302.73,302.73,302.73,0.0
1779062400000,302.73,302.73,302.73,302.73,0.0
1779076800000,302.73,302.73,302.73,302.73,0.0
1779091200000,302.73,302.73,302.73,302.73,0.0
1779105600000,302.73,307.66,299.26,301.21,353.28
1779120000000,301.21,301.84,295.6,300.58,361.79
1779134400000,300.58,300.71,300.58,300.71,0.03
1779148800000,300.71,300.71,300.71,300.71,0.0
1779163200000,300.71,300.71,300.71,300.71,0.0
1779177600000,300.71,300.71,300.71,300.71,0.0
1779192000000,300.71,301.28,293.15,301.2,440.91
1779206400000,301.2,305.46,300.26,302.36,295.51
1779220800000,302.36,302.42,302.15,302.15,0.26
1779235200000,302.15,302.15,302.15,302.15,0.0
1779249600000,302.15,302.15,302.15,302.15,0.0
1779264000000,302.15,302.15,302.15,302.15,0.0
1779278400000,302.15,305.3,299.31,301.9,501.2
1779292800000,301.9,305.11,299.07,304.84,216.31
1779307200000,304.84,304.85,304.77,304.77,2.22
1779321600000,304.77,304.77,304.77,304.77,0.0
1779336000000,304.77,304.77,304.77,304.77,0.0
1779350400000,304.77,304.77,304.77,304.77,0.0
1779364800000,304.77,304.77,294.99,296.48,293.18
1779379200000,296.48,298.67,295.66,298.3,298.22
1779393600000,298.3,298.38,298.3,298.38,0.15
1779408000000,298.38,298.38,298.38,298.38,0.0
1779422400000,298.38,298.38,298.38,298.38,0.0
1779436800000,298.38,298.38,298.38,298.38,0.0
1779451200000,298.38,313.31,298.38,312.64,331.69
1779465600000,312.64,315.54,308.55,309.14,250.55
1779480000000,309.14,309.14,309.14,309.14,0.02
1779494400000,309.14,309.14,309.14,309.14,0.0
1779508800000,309.14,309.14,309.14,309.14,0.0
1779523200000,309.14,309.14,309.14,309.14,0.0
