time,open,high,low,close,volume
1772524800000,12.41,12.59,12.41,12.59,259.61
1772539200000,12.59,12.82,12.37,12.51,9524.13
1772553600000,12.51,12.67,12.05,12.25,8736.33
1772568000000,12.25,12.33,12.23,12.29,1134.37
1772582400000,12.29,12.29,12.29,12.29,0.0
1772596800000,12.29,12.29,12.29,12.29,0.0
1772611200000,12.29,12.29,12.29,12.29,0.0
1772625600000,12.29,12.29,11.65,11.65,3119.16
1772640000000,11.65,11.9,11.65,11.72,5899.92
1772654400000,11.72,11.81,11.71,11.78,583.94
1772668800000,11.78,11.78,11.78,11.78,0.0
1772683200000,11.78,11.78,11.78,11.78,0.0
1772697600000,11.78,11.78,11.78,11.78,0.0
1772712000000,11.78,11.94,11.78,11.83,3101.91
1772726400000,11.83,12.26,11.78,12.13,7939.11
1772740800000,12.13,12.2,12.04,12.06,1393.19
1772755200000,12.06,12.06,12.06,12.06,0.0
1772769600000,12.06,12.06,12.06,12.06,0.0
1772784000000,12.06,12.06,12.06,12.06,0.0
1772798400000,12.06,12.62,12.06,12.62,3671.37
1772812800000,12.62,13.18,12.57,12.78,14096.86
1772827200000,12.78,12.88,12.75,12.76,1188.71
1772841600000,12.76,12.76,12.76,12.76,0.0
1772856000000,12.76,12.76,12.76,12.76,0.0
1772870400000,12.76,12.76,12.76,12.76,0.0
1772884800000,12.76,12.76,12.76,12.76,0.0
1772899200000,12.76,12.76,12.76,12.76,0.0
1772913600000,12.76,12.76,12.76,12.76,0.0
1772928000000,12.76,12.76,12.76,12.76,0.0
1772942400000,12.76,12.76,12.76,12.76,0.0
1772956800000,12.76,12.76,12.76,12.76,0.0
1772971200000,12.76,12.76,12.76,12.76,0.0
1772985600000,12.76,12.76,12.76,12.76,0.0
1773000000000,12.76,12.76,12.76,12.76,0.0
1773014400000,12.76,12.76,12.76,12.76,0.0
1773028800000,12.76,12.76,12.76,12.76,0.0
1773043200000,12.76,12.76,12.76,12.76,0.0
1773057600000,12.76,13.26,12.56,12.63,11468.47
1773072000000,12.63,12.67,12.27,12.31,13051.1
1773086400000,12.31,12.31,12.31,12.31,0.0
1773100800000,12.31,12.31,12.31,12.31,0.0
1773115200000,12.31,12.31,12.31,12.31,0.0
1773129600000,12.31,12.31,12.31,12.31,0.0
1773144000000,12.31,12.37,12.17,12.21,5955.31
1773158400000,12.21,12.29,11.93,12.27,7762.57
1773172800000,12.27,12.27,12.27,12.27,0.0
1773187200000,12.27,12.27,12.27,12.27,0.0
1773201600000,12.27,12.27,12.27,12.27,0.0
1773216000000,12.27,12.27,12.27,12.27,0.0
1773230400000,12.27,12.73,12.27,12.69,7237.85
1773244800000,12.69,12.93,12.65,12.88,5208.0
1773259200000,12.88,12.88,12.88,12.88,0.0
1773273600000,12.88,12.88,12.88,12.88,0.0
1773288000000,12.88,12.88,12.88,12.88,0.0
1773302400000,12.88,12.88,12.88,12.88,0.0
1773316800000,12.88,13.13,12.88,12.96,6794.07
1773331200000,12.96,13.07,12.67,13.04,6185.39
1773345600000,13.04,13.04,13.04,13.04,0.0
1773360000000,13.04,13.04,13.04,13.04,0.0
1773374400000,13.04,13.04,13.04,13.04,0.0
1773388800000,13.04,13.04,13.04,13.04,0.0
1773403200000,13.04,13.04,12.57,12.66,5188.92
1773417600000,12.66,12.8,12.52,12.62,6093.78
1773432000000,12.62,12.62,12.62,12.62,0.0
1773446400000,12.62,12.62,12.62,12.62,0.0
1773460800000,12.62,12.62,12.62,12.62,0.0
1773475200000,12.62,12.62,12.62,12.62,0.0
1773489600000,12.62,12.62,12.62,12.62,0.0
1773504000000,12.62,12.62,12.62,12.62,0.0
1773518400000,12.62,12.62,12.62,12.62,0.0
1773532800000,12.62,12.62,12.62,12.62,0.0
1773547200000,12.62,12.62,12.62,12.62,0.0
1773561600000,12.62,12.62,12.62,12.62,0.0
1773576000000,12.62,12.62,12.62,12.62,0.0
1773590400000,12.62,12.62,12.62,12.62,0.0
1773604800000,12.62,12.62,12.62,12.62,0.0
1773619200000,12.62,12.62,12.62,12.62,0.0
1773633600000,12.62,12.62,12.62,12.62,0.0
1773648000000,12.62,12.62,12.62,12.62,0.0
1773662400000,12.62,12.62,12.14,12.15,7022.14
1773676800000,12.15,12.23,12.06,12.2,5858.61
1773691200000,12.2,12.2,12.2,12.2,0.0
1773705600000,12.2,12.2,12.2,12.2,0.0
1773720000000,12.2,12.2,12.2,12.2,0.0
1773734400000,12.2,12.2,12.2,12.2,0.0
1773748800000,12.2,12.4,12.15,12.22,4175.9
1773763200000,12.22,12.27,12.12,12.18,3424.47
1773777600000,12.18,12.18,12.18,12.18,0.0
1773792000000,12.18,12.18,12.18,12.18,0.0
1773806400000,12.18,12.18,12.18,12.18,0.0
1773820800000,12.18,12.18,12.18,12.18,0.0
1773835200000,12.18,12.34,12.14,12.21,7062.98
1773849600000,12.21,12.78,12.1,12.69,6652.83
1773864000000,12.69,12.69,12.69,12.69,0.0
1773878400000,12.69,12.69,12.69,12.69,0.0
1773892800000,12.69,12.69,12.69,12.69,0.0
1773907200000,12.69,12.69,12.69,12.69,0.0
1773921600000,12.69,13.08,12.69,12.81,10656.62
1773936000000,12.81,12.85,12.41,12.55,8616.34
1773950400000,12.55,12.55,12.55,12.55,0.0
1773964800000,12.55,12.55,12.55,12.55,0.0
1773979200000,12.55,12.55,12.55,12.55,0.0
1773993600000,12.55,12.55,12.55,12.55,0.0
1774008000000,12.55,12.55,12.22,12.36,7129.6
1774022400000,12.36,12.49,12.25,12.4,5763.08
1774036800000,12.4,12.4,12.4,12.4,0.03
1774051200000,12.4,12.4,12.4,12.4,0.0
1774065600000,12.4,12.4,12.4,12.4,0.0
1774080000000,12.4,12.4,12.4,12.4,0.0
1774094400000,12.4,12.4,12.4,12.4,0.0
1774108800000,12.4,12.4,12.4,12.4,0.0
1774123200000,12.4,12.4,12.4,12.4,0.0
1774137600000,12.4,12.4,12.4,12.4,0.0
1774152000000,12.4,12.4,12.4,12.4,0.0
1774166400000,12.4,12.4,12.4,12.4,0.0
1774180800000,12.4,12.4,12.4,12.4,0.0
1774195200000,12.4,12.4,12.4,12.4,0.0
1774209600000,12.4,12.4,12.4,12.4,0.0
1774224000000,12.4,12.4,12.4,12.4,0.0
1774238400000,12.4,12.4,12.4,12.4,0.0
1774252800000,12.4,12.4,12.4,12.4,0.0
1774267200000,12.4,12.4,11.72,11.84,10098.64
1774281600000,11.84,11.9,11.6,11.73,5387.27
1774296000000,11.73,11.73,11.73,11.73,0.04
1774310400000,11.73,11.73,11.73,11.73,0.0
1774324800000,11.73,11.73,11.73,11.73,0.0
1774339200000,11.73,11.73,11.73,11.73,0.0
1774353600000,11.73,11.83,11.66,11.74,3965.52
1774368000000,11.74,11.89,11.72,11.74,6102.23
1774382400000,11.74,11.74,11.74,11.74,0.02
1774396800000,11.74,11.74,11.74,11.74,0.0
1774411200000,11.74,11.74,11.74,11.74,0.0
1774425600000,11.74,11.74,11.74,11.74,0.0
1774440000000,11.74,11.84,11.59,11.84,5120.34
1774454400000,11.84,11.92,11.78,11.86,3514.63
1774468800000,11.86,11.86,11.86,11.86,0.0
1774483200000,11.86,11.86,11.86,11.86,0.0
1774497600000,11.86,11.86,11.86,11.86,0.0
1774512000000,11.86,11.86,11.86,11.86,0.0
1774526400000,11.86,12.08,11.79,12.06,4106.06
1774540800000,12.06,12.09,11.83,11.84,4029.18
1774555200000,11.84,11.84,11.84,11.84,0.02
1774569600000,11.84,11.84,11.84,11.84,0.0
1774584000000,11.84,11.84,11.84,11.84,0.0
1774598400000,11.84,11.84,11.84,11.84,0.0
1774612800000,11.84,12.29,11.84,12.18,4623.66
1774627200000,12.18,12.38,12.13,12.28,3767.39
1774641600000,12.28,12.28,12.28,12.28,0.0
1774656000000,12.28,12.28,12.28,12.28,0.0
1774670400000,12.28,12.28,12.28,12.28,0.0
1774684800000,12.28,12.28,12.28,12.28,0.0
1774699200000,12.28,12.28,12.28,12.28,0.0
1774713600000,12.28,12.28,12.28,12.28,0.0
1774728000000,12.28,12.28,12.28,12.28,0.0
1774742400000,12.28,12.28,12.28,12.28,0.0
1774756800000,12.28,12.28,12.28,12.28,0.0
1774771200000,12.28,12.28,12.28,12.28,0.0
1774785600000,12.28,12.28,12.28,12.28,0.0
1774800000000,12.28,12.28,12.28,12.28,0.0
1774814400000,12.28,12.28,12.28,12.28,0.0
1774828800000,12.28,12.28,12.28,12.28,0.0
1774843200000,12.28,12.28,12.28,12.28,0.0
1774857600000,12.28,12.28,12.28,12.28,0.0
1774872000000,12.28,12.28,11.58,11.68,4323.83
1774886400000,11.68,11.74,11.58,11.67,5264.99
1774900800000,11.67,11.67,11.67,11.67,0.0
1774915200000,11.67,11.67,11.67,11.67,0.0
1774929600000,11.67,11.67,11.67,11.67,0.0
1774944000000,11.67,11.67,11.67,11.67,0.0
1774958400000,11.67,12.04,11.67,11.8,4668.37
1774972800000,11.8,11.91,11.65,11.73,6073.01
1774987200000,11.73,11.73,11.73,11.73,0.0
1775001600000,11.73,11.73,11.73,11.73,0.0
1775016000000,11.73,11.73,11.73,11.73,0.0
1775030400000,11.73,11.73,11.73,11.73,0.0
1775044800000,11.73,11.73,11.45,11.49,4741.56
1775059200000,11.49,11.51,11.32,11.42,5197.4
1775073600000,11.42,11.42,11.42,11.42,0.0
1775088000000,11.42,11.42,11.42,11.42,0.0
1775102400000,11.42,11.42,11.42,11.42,0.0
1775116800000,11.42,11.42,11.42,11.42,0.0
1775131200000,11.42,11.43,11.29,11.41,5785.58
1775145600000,11.41,11.41,11.31,11.36,2691.04
1775160000000,11.36,11.36,11.36,11.36,0.0
1775174400000,11.36,11.36,11.36,11.36,0.0
1775188800000,11.36,11.36,11.36,11.36,0.0
1775203200000,11.36,11.36,11.36,11.36,0.0
1775217600000,11.36,11.36,11.36,11.36,0.0
1775232000000,11.36,11.36,11.36,11.36,0.0
1775246400000,11.36,11.36,11.36,11.36,0.0
1775260800000,11.36,11.36,11.36,11.36,0.0
1775275200000,11.36,11.36,11.36,11.36,0.0
1775289600000,11.36,11.36,11.36,11.36,0.0
1775304000000,11.36,11.36,11.36,11.36,0.0
1775318400000,11.36,11.36,11.36,11.36,0.0
1775332800000,11.36,11.36,11.36,11.36,0.0
1775347200000,11.36,11.36,11.36,11.36,0.0
1775361600000,11.36,11.36,11.36,11.36,0.0
1775376000000,11.36,11.36,11.36,11.36,0.0
1775390400000,11.36,11.36,11.36,11.36,0.0
1775404800000,11.36,11.36,11.36,11.36,0.0
1775419200000,11.36,11.36,11.36,11.36,0.0
1775433600000,11.36,11.36,11.36,11.36,0.0
1775448000000,11.36,11.36,11.36,11.36,0.0
1775462400000,11.36,11.36,11.36,11.36,0.0
1775476800000,11.36,11.6,11.36,11.41,4231.07
