time,open,high,low,close,volume
1766721600000,327.15,327.44,327.1,327.13,17.32
1766736000000,327.13,327.69,326.92,327.1,33.77
1766750400000,327.1,330.17,326.5,329.45,68.57
1766764800000,329.45,330.93,329.1,329.94,55.14
1766779200000,329.94,331.85,329.94,331.74,12.2
1766793600000,331.74,331.74,331.74,331.74,0.0
1766808000000,331.74,331.74,331.74,331.74,0.0
1766822400000,331.74,331.74,331.74,331.74,0.0
1766836800000,331.74,331.74,331.74,331.74,0.0
1766851200000,331.74,331.74,331.74,331.74,0.0
1766865600000,331.74,331.74,331.74,331.74,0.0
1766880000000,331.74,331.74,331.74,331.74,0.0
1766894400000,331.74,331.74,331.74,331.74,0.0
1766908800000,331.74,331.74,331.74,331.74,0.0
1766923200000,331.74,331.74,331.74,331.74,0.0
1766937600000,331.74,331.74,331.74,331.74,0.0
1766952000000,331.74,331.74,331.74,331.74,0.0
1766966400000,331.74,331.74,330.02,330.03,14.97
1766980800000,330.03,330.74,330.02,330.56,18.69
1766995200000,330.56,330.78,330.19,330.58,21.01
1767009600000,330.58,333.86,329.56,330.36,81.75
1767024000000,330.36,330.36,328.37,329.35,91.1
1767038400000,329.35,329.81,327.36,327.5,35.67
1767052800000,327.5,330.07,327.38,329.3,50.48
1767067200000,329.3,329.42,328.59,328.98,32.56
1767081600000,328.98,329.75,328.98,329.67,78.07
1767096000000,329.67,335.95,329.46,333.08,115.95
1767110400000,333.08,333.74,331.52,332.31,85.64
1767124800000,332.31,332.94,330.56,331.72,57.06
1767139200000,331.72,332.15,331.19,332.09,25.59
1767153600000,332.09,332.1,331.51,331.67,21.69
1767168000000,331.67,331.98,331.55,331.73,24.61
1767182400000,331.73,333.21,330.43,331.2,58.36
1767196800000,331.2,332.16,330.72,330.99,53.01
1767211200000,330.99,331.1,330.1,330.22,22.12
1767225600000,330.22,330.22,330.22,330.22,0.0
1767240000000,330.22,330.22,330.22,330.22,0.0
1767254400000,330.22,330.22,330.22,330.22,0.0
1767268800000,330.22,330.22,330.22,330.22,0.0
1767283200000,330.22,330.22,330.22,330.22,0.0
1767297600000,330.22,330.22,330.22,330.22,0.0
1767312000000,330.22,331.14,330.22,330.94,25.54
1767326400000,330.94,330.96,329.99,330.2,17.62
1767340800000,330.2,331.36,330.05,330.35,28.68
1767355200000,330.35,334.54,327.67,334.36,85.71
1767369600000,334.36,340.2,334.36,338.35,129.82
1767384000000,338.35,338.79,335.77,336.42,19.56
1767398400000,336.42,336.42,336.42,336.42,0.0
1767412800000,336.42,336.42,336.42,336.42,0.0
1767427200000,336.42,336.42,336.42,336.42,0.0
1767441600000,336.42,336.42,336.42,336.42,0.0
1767456000000,336.42,336.42,336.42,336.42,0.0
1767470400000,336.42,336.42,336.42,336.42,0.0
1767484800000,336.42,336.42,336.42,336.42,0.0
1767499200000,336.42,336.42,336.42,336.42,0.0
1767513600000,336.42,336.42,336.42,336.42,0.0
1767528000000,336.42,336.42,336.42,336.42,0.0
1767542400000,336.42,336.42,336.42,336.42,0.0
1767556800000,336.42,336.42,336.42,336.42,0.0
1767571200000,336.42,336.42,334.89,335.45,40.44
1767585600000,335.45,336.07,334.2,335.05,39.28
1767600000000,335.05,335.74,334.15,335.3,51.05
1767614400000,335.3,340.18,334.0,337.53,191.62
1767628800000,337.53,346.93,337.39,344.37,102.39
1767643200000,344.37,344.64,342.08,342.42,82.41
1767657600000,342.42,342.49,341.74,342.09,18.49
1767672000000,342.09,342.94,342.09,342.3,20.9
1767686400000,342.3,345.99,341.45,345.37,57.41
1767700800000,345.37,352.17,345.19,348.53,291.55
1767715200000,348.53,352.52,345.56,350.51,137.81
1767729600000,350.51,351.14,348.65,349.37,36.85
1767744000000,349.37,349.47,348.39,349.19,28.78
1767758400000,349.19,349.48,348.95,349.43,16.52
1767772800000,349.43,349.43,348.31,348.7,48.32
1767787200000,348.7,349.43,339.25,340.75,121.1
1767801600000,340.75,341.5,338.16,341.5,103.42
1767816000000,341.5,342.71,340.73,341.0,49.61
1767830400000,341.0,342.09,340.74,341.0,41.43
1767844800000,341.0,341.23,340.16,340.71,20.25
1767859200000,340.71,341.23,340.31,341.12,26.16
1767873600000,341.12,347.62,340.4,346.11,160.17
1767888000000,346.11,347.79,345.26,347.32,106.4
1767902400000,347.32,352.45,346.5,349.37,63.93
1767916800000,349.37,350.32,348.51,349.06,34.07
1767931200000,349.06,349.06,348.54,348.66,17.0
1767945600000,348.66,349.33,347.85,347.96,40.83
1767960000000,347.96,349.08,342.68,344.3,135.84
1767974400000,344.3,345.84,343.25,345.79,68.79
1767988800000,345.79,346.0,343.78,343.99,15.79
1768003200000,343.99,343.99,343.99,343.99,0.0
1768017600000,343.99,343.99,343.99,343.99,0.0
1768032000000,343.99,343.99,343.99,343.99,0.0
1768046400000,343.99,343.99,343.99,343.99,0.0
1768060800000,343.99,343.99,343.99,343.99,0.0
1768075200000,343.99,343.99,343.99,343.99,0.0
1768089600000,343.99,343.99,343.99,343.99,0.0
1768104000000,343.99,343.99,343.99,343.99,0.0
1768118400000,343.99,343.99,343.99,343.99,0.0
1768132800000,343.99,343.99,343.99,343.99,0.0
1768147200000,343.99,343.99,343.99,343.99,0.0
1768161600000,343.99,343.99,343.99,343.99,0.0
1768176000000,343.99,343.99,343.1,343.1,21.52
1768190400000,343.1,343.27,342.48,342.56,33.05
1768204800000,342.56,342.74,332.76,340.73,180.49
1768219200000,340.73,343.52,334.37,339.77,127.87
1768233600000,339.77,340.03,337.1,339.73,69.64
1768248000000,339.73,341.38,339.49,339.95,34.78
1768262400000,339.95,340.18,339.38,339.95,25.77
1768276800000,339.95,340.32,339.86,339.88,18.89
1768291200000,339.88,340.35,339.31,340.3,28.75
1768305600000,340.3,342.47,335.4,337.05,131.82
1768320000000,337.05,337.05,333.19,334.14,103.95
1768334400000,334.14,336.08,332.88,334.9,44.7
1768348800000,334.9,334.96,334.2,334.38,30.73
1768363200000,334.38,334.38,333.39,333.56,29.77
1768377600000,333.56,334.16,333.07,333.25,54.54
1768392000000,333.25,340.13,333.23,338.13,132.59
1768406400000,338.13,339.77,337.11,337.95,86.95
1768420800000,337.95,338.1,334.24,334.59,59.13
1768435200000,334.59,335.09,334.29,334.62,22.75
1768449600000,334.62,335.45,334.58,334.86,26.26
1768464000000,334.86,335.51,334.15,334.62,50.08
1768478400000,334.62,335.1,328.24,333.66,95.85
1768492800000,333.66,338.65,330.52,338.35,149.66
1768507200000,338.35,339.37,337.83,338.55,60.53
1768521600000,338.55,339.21,338.43,339.04,33.7
1768536000000,339.04,339.04,338.43,338.62,18.6
1768550400000,338.62,339.16,337.62,337.85,26.75
1768564800000,337.85,338.39,331.64,334.26,120.24
1768579200000,334.26,335.26,331.66,331.68,68.29
1768593600000,331.68,331.68,330.52,331.23,21.51
1768608000000,331.23,331.23,331.23,331.23,0.0
1768622400000,331.23,331.23,331.23,331.23,0.0
1768636800000,331.23,331.23,331.23,331.23,0.0
1768651200000,331.23,331.23,331.23,331.23,0.0
1768665600000,331.23,331.23,331.23,331.23,0.0
1768680000000,331.23,331.23,331.23,331.23,0.0
1768694400000,331.23,331.23,331.23,331.23,0.0
