time,open,high,low,close,volume
1642435200000,16.623,16.76,16.385,16.736,89952.059
1642449600000,16.742,16.766,16.241,16.636,108997.973
1642464000000,16.636,17.083,16.635,16.73,169607.021
1642478400000,16.72,17.311,16.558,17.23,122712.312
1642492800000,17.23,17.695,16.819,17.497,211829.252
1642507200000,17.493,17.535,16.074,16.122,289249.227
1642521600000,16.123,16.141,15.627,15.853,252385.574
1642536000000,15.852,16.254,15.692,15.978,71762.1646
1642550400000,15.978,16.217,15.662,15.771,90549.701
1642564800000,15.775,15.866,15.248,15.311,106732.66
1642579200000,15.315,15.595,15.236,15.576,101211.785
1642593600000,15.581,15.824,15.468,15.596,97484.379
1642608000000,15.589,15.661,15.41,15.477,132144.3
1642622400000,15.478,15.486,15.107,15.12,88119.53
1642636800000,15.12,15.407,15.079,15.384,51779.43
1642651200000,15.383,15.488,15.291,15.46,34056.4875
1642665600000,15.462,15.658,15.38,15.623,42745.1705
1642680000000,15.625,16.181,15.544,16.129,154716.858
1642694400000,16.142,16.161,15.754,15.822,102853.512
1642708800000,15.82,15.839,14.381,14.47,230470.434
1642723200000,14.463,14.673,13.74,13.931,274897.417
1642737600000,13.935,14.27,13.927,14.222,107998.776
1642752000000,14.217,14.323,14.078,14.185,119927.524
1642766400000,14.18,14.21,13.527,14.077,221665.829
1642780800000,14.089,14.193,13.734,13.79,176082.984
1642795200000,13.796,13.938,12.326,12.663,457115.125
1642809600000,12.644,12.976,12.258,12.428,236976.163
1642824000000,12.412,12.516,11.241,11.439,285332.933
1642838400000,11.439,11.79,10.385,11.371,421623.27
1642852800000,11.354,11.872,10.999,11.036,225794.971
1642867200000,11.046,11.556,10.718,10.806,310659.708
1642881600000,10.819,11.475,10.744,11.142,261400.734
1642896000000,11.145,11.571,10.985,11.197,143343.243
1642910400000,11.196,11.687,11.142,11.615,151013.402
1642924800000,11.61,11.912,11.515,11.622,194196.178
1642939200000,11.621,11.679,11.024,11.222,166191.36
1642953600000,11.222,11.364,10.828,10.94,195052.916
1642968000000,10.931,11.759,10.87,11.428,306402.594
1642982400000,11.424,11.428,10.743,10.889,169640.056
1642996800000,10.892,10.956,10.537,10.556,87510.266
1643011200000,10.568,10.645,9.734,9.902,526497.23
1643025600000,9.906,10.18,9.546,10.126,314367.65
1643040000000,10.146,10.628,9.857,10.5,256005.081
1643054400000,10.492,10.87,10.457,10.691,91316.265
1643068800000,10.684,10.755,10.416,10.72,78160.26
1643083200000,10.72,10.748,10.425,10.609,46664.686
1643097600000,10.595,10.871,10.568,10.622,60878.717
1643112000000,10.622,10.816,10.326,10.538,88735.961
1643126400000,10.532,10.93,10.51,10.702,116239.157
1643140800000,10.703,10.709,10.385,10.575,56247.7495
1643155200000,10.585,10.772,10.414,10.749,61947.529
1643169600000,10.751,10.907,10.65,10.727,59523.556
1643184000000,10.724,11.024,10.723,10.913,72580.893
1643198400000,10.915,11.355,10.84,11.171,99468.66
1643212800000,11.157,11.763,10.874,11.065,236192.238
1643227200000,11.07,11.07,10.357,10.588,123774.384
1643241600000,10.58,10.68,9.899,10.001,153434.617
1643256000000,9.999,10.371,9.957,10.294,340531.178
1643270400000,10.296,10.489,10.236,10.481,127382.197
1643284800000,10.482,10.908,10.464,10.785,183112.91
1643299200000,10.783,10.833,10.365,10.398,246728.671
1643313600000,10.398,10.47,9.917,10.312,130193.592
1643328000000,10.314,10.443,10.058,10.394,125255.566
1643342400000,10.394,10.464,10.206,10.211,64221.295
1643356800000,10.21,10.272,10.019,10.085,55528.106
1643371200000,10.092,10.334,9.842,10.305,141316.215
1643385600000,10.314,10.492,10.245,10.355,86241.904
1643400000000,10.359,10.735,10.337,10.665,67950.7975
1643414400000,10.658,10.994,10.568,10.84,105463.1527
1643428800000,10.851,11.05,10.79,10.999,68361.803
1643443200000,11.0,11.061,10.863,10.962,59297.487
1643457600000,10.96,11.191,10.758,10.922,98093.11
1643472000000,10.922,11.089,10.847,11.014,67056.508
1643486400000,11.018,11.229,10.966,11.133,106707.7974
1643500800000,11.148,11.203,10.957,11.017,70749.847
1643515200000,11.017,11.436,11.017,11.348,57397.431
1643529600000,11.35,11.42,11.229,11.415,36170.593
1643544000000,11.414,11.418,11.013,11.189,54005.728
1643558400000,11.209,11.222,10.719,10.737,121393.721
1643572800000,10.737,10.921,10.646,10.791,90430.635
1643587200000,10.79,10.829,10.3,10.494,141795.184
1643601600000,10.5,10.5,10.312,10.436,55388.938
1643616000000,10.437,10.786,10.408,10.722,69504.8775
1643630400000,10.716,11.714,10.589,11.698,126033.942
1643644800000,11.693,11.885,11.571,11.621,170063.214
1643659200000,11.614,11.851,11.576,11.774,62857.233
1643673600000,11.774,11.874,11.528,11.586,115640.545
1643688000000,11.58,11.635,11.338,11.409,53321.005
1643702400000,11.409,11.598,11.178,11.362,88381.205
1643716800000,11.353,11.5,11.124,11.248,105066.283
1643731200000,11.254,11.386,11.031,11.052,70994.651
1643745600000,11.046,11.222,11.045,11.104,39190.4244
1643760000000,11.102,11.237,11.019,11.207,41197.714
1643774400000,11.204,11.206,10.934,11.029,82533.6154
1643788800000,11.028,11.212,10.998,11.182,28428.9266
1643803200000,11.191,11.358,10.593,10.678,108245.952
1643817600000,10.674,10.945,10.54,10.913,67756.2575
1643832000000,10.913,10.944,10.402,10.508,86019.98
1643846400000,10.514,10.587,10.329,10.394,49012.6235
1643860800000,10.384,10.493,10.36,10.439,55012.81
1643875200000,10.432,10.488,10.158,10.358,72677.002
1643889600000,10.351,10.474,10.143,10.47,150625.497
1643904000000,10.465,10.575,10.167,10.197,75764.118
1643918400000,10.193,10.428,9.97,10.396,126442.304
1643932800000,10.392,10.467,10.333,10.398,45975.84
1643947200000,10.398,10.753,10.365,10.666,139585.234
1643961600000,10.665,10.757,10.612,10.648,93141.217
1643976000000,10.641,11.055,10.342,10.981,323099.99
1643990400000,10.993,11.141,10.924,11.079,152938.871
1644004800000,11.078,11.197,10.904,11.176,65386.6787
1644019200000,11.171,11.496,11.121,11.48,96055.439
1644033600000,11.476,11.822,11.45,11.472,92256.232
1644048000000,11.471,12.02,11.406,11.823,249506.5395
1644062400000,11.83,11.863,11.602,11.712,161291.386
1644076800000,11.707,11.727,11.158,11.226,130123.06
1644091200000,11.22,11.354,11.125,11.245,41112.8925
1644105600000,11.249,11.553,11.242,11.415,42182.167
1644120000000,11.415,11.482,11.231,11.41,49693.946
1644134400000,11.403,11.472,11.276,11.34,34562.4937
1644148800000,11.341,11.599,11.013,11.222,114088.217
1644163200000,11.229,11.333,11.133,11.206,71992.387
1644177600000,11.204,11.714,11.164,11.664,87366.3443
1644192000000,11.674,11.848,11.385,11.821,154631.843
1644206400000,11.807,12.032,11.728,11.85,110436.903
1644220800000,11.847,11.895,11.63,11.864,69962.908
1644235200000,11.868,12.34,11.743,12.305,313625.323
1644249600000,12.31,12.597,12.167,12.314,198955.103
1644264000000,12.32,12.557,12.247,12.367,111287.008
1644278400000,12.373,12.566,12.079,12.452,120268.593
1644292800000,12.45,12.918,12.43,12.508,124821.044
1644307200000,12.506,12.543,11.826,12.038,134463.055
1644321600000,12.031,12.036,11.51,11.72,113388.988
1644336000000,11.714,11.784,11.517,11.592,69052.949
1644350400000,11.59,11.976,11.553,11.933,67109.5963
1644364800000,11.943,12.053,11.662,11.743,56682.751
1644379200000,11.749,12.272,11.62,12.135,140542.525
1644393600000,12.134,12.424,12.017,12.372,163934.946
1644408000000,12.372,12.64,12.245,12.285,74954.912
1644422400000,12.285,12.403,12.182,12.37,49976.374
1644436800000,12.371,12.428,12.28,12.334,39637.77
1644451200000,12.328,12.333,11.893,12.072,44742.9785
1644465600000,12.072,12.136,11.997,12.083,33103.057
1644480000000,12.084,12.34,12.043,12.233,54367.6733
1644494400000,12.231,12.29,11.361,11.835,299692.1474
1644508800000,11.841,11.984,11.558,11.576,68192.785
1644523200000,11.579,11.667,11.369,11.405,45403.251
1644537600000,11.407,11.435,11.15,11.351,56411.476
1644552000000,11.35,11.524,11.232,11.505,47680.175
1644566400000,11.506,11.608,11.356,11.514,41698.83
1644580800000,11.52,11.658,11.457,11.537,37914.507
1644595200000,11.536,11.559,10.916,10.973,86832.136
1644609600000,10.97,11.0,10.387,10.65,91007.748
1644624000000,10.646,10.966,10.612,10.815,58186.38
1644638400000,10.817,10.942,10.503,10.718,45959.1877
1644652800000,10.716,10.839,10.534,10.74,48751.493
1644667200000,10.751,10.755,10.408,10.598,45823.3293
1644681600000,10.593,10.894,10.534,10.787,43943.8024
1644696000000,10.789,10.818,10.442,10.637,35666.0244
1644710400000,10.636,10.79,10.557,10.657,29078.282
1644724800000,10.662,10.73,10.565,10.699,21604.3851
1644739200000,10.7,10.818,10.639,10.733,27918.1711
1644753600000,10.733,10.849,10.617,10.666,42880.5744
1644768000000,10.671,10.684,10.243,10.333,140419.277
1644782400000,10.334,10.527,10.307,10.329,54318.018
1644796800000,10.336,10.394,10.118,10.277,41118.7747
1644811200000,10.276,10.411,10.23,10.401,32493.929
1644825600000,10.4,10.469,10.261,10.364,30546.3645
1644840000000,10.366,10.713,10.286,10.553,36477.103
1644854400000,10.55,10.673,10.271,10.325,43787.775
1644868800000,10.325,10.675,10.261,10.617,27482.6993
1644883200000,10.614,11.053,10.609,10.944,60616.3737
1644897600000,10.937,10.977,10.847,10.926,39900.1598
1644912000000,10.927,11.161,10.912,11.019,60144.1053
1644926400000,11.018,11.145,10.981,11.075,26987.1343
1644940800000,11.077,11.102,10.935,11.033,21231.0804
1644955200000,11.03,11.523,11.023,11.472,69302.662
1644969600000,11.473,11.53,11.179,11.194,50632.144
1644984000000,11.195,11.244,11.064,11.226,55129.9606
1644998400000,11.226,11.332,11.149,11.281,29010.0566
1645012800000,11.278,11.287,10.803,10.876,68481.635
1645027200000,10.876,11.387,10.793,11.366,56512.413
1645041600000,11.368,11.482,11.221,11.233,39516.548
1645056000000,11.229,11.372,10.986,10.991,35539.4483
1645070400000,10.997,11.129,10.834,11.12,34055.3385
1645084800000,11.121,11.187,10.804,10.9,44477.8628
1645099200000,10.9,10.972,10.65,10.777,113425.118
