time,open,high,low,close,volume
1779350400000,57.42,57.85,57.41,57.67,65.5
1779364800000,57.67,58.33,56.81,57.23,876.9
1779379200000,57.23,58.96,57.17,58.33,862.1
1779393600000,58.33,58.57,57.53,58.2,754.7
1779408000000,58.2,59.18,58.2,58.91,821.5
1779422400000,58.91,59.33,58.61,58.61,744.4
1779436800000,58.61,59.32,58.49,58.86,748.5
1779451200000,58.86,59.34,58.23,58.61,859.9
1779465600000,58.61,59.28,58.35,58.63,799.2
1779480000000,58.63,59.06,58.4,58.41,750.1
1779494400000,58.41,58.74,58.15,58.2,701.8
1779508800000,58.2,58.36,57.85,58.1,696.6
1779523200000,58.1,58.41,57.89,58.25,700.3
1779537600000,58.25,58.49,58.06,58.2,694.8
1779552000000,58.2,58.97,58.19,58.89,700.0
1779566400000,58.89,59.42,58.67,59.19,726.1
1779580800000,59.19,59.74,58.98,59.72,703.4
1779595200000,59.72,60.22,59.13,59.49,726.8
1779609600000,59.49,59.85,58.67,59.14,766.2
1779624000000,59.14,59.32,58.87,58.94,714.6
1779638400000,58.94,59.32,58.94,59.03,676.9
1779652800000,59.03,59.38,58.87,59.25,695.5
1779667200000,59.25,59.65,59.21,59.61,819.5
1779681600000,59.61,59.77,58.98,59.1,699.0
1779696000000,59.1,59.62,58.84,58.98,728.4
1779710400000,58.98,59.49,58.22,58.28,728.1
1779724800000,58.28,58.52,57.96,58.05,741.0
1779739200000,58.05,58.23,57.14,57.65,703.6
1779753600000,57.65,59.02,57.65,58.87,757.9
1779768000000,58.87,59.42,58.83,59.3,715.6
1779782400000,59.3,59.86,58.9,59.61,732.8
1779796800000,59.61,60.79,59.61,60.58,765.5
1779811200000,60.58,61.13,60.58,60.87,695.6
1779825600000,60.87,61.97,60.87,61.24,697.0
1779840000000,61.24,61.38,60.06,60.86,721.8
1779854400000,60.86,61.35,60.71,60.92,705.6
1779868800000,60.92,61.14,60.78,60.89,696.8
1779883200000,60.89,60.92,59.87,60.26,754.6
1779897600000,60.26,61.21,60.07,60.81,696.4
1779912000000,60.81,61.13,60.33,61.04,679.5
1779926400000,61.04,61.13,59.47,59.47,735.8
1779940800000,59.47,60.41,59.38,60.17,796.2
1779955200000,60.17,60.81,59.76,60.58,701.9
1779969600000,60.58,61.04,59.53,60.93,796.3
1779984000000,60.93,61.59,60.93,61.56,696.8
1779998400000,61.56,62.39,61.49,62.2,700.1
1780012800000,62.2,62.53,61.91,61.97,693.4
1780027200000,61.97,62.24,61.76,61.76,701.1
1780041600000,61.76,61.95,61.33,61.43,684.4
1780056000000,61.43,61.62,59.9,61.15,830.5
