time,open,high,low,close,volume
1767686400000,70.51,70.54,70.45,70.51,44.06
1767700800000,70.51,70.73,69.51,70.05,370.44
1767715200000,70.05,70.12,68.57,68.57,651.78
1767729600000,68.57,68.71,68.47,68.53,107.87
1767744000000,68.53,68.53,68.53,68.53,0.0
1767758400000,68.53,68.53,68.53,68.53,0.0
1767772800000,68.53,68.53,68.53,68.53,0.0
1767787200000,68.53,68.53,67.83,68.01,729.97
1767801600000,68.01,68.14,67.35,67.78,1135.04
1767816000000,67.78,67.86,67.63,67.82,134.51
1767830400000,67.82,67.82,67.82,67.82,0.0
1767844800000,67.82,67.82,67.82,67.82,0.0
1767859200000,67.82,67.82,67.82,67.82,0.0
1767873600000,67.82,68.95,67.82,68.52,568.39
1767888000000,68.52,70.17,68.51,70.09,993.16
1767902400000,70.09,70.65,70.09,70.57,245.55
1767916800000,70.57,70.57,70.57,70.57,0.0
1767931200000,70.57,70.57,70.57,70.57,0.0
1767945600000,70.57,70.57,70.57,70.57,0.0
1767960000000,70.57,71.65,70.57,71.61,590.41
1767974400000,71.61,71.94,71.02,71.02,1090.85
1767988800000,71.02,71.09,70.79,70.79,213.86
1768003200000,70.79,70.79,70.79,70.79,0.0
1768017600000,70.79,70.79,70.79,70.79,0.0
1768032000000,70.79,70.79,70.79,70.79,0.0
1768046400000,70.79,70.79,70.79,70.79,0.0
1768060800000,70.79,70.79,70.79,70.79,0.0
1768075200000,70.79,70.79,70.79,70.79,0.0
1768089600000,70.79,70.79,70.79,70.79,0.0
1768104000000,70.79,70.79,70.79,70.79,0.0
1768118400000,70.79,70.79,70.79,70.79,0.0
1768132800000,70.79,70.79,70.79,70.79,0.0
1768147200000,70.79,70.79,70.79,70.79,0.0
1768161600000,70.79,70.79,70.79,70.79,0.0
1768176000000,70.79,70.79,70.79,70.79,0.0
1768190400000,70.79,70.79,70.79,70.79,0.0
1768204800000,70.79,70.79,70.79,70.79,0.0
1768219200000,70.79,71.29,70.48,71.17,628.93
1768233600000,71.17,72.0,71.0,71.76,1157.97
1768248000000,71.76,71.78,71.47,71.67,146.74
1768262400000,71.67,71.67,71.67,71.67,0.0
1768276800000,71.67,71.67,71.67,71.67,0.0
1768291200000,71.67,71.67,71.67,71.67,0.0
1768305600000,71.67,73.87,71.67,73.78,895.05
1768320000000,73.78,73.93,72.8,73.47,1531.36
1768334400000,73.47,73.61,73.37,73.49,147.56
1768348800000,73.49,73.49,73.49,73.49,0.0
1768363200000,73.49,73.49,73.49,73.49,0.0
1768377600000,73.49,73.49,73.49,73.49,0.0
1768392000000,73.49,74.42,73.49,74.25,848.66
1768406400000,74.25,75.13,73.95,75.09,1408.05
1768420800000,75.09,75.13,71.44,72.62,1585.72
1768435200000,72.62,72.62,72.62,72.62,0.0
1768449600000,72.62,72.62,72.62,72.62,0.0
