time,open,high,low,close,volume
1773403200000,83.1,83.79,82.39,82.43,572.78
1773417600000,82.43,82.55,82.03,82.16,292.36
1773432000000,82.16,82.16,82.16,82.16,0.0
1773446400000,82.16,82.16,82.16,82.16,0.0
1773460800000,82.16,82.16,82.16,82.16,0.0
1773475200000,82.16,82.16,82.16,82.16,0.0
1773489600000,82.16,82.16,82.16,82.16,0.0
1773504000000,82.16,82.16,82.16,82.16,0.0
1773518400000,82.16,82.16,82.16,82.16,0.0
1773532800000,82.16,82.16,82.16,82.16,0.0
1773547200000,82.16,82.16,82.16,82.16,0.0
1773561600000,82.16,82.16,82.16,82.16,0.0
1773576000000,82.16,82.16,82.16,82.16,0.0
1773590400000,82.16,82.16,82.16,82.16,0.0
1773604800000,82.16,82.16,82.16,82.16,0.0
1773619200000,82.16,82.16,82.16,82.16,0.0
1773633600000,82.16,82.16,82.16,82.16,0.0
1773648000000,82.16,82.16,82.16,82.16,0.0
1773662400000,82.16,83.6,82.16,83.23,194.33
1773676800000,83.23,83.71,82.99,83.52,226.84
1773691200000,83.52,83.52,83.52,83.52,0.0
1773705600000,83.52,83.52,83.52,83.52,0.0
1773720000000,83.52,83.52,83.52,83.52,0.0
1773734400000,83.52,83.52,83.52,83.52,0.0
1773748800000,83.52,84.39,83.52,84.03,219.4
1773763200000,84.03,84.08,83.82,83.9,156.46
1773777600000,83.9,83.9,83.9,83.9,0.0
1773792000000,83.9,83.9,83.9,83.9,0.0
1773806400000,83.9,83.9,83.9,83.9,0.0
1773820800000,83.9,83.9,83.9,83.9,0.0
1773835200000,83.9,83.9,82.97,83.15,249.6
1773849600000,83.15,83.38,82.21,82.23,250.56
1773864000000,82.23,82.29,82.23,82.29,0.88
1773878400000,82.29,82.29,82.29,82.29,0.0
1773892800000,82.29,82.29,82.29,82.29,0.0
1773907200000,82.29,82.29,82.29,82.29,0.0
1773921600000,82.29,82.29,80.67,81.42,298.04
1773936000000,81.42,82.58,81.05,82.04,339.39
1773950400000,82.04,82.04,82.04,82.04,0.0
1773964800000,82.04,82.04,82.04,82.04,0.0
1773979200000,82.04,82.04,82.04,82.04,0.0
1773993600000,82.04,82.04,82.04,82.04,0.0
1774008000000,82.04,82.04,79.7,79.82,352.06
1774022400000,79.82,80.03,78.7,79.12,366.19
1774036800000,79.12,79.12,79.12,79.12,0.0
1774051200000,79.12,79.12,79.12,79.12,0.0
1774065600000,79.12,79.12,79.12,79.12,0.0
1774080000000,79.12,79.12,79.12,79.12,0.0
1774094400000,79.12,79.12,79.12,79.12,0.0
1774108800000,79.12,79.12,79.12,79.12,0.0
1774123200000,79.12,79.12,79.12,79.12,0.0
1774137600000,79.12,79.12,79.12,79.12,0.0
1774152000000,79.12,79.12,79.12,79.12,0.0
1774166400000,79.12,79.12,79.12,79.12,0.0
1774180800000,79.12,79.12,79.12,79.12,0.0
1774195200000,79.12,79.12,79.12,79.12,0.0
1774209600000,79.12,79.12,79.12,79.12,0.0
1774224000000,79.12,79.12,79.12,79.12,0.0
1774238400000,79.12,79.12,79.12,79.12,0.0
