time,open,high,low,close,volume
1779249600000,462.0,463.3,460.7,460.7,20.83
1779264000000,460.7,466.6,460.7,464.1,71.29
1779278400000,464.1,472.4,458.8,466.7,86.07
1779292800000,466.7,466.7,458.0,460.8,77.2
1779307200000,460.8,461.4,456.2,459.2,82.64
1779321600000,459.2,467.0,456.4,464.8,74.2
1779336000000,464.8,465.5,457.8,462.3,72.33
1779350400000,462.3,466.3,460.4,460.5,70.77
1779364800000,460.5,482.1,457.0,478.3,78.36
1779379200000,478.3,487.4,477.2,487.2,77.4
1779393600000,487.2,489.7,486.3,489.7,68.21
1779408000000,489.7,490.2,486.3,488.9,69.13
1779422400000,488.9,490.7,487.8,490.1,69.19
1779436800000,490.1,492.2,480.2,486.1,83.17
1779451200000,486.1,489.6,481.7,482.3,121.54
1779465600000,482.3,490.8,482.3,485.1,78.47
1779480000000,485.1,485.1,481.3,481.5,69.31
1779494400000,481.5,484.3,480.7,483.9,68.21
1779508800000,483.9,484.4,481.8,483.0,67.71
1779523200000,483.0,484.1,480.6,480.7,69.64
1779537600000,480.7,485.6,480.6,485.5,71.69
1779552000000,485.5,487.2,483.0,485.5,67.38
1779566400000,485.5,488.2,484.9,487.2,68.84
1779580800000,487.2,488.8,487.1,487.9,67.43
1779595200000,487.9,488.1,484.6,487.1,70.52
1779609600000,487.1,487.4,486.8,486.8,66.62
1779624000000,486.8,487.5,485.4,486.1,68.06
1779638400000,486.1,487.3,484.6,486.8,67.04
1779652800000,486.8,486.8,483.6,486.3,67.45
1779667200000,486.3,488.5,484.7,484.7,69.12
1779681600000,484.7,490.5,484.6,488.6,68.57
1779696000000,488.6,492.9,487.9,491.3,69.03
1779710400000,491.3,492.8,490.2,491.8,68.63
1779724800000,491.8,492.2,491.1,491.7,67.43
1779739200000,491.7,493.0,491.6,492.1,67.25
1779753600000,492.1,496.1,488.9,490.9,70.1
1779768000000,490.9,492.2,487.6,492.2,70.01
1779782400000,492.2,504.7,490.3,503.0,72.96
1779796800000,503.0,540.9,501.0,529.4,103.61
1779811200000,529.4,534.8,524.6,528.2,99.82
1779825600000,528.2,535.7,528.2,532.2,97.79
1779840000000,532.2,542.4,532.2,536.5,85.32
1779854400000,536.5,538.0,528.7,534.3,80.12
1779868800000,534.3,562.0,531.8,557.9,90.55
1779883200000,557.9,567.2,520.7,526.8,133.8
1779897600000,526.8,539.4,526.3,533.2,87.07
1779912000000,533.2,537.3,528.1,528.1,80.77
1779926400000,528.1,532.4,518.9,520.4,78.45
1779940800000,520.4,527.1,513.4,525.4,81.87
1779955200000,525.4,533.4,524.1,525.7,77.52
1779969600000,525.7,554.7,524.5,546.9,104.78
1779984000000,546.9,550.3,528.6,531.3,82.1
1779998400000,531.3,537.6,531.3,535.5,71.29
1780012800000,535.5,538.3,533.1,533.2,77.68
1780027200000,533.2,538.4,533.1,536.1,68.82
1780041600000,536.1,544.3,536.1,541.8,91.08
1780056000000,541.8,544.4,526.2,529.3,108.52
1780070400000,529.3,533.2,520.9,530.8,78.29
1780084800000,530.8,531.2,528.8,530.0,68.68
1780099200000,530.0,533.3,527.9,532.1,68.9
1780113600000,532.1,533.1,531.6,531.6,67.54
1780128000000,531.6,532.3,530.6,532.3,68.07
1780142400000,532.3,536.8,529.3,530.4,70.17
1780156800000,530.4,530.9,529.6,530.9,66.84
1780171200000,530.9,531.6,530.7,531.3,67.91
1780185600000,531.3,531.7,529.9,530.1,67.61
1780200000000,530.1,540.1,530.1,537.7,69.59
1780214400000,537.7,538.2,533.6,537.6,69.2
1780228800000,537.6,543.3,536.8,540.2,77.24
1780243200000,540.2,541.2,537.8,540.1,68.71
1780257600000,540.1,541.4,536.6,538.1,71.33
1780272000000,538.1,545.3,537.0,540.8,103.52
1780286400000,540.8,542.4,532.6,536.9,73.34
1780300800000,536.9,542.4,536.0,536.8,73.0
1780315200000,536.8,555.8,533.7,550.2,90.86
1780329600000,550.2,566.1,543.7,547.1,91.18
1780344000000,547.1,550.0,546.1,549.2,68.56
1780358400000,549.2,550.3,544.0,544.8,71.95
1780372800000,544.8,550.1,543.7,543.7,71.5
1780387200000,543.7,556.1,543.7,555.2,84.7
1780401600000,555.2,572.0,544.8,561.9,198.58
1780416000000,561.9,572.7,558.9,564.9,80.74
1780430400000,564.9,568.5,559.0,563.4,74.83
1780444800000,563.4,578.2,560.3,566.8,76.02
1780459200000,566.8,572.3,565.0,567.5,71.16
1780473600000,567.5,574.1,566.7,569.9,74.78
1780488000000,569.9,604.8,567.9,595.1,108.54
1780502400000,595.1,597.7,587.0,594.5,78.63
1780516800000,594.5,595.4,581.0,581.8,75.84
1780531200000,581.8,588.4,581.4,587.5,75.47
1780545600000,587.5,589.9,585.0,588.4,70.63
1780560000000,588.4,588.7,567.1,570.0,94.58
1780574400000,570.0,593.5,566.5,586.1,82.04
1780588800000,586.1,592.9,577.1,577.1,73.57
1780603200000,577.1,578.9,567.1,567.1,71.53
1780617600000,567.1,576.0,559.7,569.5,73.31
1780632000000,569.5,572.5,561.1,565.0,73.46
1780646400000,565.0,569.0,560.3,560.4,73.14
1780660800000,560.4,560.5,526.1,539.1,84.05
1780675200000,539.1,539.1,512.0,512.0,80.23
1780689600000,512.0,514.9,496.4,500.5,74.98
1780704000000,500.5,502.9,484.1,484.5,72.67
1780718400000,484.5,487.3,463.2,486.6,80.84
1780732800000,486.6,489.8,485.9,488.2,72.11
1780747200000,488.2,492.6,487.1,492.2,70.32
1780761600000,492.2,492.6,490.7,492.1,68.35
1780776000000,492.1,492.1,490.1,490.8,67.92
1780790400000,490.8,496.0,490.6,495.5,70.33
1780804800000,495.5,498.2,495.1,497.1,68.83
1780819200000,497.1,498.0,487.2,490.2,70.41
1780833600000,490.2,498.2,490.2,497.8,70.67
1780848000000,497.8,500.9,496.7,499.5,68.71
1780862400000,499.5,504.6,499.0,502.7,70.29
1780876800000,502.7,544.5,502.7,527.6,87.27
1780891200000,527.6,527.6,509.4,523.9,76.29
1780905600000,523.9,534.6,522.6,530.4,74.26
1780920000000,530.4,551.7,519.9,528.0,87.47
1780934400000,528.0,530.3,521.1,526.9,77.66
1780948800000,526.9,527.4,524.7,526.7,69.02
1780963200000,526.7,533.4,522.3,533.3,72.0
1780977600000,533.3,542.5,533.3,540.4,75.32
1780992000000,540.4,544.5,538.5,541.9,73.72
1781006400000,541.9,545.2,502.6,503.8,86.87
1781020800000,503.8,520.2,481.7,517.9,89.3
1781035200000,517.9,519.3,510.1,512.9,73.11
1781049600000,512.9,519.0,509.3,509.9,71.39
1781064000000,509.9,512.7,502.4,508.6,73.77
1781078400000,508.6,509.1,492.8,495.8,75.26
1781092800000,495.8,514.9,485.5,493.7,104.25
1781107200000,493.7,497.6,485.6,490.3,81.17
1781121600000,490.3,490.4,474.8,479.3,73.96
1781136000000,479.3,500.3,477.5,496.3,80.0
1781150400000,496.3,500.7,494.8,500.6,70.48
1781164800000,500.6,507.2,499.8,503.6,75.68
1781179200000,503.6,509.8,489.8,506.3,89.48
1781193600000,506.3,529.9,501.2,529.9,82.56
1781208000000,529.9,546.5,527.7,545.0,73.89
1781222400000,545.0,547.3,534.2,537.4,72.81
1781236800000,537.4,538.4,521.3,530.3,72.64
1781251200000,530.3,543.0,529.8,540.7,72.68
1781265600000,540.7,572.3,528.7,553.1,79.95
1781280000000,553.1,569.4,552.9,563.5,75.41
1781294400000,563.5,566.0,563.1,565.9,67.73
1781308800000,565.9,566.0,561.5,561.9,67.86
1781323200000,561.9,562.1,559.7,561.8,69.6
1781337600000,561.8,562.4,559.1,559.1,68.23
1781352000000,559.1,561.3,558.5,558.9,67.3
1781366400000,558.9,563.4,558.4,559.5,69.38
1781380800000,559.5,561.3,559.1,560.5,67.46
1781395200000,560.5,562.3,560.2,562.2,70.62
1781409600000,562.2,567.1,561.8,561.8,68.94
1781424000000,561.8,568.3,561.6,567.9,68.29
1781438400000,567.9,567.9,561.5,564.4,73.39
1781452800000,564.4,566.4,562.4,566.4,67.29
1781467200000,566.4,575.6,566.3,574.7,78.04
1781481600000,574.7,591.5,574.7,588.9,70.72
1781496000000,588.9,589.3,585.9,589.1,68.68
1781510400000,589.1,603.4,588.7,602.3,70.27
1781524800000,602.3,657.2,601.7,639.5,107.33
1781539200000,639.5,655.8,638.8,653.9,124.65
1781553600000,653.9,656.3,650.2,653.8,75.66
1781568000000,653.8,664.6,641.3,664.6,89.91
1781582400000,664.6,691.6,662.4,671.2,83.18
1781596800000,671.2,725.7,671.2,716.4,108.12
1781611200000,716.4,730.5,669.2,677.5,221.17
1781625600000,677.5,705.7,677.5,682.7,96.08
1781640000000,682.7,693.2,679.3,686.2,76.46
1781654400000,686.2,713.8,685.9,702.8,81.06
1781668800000,702.8,709.4,694.1,699.2,83.18
1781683200000,699.2,708.5,688.2,690.0,82.73
1781697600000,690.0,729.7,690.0,728.0,152.78
1781712000000,728.0,741.4,710.3,713.2,109.47
1781726400000,713.2,740.6,713.1,738.0,152.12
1781740800000,738.0,746.1,737.3,743.4,102.16
1781755200000,743.4,748.7,735.8,748.5,83.49
1781769600000,748.5,757.6,747.6,755.7,148.26
1781784000000,755.7,799.1,753.4,766.0,151.63
1781798400000,766.0,768.0,741.3,748.5,146.24
1781812800000,748.5,758.8,748.4,756.2,83.11
1781827200000,756.2,782.3,754.7,764.0,142.55
1781841600000,764.0,768.2,717.6,744.8,140.58
1781856000000,744.8,746.5,726.2,740.2,91.72
1781870400000,740.2,748.7,736.7,741.4,91.33
1781884800000,741.4,747.3,740.6,745.1,87.53
1781899200000,745.1,753.1,744.4,753.0,73.94
