time,open,high,low,close,volume
1705636800000,0.0,0.37,0.0,0.356,349575.47
1705651200000,0.356,0.39,0.351,0.386,484265.4
1705665600000,0.386,0.387,0.36,0.361,504067.7
1705680000000,0.361,0.407,0.322,0.404,911710.83
1705694400000,0.404,0.415,0.392,0.401,409510.79
1705708800000,0.401,0.409,0.376,0.379,170428.17
1705723200000,0.379,0.38,0.36,0.361,163645.61
1705737600000,0.361,0.363,0.342,0.349,183152.17
1705752000000,0.349,0.349,0.331,0.336,188061.05
1705766400000,0.336,0.348,0.33,0.333,296772.27
1705780800000,0.333,0.346,0.333,0.338,134826.2
1705795200000,0.338,0.339,0.324,0.333,219808.15
1705809600000,0.333,0.337,0.308,0.322,277784.35
1705824000000,0.322,0.346,0.321,0.341,399789.71
1705838400000,0.341,0.345,0.308,0.31,338200.86
1705852800000,0.31,0.32,0.295,0.312,461361.18
1705867200000,0.312,0.315,0.301,0.303,411428.43
1705881600000,0.303,0.309,0.28,0.287,911519.57
1705896000000,0.287,0.292,0.273,0.275,751174.57
1705910400000,0.275,0.278,0.25,0.256,1456949.28
1705924800000,0.256,0.285,0.256,0.271,1031609.93
1705939200000,0.271,0.284,0.236,0.245,1445982.81
1705953600000,0.245,0.257,0.228,0.233,723135.11
1705968000000,0.233,0.246,0.232,0.244,305099.18
1705982400000,0.244,0.276,0.244,0.246,504829.18
1705996800000,0.246,0.25,0.229,0.232,379255.98
1706011200000,0.232,0.239,0.207,0.221,1054475.84
1706025600000,0.221,0.237,0.21,0.226,786108.72
1706040000000,0.226,0.282,0.223,0.28,508587.44
1706054400000,0.28,0.34,0.274,0.333,2251391.94
1706068800000,0.333,0.344,0.311,0.319,981764.55
1706083200000,0.319,0.342,0.309,0.314,754136.5
1706097600000,0.314,0.331,0.313,0.328,381863.29
1706112000000,0.328,0.356,0.324,0.335,607648.66
1706126400000,0.335,0.355,0.33,0.35,274525.29
1706140800000,0.35,0.352,0.327,0.346,296295.04
1706155200000,0.346,0.358,0.324,0.354,367851.87
1706169600000,0.354,0.371,0.34,0.359,348783.47
1706184000000,0.359,0.377,0.342,0.363,440255.48
1706198400000,0.363,0.408,0.347,0.398,541370.07
1706212800000,0.398,0.407,0.38,0.384,389009.06
1706227200000,0.384,0.388,0.366,0.376,198961.4
1706241600000,0.376,0.387,0.353,0.362,201613.33
1706256000000,0.362,0.386,0.35,0.385,262507.9
1706270400000,0.385,0.388,0.347,0.357,326341.87
1706284800000,0.357,0.37,0.353,0.358,155480.96
1706299200000,0.358,0.361,0.347,0.351,676755.16
1706313600000,0.351,0.354,0.33,0.331,702444.92
1706328000000,0.331,0.333,0.3,0.309,586447.76
1706342400000,0.309,0.323,0.307,0.316,354661.82
1706356800000,0.316,0.338,0.308,0.335,307342.12
1706371200000,0.335,0.355,0.326,0.354,359234.2
1706385600000,0.354,0.365,0.338,0.345,200396.87
1706400000000,0.345,0.357,0.339,0.352,155941.2
1706414400000,0.352,0.359,0.324,0.328,213093.15
1706428800000,0.328,0.366,0.321,0.363,328798.02
1706443200000,0.363,0.373,0.351,0.358,352411.81
1706457600000,0.358,0.364,0.338,0.34,350201.01
1706472000000,0.34,0.346,0.313,0.329,528328.27
1706486400000,0.329,0.331,0.316,0.316,351709.78
1706500800000,0.316,0.322,0.31,0.314,350255.84
1706515200000,0.314,0.321,0.311,0.314,244653.03
1706529600000,0.314,0.317,0.294,0.308,1001380.21
1706544000000,0.308,0.317,0.303,0.309,681463.28
1706558400000,0.309,0.324,0.309,0.314,248129.92
1706572800000,0.314,0.343,0.309,0.334,408612.14
1706587200000,0.334,0.336,0.313,0.317,168201.75
1706601600000,0.317,0.321,0.311,0.314,138044.87
1706616000000,0.314,0.314,0.3,0.304,255650.59
1706630400000,0.304,0.305,0.286,0.3,215813.84
1706644800000,0.3,0.304,0.281,0.283,592501.07
1706659200000,0.283,0.286,0.271,0.281,587305.06
1706673600000,0.281,0.283,0.277,0.28,233274.05
1706688000000,0.28,0.28,0.264,0.269,617818.85
1706702400000,0.269,0.272,0.261,0.267,497526.09
1706716800000,0.267,0.274,0.262,0.265,420559.31
1706731200000,0.265,0.266,0.245,0.252,959801.61
1706745600000,0.252,0.253,0.211,0.218,1745706.99
1706760000000,0.218,0.225,0.216,0.222,1525036.04
1706774400000,0.222,0.229,0.219,0.223,669771.81
1706788800000,0.223,0.238,0.221,0.231,920448.97
1706803200000,0.231,0.24,0.225,0.239,827433.45
