time,open,high,low,close,volume
1690185600000,2.937,2.937,2.386,2.663,4025475.8
1690200000000,2.663,2.664,2.15,2.235,3378801.6
1690214400000,2.229,2.346,2.132,2.147,1747059.7
1690228800000,2.147,2.216,2.001,2.159,1593864.7
1690243200000,2.16,2.263,1.855,1.967,1570544.7
1690257600000,1.967,2.086,1.928,2.003,1134373.8
1690272000000,2.004,2.178,1.943,2.134,1232484.3
1690286400000,2.134,2.46,2.092,2.274,2803665.9
1690300800000,2.274,2.352,2.164,2.208,1072677.8
1690315200000,2.208,2.342,2.196,2.259,643616.8
1690329600000,2.259,2.497,2.231,2.469,1535149.3
1690344000000,2.469,2.546,2.347,2.386,1655546.9
1690358400000,2.386,2.437,2.313,2.341,894250.3
1690372800000,2.34,2.354,2.233,2.304,905135.2
1690387200000,2.304,2.36,2.248,2.326,527099.0
1690401600000,2.326,2.382,2.153,2.251,942292.0
1690416000000,2.251,2.32,2.228,2.264,286003.8
1690430400000,2.264,2.275,2.194,2.215,530082.6
1690444800000,2.215,2.266,2.166,2.245,612002.6
1690459200000,2.245,2.245,2.134,2.187,799743.0
1690473600000,2.187,2.192,2.069,2.109,718108.2
1690488000000,2.109,2.118,2.088,2.097,284086.2
1690502400000,2.097,2.138,2.052,2.099,399774.8
1690516800000,2.099,2.165,2.089,2.141,431026.1
1690531200000,2.141,2.233,2.14,2.217,866825.5
1690545600000,2.217,2.223,2.144,2.172,432718.0
1690560000000,2.173,2.197,2.15,2.173,213961.6
1690574400000,2.173,2.232,2.173,2.22,267201.0
1690588800000,2.22,2.343,2.177,2.292,564410.2
1690603200000,2.292,2.33,2.242,2.262,349597.2
1690617600000,2.262,2.338,2.252,2.281,466476.1
1690632000000,2.28,2.329,2.275,2.288,546758.2
1690646400000,2.288,2.376,2.279,2.36,564887.2
1690660800000,2.36,2.365,2.334,2.348,261482.9
1690675200000,2.348,2.487,2.341,2.419,720665.2
1690689600000,2.419,2.448,2.375,2.394,471191.5
1690704000000,2.394,2.425,2.343,2.369,539576.4
1690718400000,2.369,2.374,2.293,2.307,487606.7
1690732800000,2.307,2.318,2.242,2.251,340612.6
1690747200000,2.252,2.322,2.226,2.289,317886.5
1690761600000,2.289,2.351,2.277,2.289,393729.8
1690776000000,2.289,2.308,2.247,2.254,364168.1
1690790400000,2.254,2.314,2.254,2.308,243747.2
1690804800000,2.309,2.356,2.277,2.31,508295.2
1690819200000,2.31,2.372,2.303,2.307,363867.7
1690833600000,2.307,2.324,2.277,2.315,375638.9
1690848000000,2.315,2.348,2.2,2.264,551452.7
1690862400000,2.265,2.345,2.26,2.328,383990.1
