time,open,high,low,close,volume
1642435200000,0.2514,0.2533,0.2499,0.253,2103038.32
1642449600000,0.253,0.2564,0.2506,0.2561,2633491.96
1642464000000,0.2562,0.2575,0.252,0.2544,1715423.29
1642478400000,0.2543,0.2558,0.2514,0.2557,1700137.3
1642492800000,0.2557,0.2558,0.2489,0.2533,3417519.75
1642507200000,0.2531,0.2537,0.2489,0.2512,3039702.45
1642521600000,0.2511,0.2528,0.2494,0.2524,1833297.02
1642536000000,0.2523,0.2564,0.2507,0.2539,1601840.67
1642550400000,0.2539,0.2557,0.2496,0.2506,1981185.69
1642564800000,0.2507,0.254,0.2454,0.2458,1861096.81
1642579200000,0.246,0.2502,0.2436,0.2492,2411398.62
1642593600000,0.2492,0.2508,0.2467,0.2479,2064324.35
1642608000000,0.248,0.2494,0.2461,0.2478,1706861.99
1642622400000,0.2477,0.2482,0.2455,0.2455,1516136.09
1642636800000,0.2455,0.2479,0.2448,0.2472,1765557.15
1642651200000,0.2474,0.2485,0.2462,0.2483,1689385.69
1642665600000,0.2484,0.2486,0.2462,0.2466,1624651.43
1642680000000,0.2466,0.2525,0.2442,0.2513,2127935.77
1642694400000,0.2514,0.2519,0.2477,0.249,1938740.08
1642708800000,0.2488,0.2491,0.2301,0.2317,6185705.78
1642723200000,0.2313,0.2337,0.2193,0.2206,10450230.3
1642737600000,0.2204,0.2244,0.2204,0.224,4677300.0
1642752000000,0.2237,0.2278,0.2228,0.2276,3145203.74
1642766400000,0.2276,0.2277,0.2172,0.2226,8434589.05
1642780800000,0.2228,0.2236,0.2166,0.2167,3522694.05
1642795200000,0.2168,0.2185,0.1987,0.2028,20183993.1
1642809600000,0.2028,0.2081,0.2013,0.2033,7178193.9
1642824000000,0.2032,0.2039,0.1826,0.1849,14717921.4
1642838400000,0.1848,0.1903,0.1679,0.1837,22153459.2
1642852800000,0.1839,0.1941,0.1825,0.1826,7944670.4
1642867200000,0.1825,0.192,0.1812,0.1876,14749340.8
1642881600000,0.1878,0.196,0.1867,0.1925,6960639.6
