time,open,high,low,close,volume
1785988800000,164.47,164.59,164.35,164.49,9.12
1786003200000,164.49,164.49,164.49,164.49,0.0
1786017600000,164.49,166.96,163.05,163.38,83.35
1786032000000,163.38,164.5,163.02,164.45,199.5
1786046400000,164.45,164.45,164.43,164.43,0.01
1786060800000,164.43,164.43,164.43,164.43,0.0
1786075200000,164.43,164.43,164.43,164.43,0.0
1786089600000,164.43,164.43,164.43,164.43,0.0
1786104000000,164.43,165.44,162.94,164.48,79.31
1786118400000,164.48,165.75,164.43,165.64,105.53
1786132800000,165.64,165.64,165.55,165.55,0.18
1786147200000,165.55,165.55,165.55,165.55,0.0
1786161600000,165.55,165.55,165.55,165.55,0.0
1786176000000,165.55,165.55,165.55,165.55,0.0
1786190400000,165.55,165.55,165.55,165.55,0.0
1786204800000,165.55,165.55,165.55,165.55,0.0
1786219200000,165.55,165.55,165.55,165.55,0.0
1786233600000,165.55,165.55,165.55,165.55,0.0
1786248000000,165.55,165.55,165.55,165.55,0.0
1786262400000,165.55,165.55,165.55,165.55,0.0
1786276800000,165.55,165.55,165.55,165.55,0.0
1786291200000,165.55,165.55,165.55,165.55,0.0
1786305600000,165.55,165.55,165.55,165.55,0.0
1786320000000,165.55,165.55,165.55,165.55,0.0
1786334400000,165.55,165.55,165.55,165.55,0.0
1786348800000,165.55,165.55,165.55,165.55,0.0
1786363200000,165.55,167.88,165.55,167.32,84.12
1786377600000,167.32,168.49,167.21,168.46,104.29
1786392000000,168.46,168.46,168.41,168.41,0.14
1786406400000,168.41,168.41,168.41,168.41,0.0
1786420800000,168.41,168.41,168.41,168.41,0.0
1786435200000,168.41,168.41,168.41,168.41,0.0
1786449600000,168.41,169.65,167.65,168.1,80.77
1786464000000,168.1,168.45,167.67,168.01,108.08
1786478400000,168.01,168.01,168.01,168.01,0.02
1786492800000,168.01,168.01,168.01,168.01,0.0
1786507200000,168.01,168.01,168.01,168.01,0.0
1786521600000,168.01,168.01,168.01,168.01,0.0
1786536000000,168.01,168.54,165.82,168.5,83.15
1786550400000,168.5,168.87,167.84,168.45,112.79
1786564800000,168.45,168.45,168.41,168.41,0.01
1786579200000,168.41,168.41,168.41,168.41,0.0
1786593600000,168.41,168.41,168.41,168.41,0.0
1786608000000,168.41,168.41,168.41,168.41,0.0
1786622400000,168.41,169.48,168.25,168.68,82.62
