time,open,high,low,close,volume
1769774400000,1838.67,1855.28,1813.09,1816.25,18.103
1769788800000,1816.25,1823.05,1620.52,1733.66,103.994
1769803200000,1733.66,1763.37,1696.67,1714.26,25.275
1769817600000,1714.26,1739.15,1689.85,1710.06,50.457
1769832000000,1710.06,1715.09,1699.78,1714.45,20.127
1769846400000,1714.45,1724.83,1701.02,1720.03,29.091
1769860800000,1720.03,1720.18,1697.06,1716.72,27.545
1769875200000,1716.72,1724.69,1702.55,1705.58,24.707
1769889600000,1705.58,1720.69,1703.88,1719.5,21.234
1769904000000,1719.5,1722.41,1707.08,1716.97,16.287
1769918400000,1716.97,1721.35,1713.01,1713.3,10.118
1769932800000,1713.3,1723.02,1712.02,1717.57,8.813
1769947200000,1717.57,1722.96,1693.03,1700.39,27.121
1769961600000,1700.39,1707.15,1683.39,1701.25,26.308
1769976000000,1701.25,1723.11,1641.02,1678.65,135.333
1769990400000,1678.65,1717.88,1623.94,1640.05,163.655
1770004800000,1640.05,1664.18,1569.7,1634.04,143.349
1770019200000,1634.04,1703.14,1623.62,1695.39,104.479
1770033600000,1695.39,1775.4,1675.51,1676.05,56.83
1770048000000,1676.05,1755.07,1668.34,1749.9,40.462
1770062400000,1749.9,1775.42,1709.9,1757.04,29.586
1770076800000,1757.04,1779.82,1711.22,1758.27,48.618
1770091200000,1758.27,1834.29,1743.64,1810.72,57.25
1770105600000,1810.72,1822.94,1787.43,1810.1,40.05
1770120000000,1810.1,1839.87,1799.54,1812.84,72.928
1770134400000,1812.84,1827.77,1735.7,1756.58,87.523
1770148800000,1756.58,1787.87,1730.18,1747.55,66.032
1770163200000,1747.55,1821.12,1746.33,1791.67,77.618
1770177600000,1791.67,1819.11,1779.08,1808.49,43.771
1770192000000,1808.49,1846.32,1804.85,1834.51,56.373
1770206400000,1834.51,1839.8,1763.03,1770.42,63.035
1770220800000,1770.42,1780.15,1731.31,1771.51,167.631
1770235200000,1771.51,1799.51,1755.56,1777.6,81.154
1770249600000,1777.6,1795.07,1665.21,1684.08,149.654
1770264000000,1684.08,1740.42,1677.23,1724.49,177.987
1770278400000,1724.49,1746.39,1703.68,1722.13,131.701
1770292800000,1722.13,1730.89,1667.0,1680.85,197.451
1770307200000,1680.85,1707.13,1663.16,1666.05,86.458
1770321600000,1666.05,1677.48,1601.54,1606.83,69.173
1770336000000,1606.83,1651.14,1566.58,1644.09,60.5
1770350400000,1644.09,1675.78,1626.69,1630.48,56.771
1770364800000,1630.48,1688.57,1619.31,1683.76,67.933
1770379200000,1683.76,1724.92,1667.67,1714.75,91.981
1770393600000,1714.75,1738.39,1708.79,1718.41,64.942
1770408000000,1718.41,1720.41,1702.66,1703.8,41.491
1770422400000,1703.8,1707.08,1702.29,1704.17,21.817
1770436800000,1704.17,1706.2,1699.39,1700.91,22.114
1770451200000,1700.91,1704.14,1698.4,1700.87,23.406
1770465600000,1700.87,1704.94,1696.44,1702.24,26.205
1770480000000,1702.24,1704.19,1697.91,1703.91,17.089
1770494400000,1703.91,1704.97,1690.1,1698.13,40.575
1770508800000,1698.13,1703.86,1695.75,1703.17,22.622
1770523200000,1703.17,1703.88,1700.54,1703.05,10.019
1770537600000,1703.05,1703.81,1701.33,1703.52,8.761
1770552000000,1703.52,1704.07,1697.58,1702.99,17.983
1770566400000,1702.99,1704.16,1700.03,1702.81,13.017
1770580800000,1702.81,1759.42,1698.42,1746.49,36.937
1770595200000,1746.49,1753.36,1691.72,1717.18,86.502
1770609600000,1717.18,1739.35,1708.22,1712.03,50.754
1770624000000,1712.03,1729.17,1676.33,1694.25,60.452
1770638400000,1694.25,1737.98,1674.41,1737.98,72.453
1770652800000,1737.98,1753.18,1726.45,1738.7,51.12
1770667200000,1738.7,1746.62,1716.37,1726.86,42.544
1770681600000,1726.86,1742.4,1711.36,1729.03,71.856
1770696000000,1729.03,1738.39,1719.33,1736.58,49.193
1770710400000,1736.58,1752.16,1727.06,1733.64,49.893
1770724800000,1733.64,1757.08,1712.23,1727.69,79.448
1770739200000,1727.69,1734.61,1710.85,1723.74,44.846
1770753600000,1723.74,1728.1,1710.62,1724.23,38.377
1770768000000,1724.23,1752.67,1718.44,1747.06,70.12
1770782400000,1747.06,1755.54,1736.37,1754.37,50.229
1770796800000,1754.37,1778.7,1749.8,1772.45,52.537
1770811200000,1772.45,1774.68,1716.69,1729.18,100.677
1770825600000,1729.18,1738.67,1716.81,1716.81,58.708
1770840000000,1716.81,1727.05,1692.38,1709.92,41.209
1770854400000,1709.92,1728.33,1692.44,1720.0,48.903
1770868800000,1720.0,1730.77,1701.79,1709.09,37.514
1770883200000,1709.09,1724.65,1706.54,1716.65,30.622
1770897600000,1716.65,1731.72,1692.73,1716.66,67.355
1770912000000,1716.66,1716.84,1633.61,1648.14,81.503
1770926400000,1648.14,1651.65,1617.68,1632.16,18.959
1770940800000,1632.16,1670.13,1624.47,1666.16,38.479
1770955200000,1666.16,1679.71,1654.16,1674.93,41.444
1770969600000,1674.93,1679.32,1639.8,1652.24,40.646
1770984000000,1652.24,1693.36,1648.36,1662.58,75.271
1770998400000,1662.58,1700.46,1654.09,1691.53,66.124
1771012800000,1691.53,1694.17,1682.78,1687.25,26.379
1771027200000,1687.25,1695.95,1686.59,1688.89,20.857
