time,open,high,low,close,volume
1769774400000,2304.45,2324.23,2266.6,2286.29,73.08
1769788800000,2286.29,2286.59,2030.9,2172.38,75.434
1769803200000,2172.38,2209.04,2134.31,2202.26,18.793
1769817600000,2202.26,2235.05,2180.14,2192.29,25.422
1769832000000,2192.29,2210.99,2190.28,2198.06,31.257
1769846400000,2198.06,2206.43,2190.66,2196.62,28.886
1769860800000,2196.62,2204.99,2176.01,2191.12,36.568
1769875200000,2191.12,2210.47,2163.93,2207.36,28.428
1769889600000,2207.36,2219.46,2184.62,2202.18,24.237
1769904000000,2202.18,2210.43,2180.06,2193.29,14.405
1769918400000,2193.29,2206.66,2184.06,2200.69,9.636
1769932800000,2200.69,2202.28,2190.33,2195.18,7.949
1769947200000,2195.18,2202.73,2184.54,2187.7,25.164
1769961600000,2187.7,2188.11,2154.62,2170.23,21.197
1769976000000,2170.23,2182.07,2078.16,2109.11,22.231
1769990400000,2109.11,2184.96,2040.55,2048.08,31.725
1770004800000,2048.08,2084.0,1913.73,1995.48,33.233
1770019200000,1995.48,2111.08,1980.04,2093.87,40.771
1770033600000,2093.87,2177.22,2090.12,2096.8,69.892
1770048000000,2096.8,2169.6,2080.84,2162.17,48.519
1770062400000,2162.17,2179.12,2112.06,2173.76,31.487
1770076800000,2173.76,2227.27,2132.5,2178.86,95.179
1770091200000,2178.86,2235.79,2144.39,2222.0,45.019
1770105600000,2222.0,2275.28,2208.64,2245.19,41.103
1770120000000,2245.19,2275.83,2229.53,2256.95,47.631
1770134400000,2256.95,2278.03,2181.43,2209.57,38.497
1770148800000,2209.57,2246.0,2198.29,2221.63,30.247
1770163200000,2221.63,2296.12,2217.36,2281.71,34.868
1770177600000,2281.71,2329.42,2274.44,2327.52,36.808
1770192000000,2327.52,2336.29,2272.41,2293.72,45.945
1770206400000,2293.72,2308.16,2228.86,2232.04,55.925
1770220800000,2232.04,2243.98,2173.24,2232.9,49.499
1770235200000,2232.9,2282.61,2206.16,2265.05,32.574
1770249600000,2265.05,2291.32,2051.8,2063.73,55.785
1770264000000,2063.73,2131.72,2041.0,2124.65,70.672
1770278400000,2124.65,2132.98,2081.08,2094.09,47.521
1770292800000,2094.09,2097.92,2006.88,2030.14,75.63
1770307200000,2030.14,2094.06,2026.31,2035.58,40.705
1770321600000,2035.58,2048.28,1925.79,1925.88,41.026
1770336000000,1925.88,1950.59,1838.84,1949.08,56.516
1770350400000,1949.08,2022.13,1945.07,1973.5,42.185
1770364800000,1973.5,2032.91,1960.92,2026.86,55.567
1770379200000,2026.86,2106.48,1999.04,2077.44,41.499
1770393600000,2077.44,2121.57,2071.48,2114.9,38.829
1770408000000,2114.9,2121.61,2102.1,2103.41,32.027
1770422400000,2103.41,2113.47,2100.56,2107.84,26.233
1770436800000,2107.84,2110.56,2092.23,2102.17,21.942
1770451200000,2102.17,2109.07,2100.48,2104.96,19.301
1770465600000,2104.96,2109.02,2100.27,2105.98,18.497
1770480000000,2105.98,2114.99,2102.6,2109.77,19.181
1770494400000,2109.77,2111.34,2103.52,2108.42,18.237
1770508800000,2108.42,2109.38,2105.25,2105.29,11.43
1770523200000,2105.29,2108.63,2104.96,2108.12,8.796
1770537600000,2108.12,2112.0,2107.93,2108.47,16.032
1770552000000,2108.47,2113.92,2108.47,2113.59,16.779
1770566400000,2113.59,2119.46,2112.18,2112.18,15.854
1770580800000,2112.18,2156.12,2112.04,2149.09,21.798
1770595200000,2149.09,2153.22,2057.3,2096.4,37.029
1770609600000,2096.4,2126.05,2083.17,2086.75,30.56
1770624000000,2086.75,2123.0,2041.47,2073.96,41.922
1770638400000,2073.96,2130.22,2045.07,2123.8,47.935
1770652800000,2123.8,2138.04,2114.57,2135.38,33.184
1770667200000,2135.38,2144.85,2089.77,2107.22,23.564
1770681600000,2107.22,2120.2,2077.81,2093.22,31.853
1770696000000,2093.22,2103.36,2078.61,2098.27,25.497
1770710400000,2098.27,2123.55,2087.97,2107.2,28.681
1770724800000,2107.2,2141.65,2089.67,2106.92,35.038
1770739200000,2106.92,2112.74,2086.26,2109.28,20.899
1770753600000,2109.28,2112.92,2093.92,2100.83,14.733
1770768000000,2100.83,2147.35,2091.97,2138.43,55.393
1770782400000,2138.43,2151.6,2124.28,2144.81,22.097
1770796800000,2144.81,2194.56,2144.81,2189.79,36.314
1770811200000,2189.79,2192.22,2106.61,2129.12,63.74
1770825600000,2129.12,2155.12,2120.09,2150.56,27.841
1770840000000,2150.56,2155.63,2115.16,2126.65,28.454
1770854400000,2126.65,2134.83,2096.25,2127.92,25.929
1770868800000,2127.92,2139.17,2112.82,2122.89,22.442
1770883200000,2122.89,2135.78,2110.39,2121.35,26.443
1770897600000,2121.35,2146.87,2095.46,2124.86,34.69
1770912000000,2124.86,2125.17,1999.25,2039.39,84.069
1770926400000,2039.39,2044.62,1995.71,2025.38,45.499
1770940800000,2025.38,2053.53,2017.52,2041.03,44.01
1770955200000,2041.03,2051.58,2021.03,2044.85,25.16
1770969600000,2044.85,2057.11,2012.11,2021.36,26.311
1770984000000,2021.36,2095.38,2013.4,2064.92,53.903
1770998400000,2064.92,2086.35,2064.74,2073.71,28.764
1771012800000,2073.71,2077.65,2058.91,2070.93,11.841
1771027200000,2070.93,2073.57,2063.39,2070.58,9.914
1771041600000,2070.58,2072.78,2067.95,2072.53,9.763
1771056000000,2072.53,2073.94,2067.36,2070.08,8.443
1771070400000,2070.08,2070.5,2067.85,2069.36,4.702
1771084800000,2069.36,2071.43,2067.85,2070.11,8.747
1771099200000,2070.11,2073.63,2066.09,2067.87,10.864
1771113600000,2067.87,2072.49,2067.87,2071.86,6.124
1771128000000,2071.86,2072.95,2069.3,2070.87,5.403
1771142400000,2070.87,2072.98,2068.57,2068.77,5.809
1771156800000,2068.77,2071.19,2064.91,2069.9,9.371
1771171200000,2069.9,2072.35,2062.85,2065.83,6.323
1771185600000,2065.83,2071.61,2046.04,2057.11,14.292
1771200000000,2057.11,2077.2,2050.69,2059.92,20.771
1771214400000,2059.92,2067.95,2045.61,2058.0,38.684
1771228800000,2058.0,2061.99,2031.4,2043.79,27.312
1771243200000,2043.79,2046.68,2023.57,2034.62,24.734
1771257600000,2034.62,2050.27,2031.54,2046.27,13.829
1771272000000,2046.27,2056.78,2040.81,2045.94,15.833
1771286400000,2045.94,2049.44,2017.46,2026.03,33.24
1771300800000,2026.03,2028.08,1994.28,2022.37,25.391
1771315200000,2022.37,2033.53,1993.41,2010.51,29.401
1771329600000,2010.51,2036.07,1992.65,2013.22,55.173
1771344000000,2013.22,2032.02,1998.85,2027.65,43.107
1771358400000,2027.65,2027.65,2009.96,2010.52,15.318
1771372800000,2010.52,2054.77,2010.52,2053.61,22.022
1771387200000,2053.61,2069.68,2046.4,2052.83,18.228
1771401600000,2052.83,2058.69,2036.08,2042.79,25.56
1771416000000,2042.79,2113.28,2042.32,2097.75,136.582
1771430400000,2097.75,2104.63,2080.24,2082.12,121.811
1771444800000,2082.12,2089.75,2079.0,2083.51,37.684
1771459200000,2083.51,2092.61,2070.57,2092.51,33.741
1771473600000,2092.51,2106.05,2071.31,2100.9,17.275
1771488000000,2100.9,2113.6,2070.57,2078.49,21.687
1771502400000,2078.49,2093.38,2057.5,2088.74,42.108
1771516800000,2088.74,2090.96,2059.12,2061.84,156.707
1771531200000,2061.84,2087.08,2061.84,2077.77,10.811
1771545600000,2077.77,2091.51,2061.7,2065.2,14.707
1771560000000,2065.2,2097.98,2064.31,2090.51,12.76
1771574400000,2090.51,2132.88,2090.25,2122.75,26.171
1771588800000,2122.75,2156.32,2113.37,2146.41,117.49
1771603200000,2146.41,2169.72,2141.54,2163.98,62.025
1771617600000,2163.98,2172.75,2156.15,2157.57,12.43
1771632000000,2157.57,2159.91,2157.23,2158.72,5.174
1771646400000,2158.72,2163.95,2157.75,2162.24,17.69
1771660800000,2162.24,2163.74,2160.0,2160.67,4.421
1771675200000,2160.67,2162.98,2159.44,2161.17,6.601
1771689600000,2161.17,2163.37,2160.42,2161.83,3.567
1771704000000,2161.83,2165.21,2160.22,2165.21,7.346
1771718400000,2165.21,2166.1,2161.13,2161.77,4.787
1771732800000,2161.77,2169.46,2161.46,2162.02,4.079
1771747200000,2162.02,2164.3,2157.73,2161.37,6.062
1771761600000,2161.37,2163.61,2159.4,2160.58,3.868
1771776000000,2160.58,2166.54,2159.42,2164.47,4.322
1771790400000,2164.47,2206.01,2162.27,2203.11,20.854
1771804800000,2203.11,2203.99,2173.45,2182.07,39.055
1771819200000,2182.07,2183.0,2145.67,2155.68,17.851
1771833600000,2155.68,2179.56,2151.29,2175.84,25.522
1771848000000,2175.84,2187.88,2132.86,2134.1,33.47
1771862400000,2134.1,2159.27,2116.59,2152.1,27.65
1771876800000,2152.1,2177.52,2150.28,2163.92,14.259
1771891200000,2163.92,2166.08,2102.29,2149.29,39.04
1771905600000,2149.29,2168.19,2143.48,2166.32,21.052
1771920000000,2166.32,2172.39,2152.89,2164.61,17.591
1771934400000,2164.61,2206.93,2129.16,2170.38,40.103
1771948800000,2170.38,2184.67,2151.92,2171.89,22.163
1771963200000,2171.89,2184.53,2164.85,2175.65,13.357
1771977600000,2175.65,2243.48,2172.41,2239.56,29.295
