time,open,high,low,close,volume
1644105600000,0.6659,0.6744,0.6654,0.6699,3880904.69
1644120000000,0.6699,0.6707,0.6632,0.6693,3700773.0
1644134400000,0.6693,0.6716,0.6659,0.6675,2971877.64
1644148800000,0.6677,0.6796,0.6594,0.6669,6670660.4
1644163200000,0.667,0.672,0.6642,0.6717,3139483.12
1644177600000,0.6717,0.6871,0.668,0.6827,7003893.94
1644192000000,0.6831,0.729,0.6718,0.7241,17087409.0
1644206400000,0.7241,0.7581,0.7191,0.7549,18539359.3
1644220800000,0.7552,0.7825,0.7489,0.7745,26152653.0
1644235200000,0.7745,0.7771,0.7646,0.7734,13839159.4
1644249600000,0.7734,0.8,0.7724,0.7889,15700524.5
1644264000000,0.7887,0.8387,0.7814,0.8318,15548362.0
1644278400000,0.8317,0.8822,0.8131,0.8731,24684326.0
1644292800000,0.8734,0.9137,0.8691,0.8968,25273866.7
1644307200000,0.8966,0.9,0.8392,0.8596,30372639.5
1644321600000,0.859,0.8595,0.8202,0.8334,23049139.5
1644336000000,0.8343,0.8378,0.8039,0.8148,25709983.5
1644350400000,0.8147,0.8939,0.8115,0.8758,21903509.5
1644364800000,0.8758,0.9039,0.8441,0.8484,21599513.8
1644379200000,0.8484,0.8669,0.8447,0.8611,15935109.4
1644393600000,0.8611,0.863,0.8449,0.8569,13991513.6
1644408000000,0.8569,0.9058,0.8527,0.8846,25082379.3
1644422400000,0.8846,0.9152,0.8758,0.8915,16495882.0
1644436800000,0.8915,0.904,0.862,0.8704,11570019.0
1644451200000,0.8707,0.8801,0.8538,0.8622,10350604.3
1644465600000,0.862,0.8763,0.8602,0.8718,8689224.9
1644480000000,0.872,0.8973,0.8697,0.8868,10032692.6
1644494400000,0.8869,0.8896,0.8374,0.8648,32568250.0
1644508800000,0.8646,0.8763,0.8476,0.8488,12410979.3
1644523200000,0.8492,0.8551,0.8221,0.8253,11192576.3
1644537600000,0.8254,0.8304,0.8076,0.8217,12146471.1
1644552000000,0.8215,0.8237,0.7939,0.8192,11836056.6
1644566400000,0.8198,0.8263,0.8036,0.8154,8190787.6
1644580800000,0.8151,0.8338,0.8127,0.8199,9344310.8
1644595200000,0.8194,0.8214,0.778,0.7897,13836889.3
1644609600000,0.7901,0.7925,0.7503,0.759,13177462.0
1644624000000,0.7591,0.7793,0.7541,0.7714,6786216.25
1644638400000,0.7715,0.7771,0.7472,0.7639,6116864.96
1644652800000,0.764,0.7778,0.7592,0.7731,7943861.1
1644667200000,0.7733,0.8088,0.7635,0.8028,12545944.8
1644681600000,0.8025,0.852,0.8018,0.8312,21903036.5
1644696000000,0.8311,0.8443,0.8089,0.8224,11837002.1
1644710400000,0.8222,0.8365,0.8115,0.8232,7613846.6
1644724800000,0.8233,0.835,0.8181,0.8289,6122391.4
1644739200000,0.8288,0.8472,0.8221,0.8369,5589298.35
1644753600000,0.8369,0.8446,0.8187,0.8231,6642316.2
1644768000000,0.8235,0.8237,0.7924,0.8004,11180789.0
1644782400000,0.8011,0.8188,0.7956,0.8056,8060868.0
1644796800000,0.8057,0.8112,0.7826,0.7927,5589347.4
1644811200000,0.7928,0.7995,0.7846,0.7978,5525970.2
1644825600000,0.7978,0.809,0.7797,0.7877,8282952.1
1644840000000,0.7881,0.8122,0.7819,0.802,7723230.4
1644854400000,0.8023,0.8083,0.7815,0.7882,7033391.8
1644868800000,0.7885,0.8065,0.7851,0.8008,5489111.7
1644883200000,0.8012,0.8392,0.7964,0.8237,8220022.1
1644897600000,0.8238,0.8285,0.8175,0.8263,4855828.25
1644912000000,0.8265,0.8359,0.823,0.8315,7871145.0
1644926400000,0.8314,0.8344,0.8231,0.8253,5278741.8
1644940800000,0.8255,0.8283,0.8179,0.8254,5899717.7
1644955200000,0.825,0.8596,0.8242,0.8513,7520384.6
1644969600000,0.8517,0.8518,0.8327,0.8356,7527974.9
1644984000000,0.8357,0.8391,0.8258,0.8379,4761998.84
1644998400000,0.8379,0.839,0.8238,0.8284,5793660.6
1645012800000,0.8284,0.831,0.809,0.8165,8323084.0
1645027200000,0.8166,0.8362,0.8109,0.8344,5885703.3
1645041600000,0.8345,0.8529,0.8342,0.8369,8005420.6
1645056000000,0.8367,0.8447,0.8226,0.8228,5816787.7
1645070400000,0.8226,0.8302,0.8093,0.8287,5360673.96
1645084800000,0.8287,0.8293,0.8059,0.8156,8586566.9
1645099200000,0.8156,0.8202,0.7952,0.8011,7594687.5
1645113600000,0.8009,0.8073,0.7708,0.7823,10648553.7
1645128000000,0.7825,0.7825,0.754,0.7666,8586176.6
1645142400000,0.7676,0.7899,0.7638,0.7866,5929116.8
1645156800000,0.7867,0.8047,0.7822,0.7988,7367734.0
1645171200000,0.7992,0.8028,0.7729,0.7771,6627373.6
1645185600000,0.7771,0.7849,0.7594,0.7663,9901479.7
1645200000000,0.7656,0.7744,0.7565,0.7739,8255021.5
1645214400000,0.7743,0.7946,0.7659,0.7842,5690479.2
1645228800000,0.7842,0.7976,0.7835,0.7908,3020609.1
1645243200000,0.7909,0.8008,0.7887,0.7944,3242123.0
1645257600000,0.7946,0.7966,0.7705,0.7746,6844084.4
1645272000000,0.7746,0.837,0.7704,0.8312,19101403.2
1645286400000,0.8313,0.8536,0.8132,0.8145,17972663.3
1645300800000,0.8148,0.8245,0.8067,0.8215,15529596.5
