time,open,high,low,close,volume
1642435200000,31719.0,32216.0,31494.0,31976.0,23.989288
1642449600000,31993.0,32066.0,31215.0,31595.0,12.799406
1642464000000,31586.0,32005.0,31461.0,31644.0,12.161213
1642478400000,31642.0,31885.0,31340.0,31879.0,11.812388
1642492800000,31868.0,31881.0,30895.0,31558.0,12.089437
1642507200000,31531.0,32540.0,31145.0,32110.0,22.313322
1642521600000,32110.0,33478.0,31992.0,32497.0,52.533944
1642536000000,32487.0,33224.0,32049.0,32585.0,18.852376
1642550400000,32580.0,33495.0,32406.0,32901.0,25.946885
1642564800000,32900.0,33286.0,31275.0,31434.0,34.125941
1642579200000,31450.0,32034.0,31232.0,31883.0,22.132639
1642593600000,31876.0,32324.0,31628.0,31845.0,24.115544
1642608000000,31833.0,32663.0,31423.0,32404.0,23.210856
1642622400000,32401.0,32518.0,32108.0,32156.0,31.367905
1642636800000,32151.0,32687.0,32118.0,32580.0,19.302413
1642651200000,32596.0,33474.0,32453.0,33330.0,18.12596
1642665600000,33329.0,34158.0,33164.0,33811.0,18.232529
1642680000000,33817.0,34380.0,33578.0,33978.0,40.864051
1642694400000,33970.0,34080.0,33227.0,33358.0,26.509103
1642708800000,33368.0,33382.0,31296.0,31429.0,42.474668
1642723200000,31396.0,31396.0,29016.0,29092.0,40.029001
1642737600000,29090.0,29529.0,28954.0,29091.0,29.813114
1642752000000,29097.0,29394.0,28643.0,28791.0,10.06698
1642766400000,28774.0,29008.0,27756.0,28906.0,21.175639
1642780800000,28906.0,29205.0,28399.0,28399.0,49.430804
1642795200000,28398.0,28550.0,25113.0,25751.0,50.219033
1642809600000,25726.0,26680.0,25438.0,25751.0,22.131081
1642824000000,25756.0,25879.0,22209.0,22464.0,38.279197
1642838400000,22444.0,23084.0,20255.0,22710.0,70.005269
1642852800000,22759.0,24017.0,22062.0,22069.0,33.649999
1642867200000,22097.0,22973.0,21689.0,22138.0,33.077605
1642881600000,22129.0,23182.0,21955.0,22875.0,27.816751
1642896000000,22869.0,23859.0,22703.0,23362.0,23.306807
1642910400000,23364.0,24045.0,23217.0,23856.0,19.002217
1642924800000,23847.0,24895.0,23750.0,24227.0,29.645482
1642939200000,24209.0,24474.0,23575.0,24108.0,35.320117
1642953600000,24108.0,24356.0,23213.0,23311.0,30.502206
1642968000000,23317.0,25109.0,23211.0,25088.0,23.794287
1642982400000,25085.0,25101.0,23916.0,24274.0,17.729463
1642996800000,24277.0,24382.0,23031.0,23064.0,25.548987
1643011200000,23096.0,23639.0,21569.0,21826.0,32.373293
1643025600000,21830.0,22583.0,21428.0,22468.0,30.163144
1643040000000,22474.0,23661.0,22013.0,23379.0,24.88839
1643054400000,23372.0,24736.0,23337.0,23945.0,21.498071
1643068800000,23940.0,24256.0,23458.0,23878.0,17.303801
1643083200000,23861.0,24002.0,23392.0,23958.0,13.995351
1643097600000,23953.0,24500.0,23627.0,24392.0,19.860678
1643112000000,24402.0,24661.0,23392.0,23790.0,19.063233
1643126400000,23792.0,24921.0,23786.0,24426.0,30.64956
1643140800000,24411.0,24664.0,23789.0,24462.0,40.629467
1643155200000,24466.0,24647.0,23991.0,24499.0,38.400636
1643169600000,24490.0,24767.0,24106.0,24289.0,19.12394
1643184000000,24287.0,24984.0,24283.0,24966.0,20.744782
1643198400000,24954.0,25950.0,24685.0,25416.0,31.772003
1643212800000,25425.0,26170.0,24438.0,25336.0,52.44651
1643227200000,25364.0,25364.0,23492.0,24172.0,31.700512
1643241600000,24179.0,24711.0,23184.0,23448.0,19.049433
1643256000000,23426.0,23966.0,23378.0,23814.0,19.917222
1643270400000,23826.0,24282.0,23586.0,24263.0,14.655997
1643284800000,24262.0,24816.0,24186.0,24443.0,19.024751
1643299200000,24447.0,24651.0,23747.0,23879.0,32.549328
1643313600000,23922.0,24066.0,23084.0,23910.0,27.092441
1643328000000,23894.0,24143.0,23386.0,23862.0,11.038723
1643342400000,23861.0,23951.0,23378.0,23378.0,24.863189
1643356800000,23375.0,23484.0,22631.0,22739.0,46.175119
1643371200000,22753.0,23114.0,22385.0,23019.0,14.836738
