time,open,high,low,close,volume
1644105600000,115.96,121.81,115.96,121.36,7186.8258
1644120000000,121.38,125.67,120.38,124.05,9495.8775
1644134400000,124.12,124.33,121.26,121.87,6891.3357
1644148800000,121.81,125.38,121.74,123.7,6830.7505
1644163200000,123.68,126.03,120.64,123.1,7038.0111
1644177600000,122.92,124.64,121.8,124.35,6969.116
1644192000000,124.39,125.69,121.33,125.26,7197.483
1644206400000,125.34,125.73,124.04,125.03,7085.8446
1644220800000,125.0,129.71,122.83,127.9,10096.8038
1644235200000,127.89,128.14,125.46,126.39,8548.2683
1644249600000,126.46,130.12,124.72,129.35,9233.9547
1644264000000,129.36,130.78,128.23,128.73,6931.3462
1644278400000,128.82,129.32,126.22,127.18,6891.9256
1644292800000,127.16,132.62,127.16,131.62,7399.1025
1644307200000,131.6,132.66,125.88,126.05,9600.9158
1644321600000,126.03,128.41,121.67,127.06,7507.2798
1644336000000,127.14,131.8,125.34,129.6,9283.6897
1644350400000,129.52,134.8,129.21,132.98,7652.8574
1644364800000,132.91,134.32,130.22,130.52,6797.0896
1644379200000,130.49,133.41,128.47,132.8,7094.4802
1644393600000,132.79,132.79,129.3,130.24,7246.8282
1644408000000,130.28,131.2,127.62,127.96,7176.0646
1644422400000,127.97,129.73,126.91,127.8,8788.5536
1644436800000,127.7,127.79,125.82,125.9,7342.6297
1644451200000,125.95,127.93,124.17,125.52,8108.8471
1644465600000,125.47,126.27,125.0,125.45,7003.2774
1644480000000,125.46,128.15,125.32,127.98,7339.6612
1644494400000,127.99,128.81,119.98,125.57,14079.4872
1644508800000,125.54,128.66,123.26,123.95,7159.9836
1644523200000,124.01,128.64,123.14,124.77,6952.3216
1644537600000,124.83,127.1,120.46,126.76,8148.3933
1644552000000,126.77,130.89,125.22,125.25,8837.0075
1644566400000,125.37,128.79,123.53,128.28,9064.269
1644580800000,128.18,129.87,125.74,127.46,7284.4766
1644595200000,127.5,128.5,121.9,122.1,7761.3991
1644609600000,122.1,122.47,115.15,116.5,6920.1508
1644624000000,116.5,118.05,114.36,117.53,6874.6298
1644638400000,117.52,118.68,113.43,115.62,6946.8222
1644652800000,115.58,119.36,115.58,118.75,6932.5422
1644667200000,118.81,120.37,117.32,119.35,7124.5059
